openalex_id,title,dedup_reason,match_pmid
W2016831403,"Gamifying French Language Learning: A Case Study Examining a Quest-based, Augmented Reality Mobile Learning-tool",novel,
W2066360597,"Co-Occurrence of Addictive Behaviours: Personality Factors Related to Substance Use, Gambling and Computer Gaming",novel,
W2109405793,THE EFFECTS OF EXERGAMING ON PHYSICAL ACTIVITY AMONG INACTIVE CHILDREN IN A PHYSICAL EDUCATION CLASSROOM,novel,
W2337604738,"Acting like a Tough Guy: Violent-Sexist Video Games, Identification with Game Characters, Masculine Beliefs, &amp; Empat",novel,
W1972813903,Exposure to violent video games and aggression in German adolescents: a longitudinal analysis,novel,
W161555447,Framework for Designing and Evaluating Game Achievements,novel,
W4318707231,Gamification of e-learning in higher education: a systematic literature review,novel,
W2131717409,The Lara Phenomenon: Powerful Female Characters in Video Games,novel,
W3017734470,Understanding massively multiplayer online role‐playing game addiction: A hedonic management perspective,novel,
W1983234205,Internet gaming addiction: current perspectives,novel,
W1990914822,The Effects of Poverty on Children,novel,
W2775362420,Playing Super Mario 64 increases hippocampal grey matter in older adults,novel,
W2170711847,Exploiting moral wiggle room: experiments demonstrating an illusory preference for fairness,novel,
W4256461935,On distinguishing epistemic from pragmatic action,novel,
W2293057177,Impulsivity in Multiplayer Online Battle Arena Gamers: Preliminary Results on Experimental and Self-Report Measures,novel,
W2565751176,"Violent video game effects on salivary cortisol, arousal, and aggressive thoughts in children",novel,
W2901180583,"A Cross-Lagged Study of Developmental Trajectories of Video Game Engagement, Addiction, and Mental Health",novel,
W2096650495,Cognitive behavioral game design: a unified model for designing serious games,novel,
W2798902364,Virtual navigation tested on a mobile app is predictive of real-world wayfinding navigation performance,novel,
W2062718236,"Relations between executive function and academic achievement from ages 5 to 17 in a large, representative national samp",novel,
W2096387411,Effects of a Pediatric Weight Management Program With and Without Active Video Games,novel,
W4206951702,Comparing the Effectiveness of Video-Based Learning and Game-Based Learning Using Teacher-Authored Video Games for Onlin,novel,
W2153019931,Racial and Ethnic Stratification in Educational Achievement and Attainment,novel,
W2561679928,"Delay discounting, risk-taking, and rejection sensitivity among individuals with Internet and Video Gaming Disorders",novel,
W2259752226,3D Role-Playing Games as Language Learning Tools,novel,
W2753069971,Educational Gaming for Pharmacy Students – Design and Evaluation of a Diabetes-themed Escape Room,novel,
W2963821715,Student-centred digital game–based learning: a conceptual framework and survey of the state of the art,novel,
W2021427605,Student engagement with school: Critical conceptual and methodological issues of the construct,novel,
W2789184669,"General Video Game AI: A Multitrack Framework for Evaluating Agents, Games, and Content Generation Algorithms",novel,
W134467738,Game reward systems: Gaming experiences and social meanings,novel,
W4386594700,"Envisioning gamification in anesthesia, pain management, and critical care: basic principles, integration of artificial ",novel,
W2800496882,An action video game for the treatment of amblyopia in children: A feasibility study,novel,
W2121946324,Churn Prediction in MMORPGs: A Social Influence Based Approach,novel,
W2527828900,Internet Gaming Disorder: Investigating the Clinical Relevance of a New Phenomenon,novel,
W2884134486,Students’ perception of Kahoot!’s influence on teaching and learning,novel,
W2148133639,Making News: A Study in the Construction of Reality.,novel,
W2905228382,Prosocial video game as an intimate partner violence prevention tool among youth: A randomised controlled trial,novel,
W2105961748,Text processing of domain-related information for individuals with high and low domain knowledge,novel,
W1511696027,Playability: How to Identify the Player Experience in a Video Game,novel,
W1980466509,Does playing video games improve laparoscopic skills?,novel,
W2017585040,Parade Game: Impact of Work Flow Variability on Trade Performance,novel,
W3145123113,Behavior Trees in Robotics and AI,novel,
W4285113911,An Introduction to Online Video Game QoS and QoE Influencing Factors,novel,
W2135967304,Learner interaction in a massively multiplayer online role playing game (MMORPG): A sociocultural discourse analysis,novel,
W4324052037,Effects of action video game play on cognitive skills: A meta-analysis.,novel,
W1948081202,Serious game‐based and nongame‐based online courses: Learning experiences and outcomes,novel,
W1543069347,A Theory of Endogenous Coalition Structures,novel,
W2123250504,Changing the Game: What Happens When Video Games Enter the Classroom?,novel,
W3096296182,Breaking Harmony Square: A game that “inoculates” against political misinformation,novel,
W2186217606,Understanding and assisting excessive players of video games: a community psychology perspective,novel,
W2590009086,"Gamifying education: what is known, what is believed and what remains uncertain: a critical review",novel,
W2027331274,An experimental study of shared sensitivity to physical pain and social rejection,novel,
W2162268796,The effectiveness of M-health technologies for improving health and health services: a systematic review protocol,novel,
W2408463765,Climbing up the leaderboard: an empirical study of applying Gamification techniques to a computer programming class,novel,
W1967591898,Just a Fad? Gamification in Health and Fitness Apps,novel,
W2975650135,Will esports result in a higher prevalence of problematic gaming? A review of the global situation,novel,
W2953003952,Adolescents and loot boxes: links with problem gambling and motivations for purchase,pmid_match,31312481
W2944104139,&lt;p&gt;The relationships between video game experience and cognitive abilities in adolescents&lt;/p&gt;,novel,
W1786498445,More than a Game: The Computer Game as Fictional Form,novel,
W2296067305,Internet addiction and problematic Internet use: A systematic review of clinical research,novel,
W2119296376,Adaptive game AI with dynamic scripting,novel,
W2953113430,Playing a video game is more than mere procrastination,novel,
W2083289268,Gamification for Engaging Computer Science Students in Learning Activities: A Case Study,novel,
W2963169753,GraphGAN: Graph Representation Learning With Generative Adversarial Nets,novel,
W2765294938,Predictors of excessive use of social media and excessive online gaming in Czech teenagers,novel,
W2259973392,Gamification: The effect on student motivation and performance at the post-secondary level,novel,
W3140574731,Leisure and Problem Gaming Behaviors Among Children and Adolescents During School Closures Caused by COVID-19 in Hong Ko,novel,
W1910083634,Chip-Firing and the Critical Group of a Graph,novel,
W2054028789,Teacher Quality and Student Achievement,novel,
W4210788557,Winning The Game Against Depression: A Systematic Review of Video Games for the Treatment of Depressive Disorders,novel,
W3047159510,Career as a Professional Gamer: Gaming Motives as Predictors of Career Plans to Become a Professional Esport Player,novel,
W4377130677,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,novel,
W4299998071,Game Analytics,novel,
W2929242575,Multi-Objective Workflow Scheduling With Deep-Q-Network-Based Multi-Agent Reinforcement Learning,novel,
W2026760179,THE TRAINING AND GENERALIZATION OF SOCIAL INTERACTION SKILLS WITH AUTISTIC YOUTH,novel,
W2121414179,Racial Differences in Endothelin-1 at Rest and in Response to Acute Stress in Adolescent Males,novel,
W3149728948,"New Social Horizons: Anxiety, Isolation, and Animal Crossing During the COVID-19 Pandemic",novel,
W1849401977,Player Types: A Meta-synthesis,novel,
W3080486077,Designing Engaging Games for Education: A Systematic Literature Review on Game Motivators and Design Principles,novel,
W4290601231,A comprehensive model to understand and assess the motivational background of video game use: The Gaming Motivation Inve,novel,
W2081560539,Attitudes of older adults toward shooter video games: An initial study to select an acceptable game for training visual ,novel,
W2072383097,Plasticity of Attentional Functions in Older Adults after Non-Action Video Game Training: A Randomized Controlled Trial,novel,
W1847083306,DLC: Perpetual Commodification of the Video Game,novel,
W3023584635,An Investigation into Video Game Addiction in Pre-Adolescents and Adolescents: A Cross-Sectional Study,novel,
W2087396732,Artificial Intelligence in Video Games: Towards a Unified Framework,novel,
W2886760263,Neural correlates of video game empathy training in adolescents: a randomized trial,novel,
W159843310,The Value of Virtual Assets - The Role of Game Characters in MMOGs,novel,
W2152560453,Active video games: the mediating effect of aerobic fitness on body composition,novel,
W2132671813,Mindsets That Promote Resilience: When Students Believe That Personal Characteristics Can Be Developed,novel,
W2800131526,Potential Adverse Effects of Violent Video Gaming: Interpersonal- Affective Traits Are Rather Impaired Than Disinhibitio,novel,
W3046542561,The role of maladaptive cognitions in gaming disorder: Differences between online and offline gaming types,novel,
W4206966313,To Be or Not to Be a Female Gamer: A Qualitative Exploration of Female Gamer Identity,novel,
W2957010394,"Paying for loot boxes is linked to problem gambling, regardless of specific features like cash-out and pay-to-win",novel,
W2013477750,How feedback boosts motivation and play in a brain-training game,novel,
W2964118262,A Deep Hierarchical Approach to Lifelong Learning in Minecraft,novel,
W2049496168,Casino gambling increases heart rate and salivary cortisol in regular gamblers,novel,
W1975464614,In-game assessments increase novice programmers' engagement and level completion speed,novel,
W2512002337,Learning an EMG Controlled Game: Task-Specific Adaptations and Transfer,novel,
W4324140769,Overviewing Gaming Motivation and Its Associated Psychological and Sociodemographic Variables: A PRISMA Systematic Revie,novel,
W2963472624,Tensor Completion Algorithms in Big Data Analytics,novel,
W3009483010,"Active learning narrows achievement gaps for underrepresented students in undergraduate science, technology, engineering",novel,
W2891648609,A model of heritage content to support the design and analysis of video games for history education,novel,
W2082591782,The effect of a cognitive-motor intervention on voluntary step execution under single and dual task conditions in older ,novel,
W2402962589,,novel,
W4200339142,Screen Use and Mental Health Symptoms in Canadian Children and Youth During the COVID-19 Pandemic,novel,
W2621725241,Video Game Rehabilitation for Outpatient Stroke (VIGoROUS): protocol for a multi-center comparative effectiveness trial ,novel,
W2065785262,An Interaction-Based Approach to Enhancing Secondary School Instruction and Student Achievement,novel,
W2576320326,You are a Game Bot!: Uncovering Game Bots in MMORPGs via Self-similarity in the Wild,novel,
W1985127787,Simulator assessment of innate endovascular aptitude versus empirically correct performance,novel,
W2099257946,The backer–developer connection: Exploring crowdfunding’s influence on video game production,novel,
W1934909785,Language Understanding for Text-based Games using Deep Reinforcement Learning,novel,
W2117290045,Surgical Experience Correlates with Performance on a Virtual Reality Simulator for Shoulder Arthroscopy,novel,
W2129220510,Can I Say Something? The Effects of Digital Gameplay on Willingness to Communicate,novel,
W2025139100,Patterns of and Motivations for Concurrent Use of Video Games and Substances,novel,
W2169932488,Inverse optimal design of input-to-state stabilizing nonlinear controllers,novel,
W2400038930,Essential features of serious games design in higher education: Linking learning attributes to game mechanics,novel,
W2067951625,Learning Programming at the Computational Thinking Level via Digital Game-Play,novel,
W2506362059,Using video games for volcanic hazard education and communication:an assessment of the method and preliminary results,novel,
W3112030956,"Online Game Addiction and the Level of Depression Among Adolescents in Manila, Philippines",novel,
W2166161445,"Quantification of training load during one-, two- and three-game week schedules in professional soccer players from the ",novel,
W2087810699,Autism and exergaming: effects on repetitive behaviors and cognition,novel,
W3135914793,Video Games in ADHD and Non-ADHD Children: Modalities of Use and Association With ADHD Symptoms,novel,
W1964918590,The games psychologists play (and the data they provide),novel,
W2406955752,"A qualitative investigation of users’ discovery, access, and organization of video games as information objects",novel,
W2770698260,Tolerance in Internet gaming disorder: A need for increasing gaming time or something else?,novel,
W2996039675,Internet Gaming Disorder: Exploring Its Impact on Satisfaction in Life in PELLEAS Adolescent Sample,novel,
W2163594521,Parent Involvement in Homework: A Research Synthesis,novel,
W3186744308,Engaging Students in the Learning Process with Game-Based Learning: The Fundamental Concepts,novel,
W2055472151,Crowdsourcing Human-Robot Interaction: New Methods and System Evaluation in a Public Environment,novel,
W2996706283,Cognitive and Behavioral Correlates of Achievement in a Complex Multi-Player Video Game,novel,
W2798336535,<i>Gaia</i> Data Release 2,novel,
W2119738974,Gender Inequalities in Education,novel,
W2779847345,Game-based training of flexibility and attention improves task-switch performance: near and far transfer of cognitive tr,novel,
W2001837590,Enhancing perceptual and attentional skills requires common demands between the action video games and transfer tasks,novel,
W3030451707,Physiological and Cognitive Functions Following a Discrete Session of Competitive Esports Gaming,novel,
W2898638632,Dynamic Difficulty Adjustment (DDA) in Computer Games: A Review,novel,
W2082019347,Effects of Affective Orientation and Video Game Play on Aggressive Thoughts and Behaviors,novel,
W1480516397,Short-term effects of prosocial video games on aggression: an event-related potential study,novel,
W2906186166,Team Gaming for Team-building: Effects on Team Performance,novel,
W2067279781,A new design for a Turing Test for Bots,novel,
W2114256915,Experimental Evidence on the Effect of Childhood Investments on Postsecondary Attainment and Degree Completion,novel,
W1965172764,A Combinatorial Problem Which Is Complete in Polynomial Space,novel,
W3030134066,Defining digital addiction: Key features from the literature,novel,
W2465353856,Gamification of Cognitive Assessment and Cognitive Training: A Systematic Review of Applications and Efficacy,novel,
W2889377150,Any “Body” There? Avatar Visibility Effects in a Virtual Reality Game,novel,
W393803251,Formative research on an instructional design theory for educational video games,novel,
W4224885298,Reaction time and working memory in gamers and non-gamers,novel,
W2171472142,Assessing Video Games to Improve Driving Skills: A Literature Review and Observational Study,novel,
W1557611982,Attention and Self-Regulation : A Control-Theory Approach to Human Behavior,novel,
W1561235871,Game architecture and design,novel,
W2083998442,"â€˜Kitchen and cooking,â€™ a serious game for mild cognitive impairment and Alzheimerâ€™s disease: a pilot study",novel,
W2015556991,Seizures During Video‐Game Play and Other Common Leisure Pursuits in Known Epilepsy Patients Without Visual Sensitivity,novel,
W2944689091,Learning to be better at the game: Performance vs. completion contingent reward for game-based learning,novel,
W2025920072,Internet and video game addictions: a cognitive behavioral approach,novel,
W3096686207,Presence Promotes Performance on a Virtual Spatial Cognition Task: Impact of Human Factors on Virtual Reality Assessment,novel,
W96163030,ReCALL special issue: Digital games for language learning: challenges and opportunities,novel,
W2344257855,Is Participatory Design Associated with the Effectiveness of Serious Digital Games for Healthy Lifestyle Promotion? A Me,novel,
W2032208732,Active Video-Gaming Effects on Balance and Mobility in Individuals with Chronic Stroke: A Randomized Controlled Trial,novel,
W2798246108,"A Prototype Exercise–Empowerment Mobile Video Game for Children With Cancer, and Its Usability Assessment: Developing Di",novel,
W2552507948,Game development software engineering process life cycle: a systematic review,novel,
W2124066653,Preventing Disruptive Behavior in the Urban Classroom: Effects of the Good Behavior Game on Student and Teacher Behavior,novel,
W2591738573,Facilitation or disengagement? Attention bias in facial affect processing after short-term violent video game exposure,novel,
W3087626107,"Relationship Between Children’s Enjoyment, User Experience Satisfaction, and Learning in a Serious Video Game for Nutrit",novel,
W2762199726,Age-Based Preferences and Player Experience,novel,
W3131451854,Journey to the East: Cultural adaptation of video games for the Chinese market,novel,
W3119317690,Gamification in Science Education. A Systematic Review of the Literature,novel,
W4383198550,"Is playing violent video games a risk factor for aggressive behaviour? Adding narcissism, self-esteem and PEGI ratings t",novel,
W3157839239,Playing Video Games During the COVID-19 Pandemic and Effects on Players’ Well-Being,novel,
W1708688110,Gaming frequency and academic performance,novel,
W1982091939,"Relationships among video gaming proficiency and spatial orientation, laparoscopic, and traditional surgical skills of t",novel,
W3159112311,Time Speeds Up During Flow States: A Study in Virtual Reality with the Video Game Thumper,novel,
