item_id,criterion,tier,model,verdict,reason,parse_error,error,latency_s,cost_usd
GHI-02,SCOPE,sonnet,claude-sonnet-4-6,ok,"The item includes an explicit distress marker ('feel that I have lost something valuable') even when use was strategically sound, distinguishing it from normal play.",,,13.16,0.00178
GHI-02,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"The stem reports loss and regret as emotional consequences of behavior, not clinical-disorder labels attached to the behavior itself.",,,3.62,0.00166
GHI-02,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes a felt consequence (loss of something valuable) without using clinical vocabulary like addiction, compulsion, craving, or obsession.",,,3.41,0.013607
GHI-02,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item targets distress as symptom, not the rational act itself, using 'even when strategically sound' to isolate maladaptive affect.",,,3.8,0.001857
GHI-02,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"The stem explicitly targets distress at loss even when use was strategically sound, isolating the symptom-like affect rather than the rational behavior.",,,3.88,0.01385
GHI-02,LANGUAGE,haiku,claude-haiku-4-5,ok,"No clinical-disorder vocabulary; feeling of loss is consequence of behavior, not a diagnostic presupposition.",,,10.15,0.007019
GHI-03,SCOPE,sonnet,claude-sonnet-4-6,ok,The stem contains explicit loss-of-control and escalation-beyond-planned-spending markers distinguishing it from normal engaged play.,,,4.27,0.013911
GHI-03,SCOPE,opus,claude-opus-4-7,ok,Stem includes explicit escalation ('more than originally intended') and loss-of-control ('unable to stop') markers distinguishing it from normal engaged play.,,,3.29,0.100819
GHI-02,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,Phrase 'even when strategically sound' explicitly protects rational use; distress despite adaptive behavior is the measured symptom-aspect.,,,11.68,0.009512
GHI-03,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"Stem uses behavioral and experiential language ('unable to stop', 'more than intended') without importing clinical-disorder vocabulary.",,,3.72,0.013896
GHI-03,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes spending beyond intent and felt inability to stop as behavioral consequences, without using clinical labels like addiction or compulsion.",,,3.49,0.100669
GHI-03,SCOPE,haiku,claude-haiku-4-5,ok,"Item includes escalation ('spent more than intended') and loss-of-control markers ('felt unable to stop'), distinguishing pathological from normal play.",,,9.83,0.008417
GHI-03,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly centers escalation beyond intended spend and loss-of-control awareness, not rational completionism.",,,2.91,0.100669
GHI-03,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The stem explicitly captures escalation beyond intended spend and contemporaneous loss-of-control recognition, not merely rational purchasing behaviour.",,,8.89,0.013971
GHI-03,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"Item explicitly marks escalation beyond intended spending and loss-of-control, isolating pathological behavior from normative set-collecting.",,,9.67,0.008485
GHI-03,LANGUAGE,haiku,claude-haiku-4-5,ok,"Item avoids clinical-disorder vocabulary (addiction, compulsion, obsession, etc.) and presuppositions; 'felt unable to stop' reports loss-of-control as subjective consequence, not diagnostic label.",,,14.72,0.011742
GHI-04,SCOPE,sonnet,claude-sonnet-4-6,ok,"The item includes an explicit loss-of-control/impairment marker ('more money than I planned'), distinguishing it from normal engaged play.",,,3.42,0.001749
GHI-04,SCOPE,opus,claude-opus-4-7,ok,"Stem includes loss-of-control/escalation marker ('more money than I planned'), distinguishing it from normal engaged play.",,,3.4,0.012923
GHI-04,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"Stem uses 'fear' as a reported emotional consequence, not clinical-disorder vocabulary or diagnostic label.",,,2.82,0.001629
GHI-04,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes FOMO and overspending as behavioral consequences without invoking clinical labels like addiction, compulsion, or obsession.",,,4.95,0.013379
GHI-04,LANGUAGE,haiku,claude-haiku-4-5,ok,"Item describes emotional consequence (fear of missing out) driving behavior, without clinical-disorder vocabulary or disorder presupposition.",,,8.83,0.007542
GHI-04,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item targets distress-driven overspending beyond planned limits, not the rational act of purchasing a time-limited offer itself.",,,3.19,0.001767
GHI-04,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly targets spending beyond planned commitment, making loss-of-control the subject rather than framing rational sale purchasing as pathology.",,,3.75,0.014072
GHI-04,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"The stem explicitly marks escalation beyond planned spending—exceeding one's own commitment is the symptom-like aspect, not mere engagement with limited-time offers.",,,9.2,0.007695
GHI-05,SCOPE,sonnet,claude-sonnet-4-6,ok,'Continued spending to recover from a loss' is a loss-of-control marker distinguishing this from normal engaged play.,,,2.61,0.00169
GHI-04,SCOPE,haiku,claude-haiku-4-5,ok,"Item includes 'spend more than I planned,' explicitly listed in SCOPE exceptions as an escalation marker distinguishing from normal play.",,,22.79,0.018157
GHI-05,SCOPE,opus,claude-opus-4-7,ok,"Stem includes loss-of-control marker ('continued spending to recover from loss'), distinguishing it from normal engaged play.",,,4.09,0.012925
GHI-05,LANGUAGE,sonnet,claude-sonnet-4-6,ok,The stem uses no clinical-disorder vocabulary; it describes a behavioral sequence (continued spending) without diagnostic labels.,,,2.84,0.00163
GHI-05,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes observable behavior (continued spending to recover losses) without invoking clinical labels like addiction, compulsion, or craving.",,,3.1,0.013307
GHI-05,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"Continued spending to 'recover from a loss' is emotionally driven escalation, not normatively rational resource management, making it a genuine symptom marker.",,,4.53,0.001857
GHI-05,LANGUAGE,haiku,claude-haiku-4-5,ok,"The stem describes behavior using plain language (continued spending, recover from loss) without clinical-disorder vocabulary like addiction, compulsion, or obsession.",,,10.85,0.009299
GHI-05,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly targets loss-chasing escalation after disappointment, which is the symptom-like aspect rather than framing rational gacha play as pathological.",,,3.79,0.014299
GHI-05,SCOPE,haiku,claude-haiku-4-5,ok,Contains loss-of-control marker (continued spending) that distinguishes from typical gacha engagement.,,,21.14,0.017504
GHI-06,SCOPE,sonnet,claude-sonnet-4-6,ok,"The stem includes an explicit financial impairment marker (interference with rent, food, bills, savings) distinguishing it from normal engaged play.",,,2.78,0.001736
GHI-06,SCOPE,opus,claude-opus-4-7,ok,"Stem includes explicit financial impairment marker (interfered with rent, food, bills) distinguishing it from normal engaged play.",,,3.58,0.013005
GHI-06,SCOPE,haiku,claude-haiku-4-5,ok,Includes explicit impairment marker (interferes with rent/food/bills) as specified in SCOPE criterion.,,,9.85,0.008927
GHI-06,LANGUAGE,sonnet,claude-sonnet-4-6,ok,The stem uses plain financial language ('interfered with money') with no clinical-disorder vocabulary or disorder-presupposing labels.,,,3.35,0.001706
GHI-06,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes financial interference as a behavioral consequence without invoking clinical-disorder vocabulary like addiction, compulsion, or craving.",,,3.23,0.013611
GHI-06,LANGUAGE,haiku,claude-haiku-4-5,ok,"Stem avoids clinical-disorder terminology (addiction, compulsion, obsession, pathology); describes behavioral consequence only.",,,9.86,0.009872
GHI-06,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item targets explicit financial impairment—interference with essential expenses—not rational purchasing behavior, making the symptom itself the subject.",,,3.78,0.001768
GHI-05,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"Explicitly captures loss-of-control escalation ('continued spending to recover'), not framing normatively rational gacha spending as inherently problematic.",,,24.88,0.017002
GHI-06,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly targets financial impairment (rent, food, bills), not normatively rational spending, so symptom-like aspect is the explicit subject.",,,3.47,0.014154
GHI-07,SCOPE,opus,claude-opus-4-7,ok,"Stem includes impairment markers (overfull inventory, items have no current use) and a loss-of-control marker (difficulty discarding), distinguishing it from normal play.",,,3.25,0.013909
GHI-06,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"Item explicitly describes impairment to essential needs, distinguishing maladaptive spending from normative play behavior.",,,10.5,0.00872
GHI-07,SCOPE,sonnet,claude-sonnet-4-6,ok,'Even when overfull and items have no current use' marks discard difficulty beyond normal engaged-player inventory management.,,,7.02,0.001676
GHI-07,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"The stem uses no clinical-disorder vocabulary; it describes difficulty discarding items as a behavioral consequence, not a diagnostic label.",,,3.18,0.001676
GHI-07,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes difficulty discarding items without invoking clinical vocabulary like addiction, compulsion, obsession, or withdrawal.",,,3.39,0.013466
GHI-07,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The stem targets difficulty discarding items with no current use when overfull, marking irrational retention beyond strategic resource management.",,,3.77,0.001753
GHI-07,SCOPE,haiku,claude-haiku-4-5,ok,"Includes difficulty marker ('difficult') and practical impairment context ('overfull'), exceeding universal engaged-player behavior.",,,16.53,0.014628
GHI-07,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem specifies items have no current use and inventory is overfull, isolating discard difficulty beyond rational resource retention.",,,3.45,0.013409
GHI-07,LANGUAGE,haiku,claude-haiku-4-5,ok,Stem contains no clinical-disorder vocabulary and does not presuppose pathology; 'difficult' is descriptive language.,,,15.34,0.009313
GHI-08,SCOPE,sonnet,claude-sonnet-4-6,ok,'Purely to avoid discarding items I might never use again' marks loss-of-control hoarding beyond normal engaged-player inventory management.,,,5.99,0.001749
GHI-08,SCOPE,opus,claude-opus-4-7,ok,Stem specifies escalation beyond normal play—dedicating alternate characters or paid storage purely to avoid discarding—distinguishing it from typical engaged inventory use.,,,3.8,0.014127
GHI-08,LANGUAGE,sonnet,claude-sonnet-4-6,ok,The stem uses no clinical-disorder vocabulary; it describes a behavioral workaround without importing addiction or compulsion language.,,,3.01,0.001659
GHI-08,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes concrete behavior (maintaining storage to avoid discarding) without clinical-disorder vocabulary like addiction, compulsion, or obsession.",,,3.7,0.014058
GHI-08,LANGUAGE,haiku,claude-haiku-4-5,ok,Stem uses descriptive behavioral language without clinical-disorder vocabulary or presuppositional disorder markers.,,,12.44,0.009721
GHI-08,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,violates,"Maintaining extra storage is normatively rational inventory management, yet the stem frames it as inherently symptomatic with no distress or impairment marker.",,,4.17,0.001856
GHI-07,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"Item centers on loss-of-control (difficulty), not rationale; conditions eliminate adaptive inventory management.",,,34.45,0.022336
GHI-08,OVERPATHOLOGIZING,opus,claude-opus-4-7,violates,"Maintaining alts or paid storage is a normatively rational workaround to designed inventory limits, framed here as inherently problematic without distress or impairment markers.",,,3.56,0.014301
GHI-09,SCOPE,sonnet,claude-sonnet-4-6,ok,The item includes a duration marker ('more than an hour') and impairment marker ('rather than playing') distinguishing it from normal play.,,,2.73,0.001734
GHI-08,SCOPE,haiku,claude-haiku-4-5,violates,"Describes common inventory management (maintaining alt chars, paid storage to avoid discarding items) without frequency, distress, or control markers.",,,32.15,0.021901
GHI-09,SCOPE,opus,claude-opus-4-7,ok,Stem includes a duration marker ('more than an hour in a single session') distinguishing it from normal inventory management.,,,4.02,0.01254
GHI-09,SCOPE,haiku,claude-haiku-4-5,ok,"Item includes explicit duration marker ('more than an hour') and displacement marker (organizing instead of playing), distinguishing it from normal engagement.",,,8.27,0.00722
GHI-09,LANGUAGE,sonnet,claude-sonnet-4-6,ok,The stem uses no clinical-disorder vocabulary; it reports a behavioral duration consequence without importing addiction or compulsion language.,,,3.66,0.001644
GHI-09,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes observable behavior (time spent organising) without clinical-disorder vocabulary like addiction, compulsion, or obsession.",,,3.05,0.013371
GHI-09,LANGUAGE,haiku,claude-haiku-4-5,ok,"Stem avoids clinical-disorder vocabulary (addiction, compulsion, obsession) and presupposes no pathology; describes pure behavior.",,,6.89,0.007045
GHI-09,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The explicit time marker ('more than an hour') frames the behavior as impairment, not adaptive resource management.",,,2.64,0.001706
GHI-09,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem specifies an hour spent organising instead of playing, marking impairment beyond normatively rational inventory management.",,,3.38,0.013239
GHI-10,SCOPE,sonnet,claude-sonnet-4-6,ok,"The item specifies escalation (storage full) and impairment (paid storage expansion), distinguishing it from normal inventory management.",,,2.77,0.013892
GHI-10,SCOPE,opus,claude-opus-4-7,ok,"Stem includes escalation markers (storage full, chose to expand rather than discard) that exceed typical engaged play.",,,3.21,0.099637
GHI-08,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,violates,"Frames adaptive inventory management using game-provided storage as symptomatic without distress, impairment, or loss-of-control markers.",,,37.29,0.021169
GHI-10,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"The stem uses no clinical-disorder vocabulary; it describes behavioral consequences (full inventory, paid storage expansion) without diagnostic labels.",,,2.89,0.013862
GHI-10,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes behavior and choices without using clinical-disorder vocabulary like addiction, compulsion, obsession, or craving.",,,3.59,0.100312
GHI-09,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,Duration threshold ('more than an hour') and impairment marker ('rather than playing') explicitly distinguish excessive from normal inventory management.,,,23.12,0.017273
GHI-10,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The symptom-like aspect—escalation to paid storage expansion rather than discarding—is the explicit, impairment-marked subject of the item.",,,2.66,0.014057
GHI-10,LANGUAGE,haiku,claude-haiku-4-5,ok,"Stem avoids clinical-disorder vocabulary (addiction, compulsion, obsession) and presupposed pathology, using purely behavioral language throughout.",,,17.14,0.013447
GHI-10,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly targets escalation (storage expansion rather than discarding unused items), making the symptom-like aspect the subject rather than pathologizing rational management.",,,3.72,0.101738
GHI-10,SCOPE,haiku,claude-haiku-4-5,ok,"Escalation marker ('storage full'), frequency marker ('continued'), and loss-of-control choice ('expand rather than discard') distinguish from normal play.",,,28.19,0.021357
GHI-11,SCOPE,sonnet,claude-sonnet-4-6,ok,"The qualifier 'no longer enjoy' marks a joyless compulsion absent in normal engaged play, distinguishing it from typical completionism.",,,3.14,0.001734
GHI-11,SCOPE,opus,claude-opus-4-7,ok,Stem includes 'no longer enjoy' as an impairment marker distinguishing it from normal completionist engagement.,,,5.07,0.012698
GHI-11,SCOPE,haiku,claude-haiku-4-5,ok,"Item includes explicit distress marker ('no longer enjoy') and loss-of-control marker ('purely to finish'), distinguishing from normal achievement play.",,,13.05,0.009131
GHI-11,LANGUAGE,haiku,claude-haiku-4-5,ok,No clinical-disorder vocabulary or presuppositional language present; describes behavior plainly without diagnostic labeling.,,,8.16,0.006846
GHI-11,LANGUAGE,sonnet,claude-sonnet-4-6,ok,The stem uses no clinical-disorder vocabulary; it describes a behavioral consequence (returning to an unenjoyable game) without diagnostic labels.,,,4.95,0.001719
GHI-11,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes behavior and loss of enjoyment without invoking clinical vocabulary like addiction, compulsion, or obsession.",,,2.85,0.013304
GHI-11,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem specifies returning to a game no longer enjoyed, marking behavior that exceeds rational engagement rather than adaptive achievement pursuit.",,,3.72,0.014221
GHI-11,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item targets playing despite no enjoyment, making the distress/irrationality explicit rather than framing rational behavior as a symptom.",,,8.34,0.001796
GHI-10,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"Explicitly targets unused items with escalation markers (paid storage expansion), not framing normal adaptive play as problematic.",,,29.16,0.01947
GHI-12,SCOPE,opus,claude-opus-4-7,ok,Stem includes explicit distress ('persistent discomfort') and impairment ('interferes with my enjoyment of other games') markers beyond normal engagement.,,,3.67,0.013688
GHI-12,SCOPE,sonnet,claude-sonnet-4-6,ok,"The stem includes an explicit impairment marker ('interferes with enjoyment of other games'), distinguishing it from normal engaged play.",,,4.15,0.001705
GHI-12,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"The stem uses 'discomfort' and 'interferes' as reported consequences, not clinical-disorder labels like addiction or compulsion.",,,3.88,0.00175
GHI-12,SCOPE,haiku,claude-haiku-4-5,ok,"Item includes explicit distress ('persistent discomfort') and impairment ('interferes with enjoyment of other games') markers, distinguishing it from typical engagement.",,,11.05,0.009506
GHI-12,LANGUAGE,haiku,claude-haiku-4-5,ok,"Discomfort is framed as behavioral consequence, not diagnostic label; no clinical-disorder vocabulary present.",,,10.08,0.008501
GHI-12,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes discomfort and interference as consequences without using clinical-disorder labels like addiction, compulsion, or obsession.",,,7.4,0.013168
GHI-12,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item explicitly targets distress and cross-game impairment as the symptom, not the rational act of pursuing achievements itself.",,,3.23,0.001768
GHI-12,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly targets distress and interference with enjoyment of other games, not the achievement-pursuit behavior itself.",,,5.82,0.013487
GHI-13,SCOPE,sonnet,claude-sonnet-4-6,ok,Loss-of-control marker ('cannot stop') and impairment indicator ('regardless of whether finishing is fun') distinguish this from normal engaged play.,,,3.27,0.001751
GHI-12,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"Item explicitly anchors pathology to distress and impairment (interference with other games) as measured consequences, not to the normatively rational desire to complete.",,,16.55,0.012549
GHI-13,SCOPE,opus,claude-opus-4-7,ok,"The stem includes a loss-of-control marker ('cannot stop') and persistence despite absence of enjoyment, distinguishing it from normal engaged play.",,,4.01,0.013685
GHI-13,SCOPE,haiku,claude-haiku-4-5,ok,"Item includes loss-of-control (""cannot stop"") and impairment (""regardless of whether finishing is fun"") markers that distinguish pathological from normal engagement.",,,11.96,0.011152
GHI-13,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"The stem reports a felt inability to stop as a behavioral consequence, not a clinical diagnostic label attached to the behavior.",,,2.76,0.001646
GHI-13,LANGUAGE,haiku,claude-haiku-4-5,ok,"Stem avoids clinical-disorder vocabulary (addiction, compulsion, obsession) and does not presuppose disorder via diagnostic labels.",,,12.36,0.010812
GHI-13,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item targets loss-of-control and joyless compulsion ('regardless of whether finishing is fun'), not rational collection engagement.",,,3.64,0.001768
GHI-13,LANGUAGE,opus,claude-opus-4-7,ok,"'Cannot stop' describes loss of control as a consequence without importing clinical labels like addiction, compulsion, or obsession into the stem.",,,13.17,0.013466
GHI-13,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly frames loss-of-control ('cannot stop') and continuation despite absence of enjoyment, targeting symptom-like aspects rather than rational completion.",,,3.81,0.014759
GHI-14,SCOPE,sonnet,claude-sonnet-4-6,ok,"Purchasing an unwanted game solely for achievements is not universal among engaged players and implies irrational, distress-adjacent motivation.",,,2.98,0.001703
GHI-14,SCOPE,opus,claude-opus-4-7,ok,Purchasing a game with no interest in playing solely for achievements is atypical and exceeds normal engaged play.,,,4.61,0.012539
GHI-13,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,Item explicitly marks loss of control and contrasts fun-driven completion (adaptive) from continuation despite lost enjoyment (compulsive).,,,21.63,0.012635
GHI-14,LANGUAGE,sonnet,claude-sonnet-4-6,ok,The stem uses no clinical-disorder vocabulary; it describes a purchasing behavior without diagnostic labels or addiction framing.,,,3.43,0.001628
GHI-11,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,No longer enjoy marks engagement past natural stopping cue; exemplifies escalation beyond planned commitment.,,,67.54,0.047979
GHI-14,LANGUAGE,haiku,claude-haiku-4-5,ok,"Stem avoids clinical-disorder vocabulary (addiction, compulsion, obsession) and presupposition of pathology; uses neutral behavioral language.",,,7.81,0.007001
GHI-14,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes a concrete purchasing behavior without clinical-disorder vocabulary like addiction, compulsion, obsession, or craving.",,,4.15,0.01352
GHI-14,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,Purchasing a game with no interest in playing it solely for achievements exceeds normatively rational engagement with the designed environment.,,,3.5,0.013463
GHI-15,SCOPE,haiku,claude-haiku-4-5,ok,Explicit distress markers ('guilt or anxiety') and loss-of-control marker ('continued to buy even when') distinguish from normal sale purchasing behavior.,,,8.91,0.009169
GHI-15,SCOPE,sonnet,claude-sonnet-4-6,ok,"The item includes explicit distress markers ('ongoing guilt or anxiety') and escalation beyond rational need, distinguishing it from normal engaged play.",,,3.11,0.013877
GHI-15,SCOPE,opus,claude-opus-4-7,ok,"Stem includes escalation ('continued to buy...even when') and explicit distress markers (ongoing guilt or anxiety), distinguishing it from typical sale purchasing.",,,4.73,0.101025
GHI-14,SCOPE,haiku,claude-haiku-4-5,ok,Explicit lack of interest in playing marks this as outside typical engagement patterns.,,,39.52,0.027781
GHI-14,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"Buying a game one has no interest in playing solely for achievements exceeds normatively rational achievement engagement, so the framing is not overpathologizing.",,,28.16,0.022675
GHI-15,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"Guilt and anxiety are reported as experienced consequences of behavior, not clinical-disorder labels attached to the behavior itself.",,,6.72,0.013802
GHI-15,LANGUAGE,opus,claude-opus-4-7,ok,"Guilt and anxiety are reported as consequences of behavior, not clinical-disorder labels like addiction or compulsion attached to the behavior itself.",,,3.34,0.100725
GHI-14,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,Item distinguishes normal achievement engagement from excessive pursuit: buying games you lack interest in solely for achievement rewards.,,,43.26,0.031054
GHI-15,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item targets ongoing guilt/anxiety as the explicit symptom, not the rational act of purchasing discounted games itself.",,,10.82,0.013907
GHI-15,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly centers continued purchasing despite ongoing guilt/anxiety, making distress and escalation the subject rather than pathologizing rational sale-buying.",,,3.47,0.10185
GHI-16,SCOPE,sonnet,claude-sonnet-4-6,ok,"The stem includes explicit distress markers ('guilt or anxiety') and loss-of-control continuation, distinguishing it from normal engaged play.",,,2.83,0.001721
GHI-16,SCOPE,opus,claude-opus-4-7,ok,"Stem includes explicit distress markers (ongoing guilt/anxiety) and continued escalation, distinguishing it from typical engaged backlog behavior.",,,3.16,0.013761
GHI-16,SCOPE,haiku,claude-haiku-4-5,ok,Explicit distress ('ongoing guilt or anxiety') and loss-of-control markers ('continue to add') distinguish it from normal engagement.,,,9.92,0.009497
GHI-15,LANGUAGE,haiku,claude-haiku-4-5,ok,"Frames guilt/anxiety as consequences of behavior, not diagnostic labels; contains no clinical-disorder vocabulary (addiction, compulsion, obsession, etc.).",,,31.98,0.028704
GHI-15,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"Loss-of-control marker ('continued') and distress foreground excessive accumulation despite consequences, not sale-purchasing behavior itself.",,,24.51,0.018962
GHI-16,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"'Guilt or anxiety' are reported as consequences of behavior, not clinical labels attached to the behavior itself.",,,2.69,0.001631
GHI-16,LANGUAGE,opus,claude-opus-4-7,ok,"Guilt and anxiety are reported as consequences of the behavior, not clinical-disorder labels attached to it.",,,2.93,0.012792
GHI-16,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item explicitly targets distress and loss-of-control continuation, not rational sale-purchasing or collection behavior itself.",,,2.68,0.001723
GHI-16,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem explicitly centers distress (guilt/anxiety) and continued adding despite it, making the symptom-like aspect the subject rather than rational sale-buying.",,,3.29,0.014535
GHI-17,SCOPE,sonnet,claude-sonnet-4-6,ok,"The stem requires 'meaningfully painful' affect even when the resource has zero value and can be replenished, marking a response beyond typical engaged play.",,,3.95,0.001781
GHI-16,LANGUAGE,haiku,claude-haiku-4-5,ok,"No clinical-disorder vocabulary; guilt and anxiety are reported as consequences of behavior, not diagnostic labels.",,,11.58,0.007767
GHI-17,SCOPE,opus,claude-opus-4-7,violates,"Mild loss aversion on virtual resources is near-universal among engaged players; stem lacks frequency, distress, impairment, or loss-of-control markers.",,,3.86,0.013694
GHI-17,LANGUAGE,haiku,claude-haiku-4-5,ok,"""Painful"" describes emotional consequence, not clinical-disorder vocabulary; no pathology presupposition present.",,,7.28,0.007464
GHI-17,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"The stem uses no clinical-disorder vocabulary; 'painful' describes a reported consequence, not a diagnostic label.",,,3.84,0.001646
GHI-16,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,"Distress and continued behavior despite distress are explicit subject matter, distinguishing symptom from rational acquisition.",,,19.06,0.014215
GHI-17,LANGUAGE,opus,claude-opus-4-7,ok,"Stem describes a felt consequence ('meaningfully painful') without invoking clinical-disorder vocabulary like addiction, compulsion, withdrawal, or obsession.",,,4.69,0.014375
GHI-17,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,The item targets the irrational pain response itself—explicitly when replenishment is possible and real-world value is zero—not the rational resource-saving behavior.,,,5.8,0.001874
GHI-17,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem targets the disproportionate affective pain of spending replenishable, valueless resources, which is the symptom-like aspect rather than rational conservation.",,,3.43,0.014167
GHI-17,SCOPE,haiku,claude-haiku-4-5,ok,Explicit emotional distress marker ('meaningfully painful') distinguishes from universal resource reluctance among typical players.,,,21.66,0.016469
