pmid,tier,model,sample_idx,verdict,domains,reason,parse_error,error,latency_s,cost_usd
41140132,sonnet,claude-sonnet-4-6,1,Exclude,,"Editorial without original data; primarily opinion/commentary on regulation, not an empirical study of game behavior.",,,3.3,0.013499
41140132,haiku,claude-haiku-4-5,2,Exclude,,"Editorial commentary without original data, excluded per PRISMA exclusion criterion 4.",,,14.74,0.011551
41140132,opus,claude-opus-4-7,1,Exclude,,"Editorial/opinion piece without original data, excluded per criterion 4 despite topical relevance to loot boxes.",,,3.25,0.098456
41140132,opus,claude-opus-4-7,0,Exclude,,"Editorial/opinion piece without original data, excluded per criterion 4 despite discussing loot box mechanics.",,,3.38,0.098381
41140132,opus,claude-opus-4-7,2,Exclude,,"Editorial/commentary without original data, excluded per criterion 4 despite topical relevance to loot boxes.",,,3.14,0.098306
41140132,sonnet,claude-sonnet-4-6,0,Exclude,,Editorial commentary without original data; excluded per exclusion criterion 4.,,,3.97,0.001491
41140132,sonnet,claude-sonnet-4-6,1,Exclude,,Editorial without original data; excluded per exclusion criterion 4 (editorials without original data).,,,2.72,0.001581
41140132,haiku,claude-haiku-4-5,2,Exclude,,Editorial opinion piece without original data; exclusion criterion #4 applies.,,,13.51,0.010636
41140132,sonnet,claude-sonnet-4-6,2,Exclude,,Editorial opinion piece without original data; excluded per exclusion criterion 4.,,,5.29,0.001506
40211461,sonnet,claude-sonnet-4-6,0,Exclude,,"Focuses on LGBTQ+ representation and homocapitalism critique; no behavioral or psychological measures of hoarding, collecting, or loss aversion.",,,3.38,0.013525
41140132,opus,claude-opus-4-7,0,Exclude,,"Editorial/opinion piece without original data, excluded per criterion 4 despite topical relevance to loot boxes.",,,3.17,0.012431
40211461,sonnet,claude-sonnet-4-6,1,Exclude,,"Focuses on identity commodification and homocapitalism critique; no behavioral or psychological measures of hoarding, collecting, or loss aversion.",,,2.75,0.001719
40211461,haiku,claude-haiku-4-5,0,Exclude,,"Critical/theoretical analysis of LGBTQ+ representation and gaming capitalism; no empirical study of hoarding, inventory, or item retention behaviors.",,,14.82,0.011105
41140132,opus,claude-opus-4-7,1,Exclude,,"Editorial/commentary without original data, excluded per criterion 4 despite topical relevance to loot boxes.",,,3.25,0.01228
40211461,sonnet,claude-sonnet-4-6,2,Exclude,,"Focuses on LGBTQ+ identity commodification and capitalism critique; no behavioral or psychological measures of hoarding, collecting, or loss aversion.",,,3.58,0.001734
40211461,haiku,claude-haiku-4-5,2,Exclude,,"Focuses on LGBTQ+ representation and commodification driving consumerism; no measurement of hoarding behaviors, loss aversion, or collecting constructs.",,,17.64,0.01079
41140132,opus,claude-opus-4-7,2,Exclude,,Editorial/opinion piece without original data; excluded per criterion 4 despite topical relevance to loot boxes.,,,3.06,0.012431
40211461,opus,claude-opus-4-7,0,Exclude,,Critical/cultural analysis of LGBTQ+ commodification via microtransactions; lacks behavioral or psychological measures and no hoarding/collecting construct linkage.,,,4.19,0.098119
40211461,haiku,claude-haiku-4-5,1,Exclude,,"Critiques LGBTQ+ cosmetic commodification; does not examine hoarding, loss aversion, or retention behaviors.",,,19.64,0.013825
40211461,opus,claude-opus-4-7,1,Exclude,,Critical theory paper on LGBTQ+ commodification via microtransactions; focuses on monetization economics without behavioral/psychological measures of hoarding or collecting.,,,3.11,0.013633
40211461,opus,claude-opus-4-7,2,Exclude,,Critical analysis of LGBTQ+ commodification via microtransactions; focuses on monetization economics and identity politics without behavioral or psychological measures of hoarding.,,,3.95,0.013633
32306232,sonnet,claude-sonnet-4-6,0,Maybe,D3,"Covers monetary gaming and microtransactions but focuses on community/social factors, not collecting or hoarding behavior directly.",,,4.2,0.014061
32306232,sonnet,claude-sonnet-4-6,1,Maybe,D3,"Covers microtransactions and monetary gaming communities but focuses on social dynamics, not collecting/hoarding behavior directly; full-text needed.",,,3.06,0.001784
32306232,sonnet,claude-sonnet-4-6,2,Maybe,D3,"Covers monetary gaming and microtransactions but focuses on virtual communities and social influence, not collecting or hoarding behavior directly.",,,3.41,0.001739
40211461,haiku,claude-haiku-4-5,0,Exclude,,Analyzes representation and capitalism without empirical study of hoarding or inventory behaviors.,,,17.61,0.012395
32306232,opus,claude-opus-4-7,0,Maybe,D3,"Systematic review of online gambling/gaming communities touches microtransactions and purchase intentions but focus is community influence, not hoarding behaviors directly.",,,3.77,0.103594
32306232,opus,claude-opus-4-7,1,Maybe,D3,Systematic review of online gambling/gaming communities touches microtransactions and purchase intentions but focuses on community influence rather than hoarding behaviors directly.,,,3.51,0.014027
32306232,opus,claude-opus-4-7,2,Maybe,D3,Systematic review of online gambling/gaming communities touches microtransactions and purchase intentions but focuses on community influence rather than hoarding behaviors directly.,,,3.49,0.014027
40211461,haiku,claude-haiku-4-5,1,Exclude,,"Focuses on LGBTQ+ representation commodification, not hoarding, inventory, collecting, or game behavior constructs.",,,14.21,0.010855
32306232,haiku,claude-haiku-4-5,1,Maybe,D3|Cross-domain,Reviews gaming with monetary features and behavioral outcomes; full-text needed to verify studies examine hoarding/loss-aversion domains.,,,41.75,0.028452
32306232,haiku,claude-haiku-4-5,0,Maybe,D3,Mixed review of gambling and gaming; loot box inclusion relevant but full-text needed to assess scope.,,,47.96,0.030312
36998766,haiku,claude-haiku-4-5,0,Exclude,,Regulatory labeling compliance audit; does not examine hoarding-related behaviors or psychological game mechanics impacts.,,,23.65,0.015696
36998766,sonnet,claude-sonnet-4-6,0,Exclude,,Focuses on regulatory label compliance and monetization policy without behavioral or psychological measures of player behavior.,,,2.82,0.014331
36998766,sonnet,claude-sonnet-4-6,1,Exclude,,Focuses on regulatory label compliance and monetization policy without behavioral or psychological measures of loot box behavior.,,,3.2,0.001665
36998766,sonnet,claude-sonnet-4-6,2,Exclude,,"Focuses on regulatory label compliance and industry self-regulation, not behavioral or psychological measures of loot box collecting.",,,3.12,0.001695
40211461,haiku,claude-haiku-4-5,2,Exclude,,Cultural critique of LGBTQ+ commodification; no empirical examination of hoarding or collecting behaviors.,,,26.26,0.015595
32306232,haiku,claude-haiku-4-5,2,Maybe,D3,Systematic review on gaming communities with monetary features; may discuss gacha/loot box communities; requires full-text assessment of behavioral focus.,,,57.73,0.039872
36998766,opus,claude-opus-4-7,0,Exclude,,"Study examines industry compliance with loot box warning labels, not player behavior or psychological measures of hoarding/collecting.",,,3.22,0.103519
40211461,sonnet,claude-sonnet-4-6,0,Exclude,,Focuses on LGBTQ+ identity commodification and monetization economics without behavioral or psychological hoarding measures.,,,2.9,0.001614
36998766,haiku,claude-haiku-4-5,1,Exclude,,"Compliance audit of loot box warning label accuracy; does not measure player behavior, collecting patterns, or psychological constructs.",,,18.13,0.010561
36998766,opus,claude-opus-4-7,1,Exclude,,"Study examines industry compliance with loot box warning labels, not player behavioral or psychological measures related to hoarding constructs.",,,3.39,0.012979
36998766,opus,claude-opus-4-7,2,Exclude,,"Study examines industry compliance with loot box warning labels, not player behavior or psychological measures related to hoarding constructs.",,,3.14,0.012904
40211461,sonnet,claude-sonnet-4-6,1,Exclude,,Focuses on LGBTQ+ commodification critique and monetization economics without behavioral or psychological measures of hoarding-related constructs.,,,3.2,0.001689
36998766,haiku,claude-haiku-4-5,2,Exclude,,Examines regulatory compliance of loot box labeling without measuring player hoarding behavior or psychology.,,,18.81,0.014236
40211461,sonnet,claude-sonnet-4-6,2,Exclude,,Focuses on LGBTQ+ identity commodification and homocapitalism critique; no behavioral or psychological hoarding/collecting measures examined.,,,3.1,0.001719
41556971,sonnet,claude-sonnet-4-6,0,Exclude,,Commentary without original data; excluded per criterion E4 (editorials/opinion pieces without original empirical data).,,,3.1,0.014012
41556971,sonnet,claude-sonnet-4-6,1,Exclude,,Commentary without original data; excluded per exclusion criterion 4 (editorial/opinion piece without original empirical data).,,,2.92,0.00168
41556971,haiku,claude-haiku-4-5,0,Exclude,,Commentary without original data calling for future research. Excluded per exclusion criterion 4.,,,13.44,0.01179
41556971,sonnet,claude-sonnet-4-6,2,Exclude,,"Commentary without original data; focuses on gaming disorder classification, not hoarding-related in-game behaviors or virtual item accumulation.",,,2.66,0.00171
41556971,haiku,claude-haiku-4-5,1,Exclude,,Commentary piece without original empirical data or systematic review; proposes studying non-digital gaming rather than investigating behaviors.,,,14.29,0.01094
41556971,opus,claude-opus-4-7,0,Exclude,,"Commentary/opinion piece without original data, excluded per criterion 4.",,,3.81,0.1002
41556971,opus,claude-opus-4-7,1,Exclude,,"Commentary/opinion piece without original data, excluded per criterion 4.",,,2.93,0.1002
40211461,opus,claude-opus-4-7,0,Exclude,,Critical theory paper on LGBTQ+ commodification via microtransactions; focuses on monetization economics and identity politics without behavioral or psychological hoarding measures.,,,12.17,0.013633
41556971,opus,claude-opus-4-7,2,Exclude,,Commentary/opinion piece without original data; excluded per criterion 4 despite discussing loot-box-like monetization in non-digital games.,,,3.22,0.013179
41556971,haiku,claude-haiku-4-5,2,Exclude,,Excludes commentary without original data (protocol criterion 4). Speculates on non-digital games without empirical evidence.,,,17.6,0.01297
40211461,opus,claude-opus-4-7,1,Exclude,,Critical/cultural analysis of LGBTQ+ representation and monetization without behavioral or psychological measures of hoarding-related game behaviors.,,,3.21,0.013109
40569695,sonnet,claude-sonnet-4-6,0,Exclude,,"Studies loot-box advertising compliance, not behavioral or psychological measures of collecting or hoarding behavior.",,,2.8,0.014132
40211461,opus,claude-opus-4-7,2,Exclude,,Critical analysis of LGBTQ+ commodification via microtransactions; focuses on monetization economics and identity politics without behavioral or psychological measures of hoarding.,,,4.31,0.013633
40569695,haiku,claude-haiku-4-5,2,Exclude,,Regulatory compliance study on loot box advertising disclosure; does not examine player hoarding or collecting behaviors.,,,15.32,0.011369
40569695,haiku,claude-haiku-4-5,1,Exclude,,"Advertising compliance audit; lacks behavioral/psychological measures of player hoarding, collecting, or loss aversion.",,,17.49,0.013004
40569695,sonnet,claude-sonnet-4-6,1,Exclude,,"Focuses on advertising regulation and legal compliance, not behavioral or psychological measures of loot box collecting behavior.",,,13.21,0.001648
40569695,haiku,claude-haiku-4-5,0,Exclude,,"Examines loot box advertising compliance and regulatory enforcement, not player hoarding behaviors or psychological constructs.",,,19.32,0.013689
40569695,sonnet,claude-sonnet-4-6,2,Exclude,,"Focuses on advertising compliance and regulation policy, not behavioral or psychological measures of loot box collecting behavior.",,,2.98,0.001648
40569695,opus,claude-opus-4-7,0,Exclude,,"Study analyzes loot box advertising compliance and regulation, not player hoarding/collecting behavior or psychological measures.",,,3.29,0.10275
40569695,opus,claude-opus-4-7,1,Exclude,,"Study examines advertising compliance and regulation for loot boxes, not player behavioral or psychological measures of collecting/hoarding.",,,3.14,0.102975
40569695,opus,claude-opus-4-7,2,Exclude,,"Study examines advertising compliance and regulation of loot boxes, not player behavior, psychology, or hoarding-related constructs.",,,5.56,0.013062
35954678,sonnet,claude-sonnet-4-6,0,Exclude,,"Policy/regulatory commentary without original behavioral or psychological data; focused on legislation, not empirical game behavior study.",,,3.28,0.013814
35954678,sonnet,claude-sonnet-4-6,1,Exclude,,Policy/regulatory commentary on loot boxes without empirical behavioral or psychological data; no original data collected.,,,2.79,0.00162
35954678,sonnet,claude-sonnet-4-6,2,Exclude,,Policy/regulatory commentary on loot boxes without behavioral or psychological measures; no original empirical data on hoarding-related behavior.,,,3.04,0.001695
35954678,haiku,claude-haiku-4-5,2,Exclude,,Policy commentary on game regulation without original empirical data on player hoarding or collecting behavior.,,,11.68,0.009226
35954678,haiku,claude-haiku-4-5,0,Exclude,,Policy commentary on regulation without empirical study or original behavioral data.,,,14.49,0.010621
35954678,haiku,claude-haiku-4-5,1,Exclude,,Commentary on regulation without original empirical data on hoarding-related game behaviors.,,,15.53,0.011816
35954678,opus,claude-opus-4-7,0,Exclude,,Policy/regulatory commentary on video game legislation without original empirical data or behavioral measures.,,,2.88,0.099469
35954678,opus,claude-opus-4-7,2,Exclude,,Policy/regulatory commentary on video game legislation and loot boxes without original empirical data or behavioral measures.,,,3.29,0.099919
35954678,opus,claude-opus-4-7,1,Exclude,,Policy/regulatory commentary on video game legislation without original empirical data or behavioral measures.,,,6.76,0.012028
40730840,sonnet,claude-sonnet-4-6,0,Exclude,,"Examines psychological ownership in environmental serious games, not virtual item hoarding or game-behavior hoarding constructs.",,,2.85,0.013836
40730840,sonnet,claude-sonnet-4-6,1,Exclude,,"Examines pro-environmental behavior via serious games, not in-game hoarding, collecting, or related behavioral domains.",,,2.7,0.001679
32306232,haiku,claude-haiku-4-5,0,Maybe,D3,"Systematic review of monetary gaming communities; explicitly mentions loot boxes, but primary focus on social influence mechanisms rather than hoarding-related behavioral outcomes.",,,38.48,0.025452
40730840,haiku,claude-haiku-4-5,1,Exclude,,"Studies environmental behavior through serious games; no hoarding, item collecting, inventory management, or virtual possession examined.",,,12.07,0.010814
40730840,sonnet,claude-sonnet-4-6,2,Exclude,,"Studies psychological ownership of the environment via serious games, not virtual item ownership or hoarding in game contexts.",,,3.23,0.001619
40730840,haiku,claude-haiku-4-5,2,Exclude,,"Environmental serious game study; no focus on in-game hoarding, gacha, inventory paralysis, or virtual possession.",,,12.58,0.010439
40730840,haiku,claude-haiku-4-5,0,Exclude,,"Environmental behavior intervention; no examination of game-item hoarding, gacha, inventory, or disorder constructs.",,,15.66,0.012284
40730840,opus,claude-opus-4-7,0,Exclude,,"Studies psychological ownership of environmental behavior via serious games, not virtual item hoarding or game-item ownership relevant to review domains.",,,3.93,0.102188
40730840,opus,claude-opus-4-7,1,Exclude,,"Studies psychological ownership in environmental serious games for pro-environmental behavior, not virtual item hoarding or game-context accumulation behaviors.",,,3.57,0.102488
40730840,opus,claude-opus-4-7,2,Exclude,,"Environmental serious game intervention on pro-environmental behavior; psychological ownership is environmental, not virtual game items, outside hoarding scope.",,,4.08,0.013437
41115014,sonnet,claude-sonnet-4-6,0,Exclude,,Terminological/taxonomy review of internet disorders without game-specific behavioral or psychological data on any target domain.,,,2.99,0.013784
41115014,sonnet,claude-sonnet-4-6,1,Exclude,,Conceptual/terminological systematic review without game-specific behavioral or psychological data; digital hoarding mentioned only as a subcategory label.,,,4.82,0.001738
41115014,sonnet,claude-sonnet-4-6,2,Exclude,,Terminology/taxonomy review of internet disorders; digital hoarding mentioned without game component; no behavioral or psychological game-behavior data.,,,3.12,0.001693
41115014,opus,claude-opus-4-7,0,Maybe,Cross-domain,Umbrella review of problematic internet use mentioning gaming and digital hoarding subcategories; full-text needed to confirm game-specific hoarding content.,,,3.44,0.101025
32306232,haiku,claude-haiku-4-5,1,Maybe,D3,Systematic review on gaming communities and monetization; may discuss loot box/gacha but needs full-text to confirm.,,,25.09,0.016777
41115014,opus,claude-opus-4-7,1,Exclude,,Terminological review of problematic internet usage subcategories; not focused on in-game hoarding behaviors or related constructs.,,,4.09,0.012591
41115014,opus,claude-opus-4-7,2,Exclude,,"Umbrella terminology review of problematic internet use subcategories; no specific focus on game hoarding, loot boxes, or behavioral domains of interest.",,,3.48,0.013416
41115014,haiku,claude-haiku-4-5,0,Exclude,,"Terminology review of PUI broadly; does not examine in-game behaviors (loot boxes, inventory, completionism). Digital hoarding likely non-gaming.",,,24.21,0.014968
41115014,haiku,claude-haiku-4-5,2,Exclude,,"Broad PUI terminological review; does not examine in-game hoarding, loot boxes, gacha, or game-specific behavioral constructs.",,,28.61,0.020143
41115014,haiku,claude-haiku-4-5,1,Exclude,,Broad PUI terminology review without focus on game-specific hoarding behaviors or clinical connections.,,,30.52,0.018328
36748997,sonnet,claude-sonnet-4-6,0,Exclude,,Studies loss aversion via fMRI in gambling contexts with no game mechanic or virtual item component.,,,3.08,0.013926
36748997,sonnet,claude-sonnet-4-6,1,Exclude,,Loss aversion study uses gambling paradigm in social decision-making context with no game mechanic component.,,,2.56,0.00163
36748997,haiku,claude-haiku-4-5,0,Exclude,,Gambling task in non-game context; falls under pure gambling exclusion criterion without game mechanics.,,,14.17,0.010825
36748997,sonnet,claude-sonnet-4-6,2,Exclude,,"fMRI study of loss aversion in gamble tasks with no game mechanic, inventory, or hoarding component.",,,3.09,0.00169
36748997,haiku,claude-haiku-4-5,1,Exclude,,Pure gambling task in fMRI without game mechanics or game context; excluded per criterion #3.,,,15.94,0.01248
36748997,opus,claude-opus-4-7,0,Exclude,,fMRI study of loss aversion in monetary gambles for self versus others; no game or gaming context.,,,3.78,0.100238
36748997,opus,claude-opus-4-7,1,Exclude,,Neuroimaging study of loss aversion in mixed gambles for self/others; no game context or game-related behavior.,,,3.13,0.012534
36748997,opus,claude-opus-4-7,2,Exclude,,fMRI study of loss aversion in mixed gambles for self versus others; no game context or game-related hoarding behavior.,,,3.22,0.012684
36748997,haiku,claude-haiku-4-5,2,Exclude,,Pure gambling/decision-making study without game mechanics or gaming context; per Exclusion Criterion 3.,,,14.79,0.01082
34857367,sonnet,claude-sonnet-4-6,0,Exclude,,Examines gambling and behavioral addictions in treatment-seeking patients without any game mechanic or virtual item component.,,,3.01,0.014177
34857367,sonnet,claude-sonnet-4-6,1,Exclude,,Focuses on gambling and internet addiction prevalence in clinical patients; no game mechanic or loot box component.,,,3.3,0.001678
32306232,haiku,claude-haiku-4-5,2,Maybe,,Systematic review on monetary gaming and online communities; requires full-text to confirm hoarding-behavioral domain focus.,,,35.05,0.024137
34857367,sonnet,claude-sonnet-4-6,2,Exclude,,Examines gambling and internet addictions in clinical patients without any game mechanic or loot box component.,,,4.7,0.001663
34857367,opus,claude-opus-4-7,0,Exclude,,"General addiction prevalence study on gambling and internet use; no loot box, gacha, or game-specific hoarding behavioral measures.",,,3.66,0.10275
34857367,haiku,claude-haiku-4-5,0,Exclude,,"Published in French, not English/Japanese. Examines general gambling/Internet addictions, not game hoarding behaviors.",,,18.84,0.012519
32306232,sonnet,claude-sonnet-4-6,0,Maybe,D3,"Covers microtransactions and monetary gaming communities but focuses on social influence, not collecting or hoarding behavior directly.",,,6.28,0.001709
34857367,opus,claude-opus-4-7,1,Exclude,,"General addiction prevalence study on gambling and internet use; no loot box, gacha, or game hoarding behavior examined.",,,3.71,0.012819
34857367,haiku,claude-haiku-4-5,1,Exclude,,"French publication (protocol requires English/Japanese); addresses general gaming disorder prevalence, not specific in-game hoarding behaviors.",,,20.09,0.013364
34857367,opus,claude-opus-4-7,2,Exclude,,General gambling/addiction prevalence study without loot box or gacha game mechanic focus.,,,3.45,0.012069
34857367,haiku,claude-haiku-4-5,2,Exclude,,Studies behavioral addictions broadly; no specific focus on in-game hoarding or accumulation behaviors.,,,35.65,0.023564
26500478,haiku,claude-haiku-4-5,1,Exclude,,"Focuses on tDCS treatment for behavioral addictions, not in-game hoarding behaviors or psychological constructs.",,,16.29,0.012292
26500478,sonnet,claude-sonnet-4-6,1,Exclude,,"Focuses on tDCS brain stimulation for behavioral addictions without examining in-game hoarding, inventory, or collecting behaviors.",,,3.64,0.013986
26500478,sonnet,claude-sonnet-4-6,0,Exclude,,"Focuses on tDCS brain stimulation for behavioral addictions; no game mechanics, hoarding, or virtual item behavior examined.",,,3.82,0.013986
26500478,sonnet,claude-sonnet-4-6,2,Exclude,,tDCS neurostimulation review; no game behavioral domains examined; video game addiction only mentioned as a category without relevant data.,,,3.31,0.001718
26500478,opus,claude-opus-4-7,0,Exclude,,"tDCS treatment review for behavioral addictions; no measurement of game hoarding, loot boxes, completionism, or related accumulation behaviors.",,,3.63,0.101794
26500478,haiku,claude-haiku-4-5,2,Exclude,,"Reviews tDCS treatment for behavioral addictions, not the in-game hoarding and item retention behaviors we study.",,,23.24,0.014292
26500478,opus,claude-opus-4-7,2,Exclude,,"tDCS treatment review for behavioral addictions; no measurement of in-game hoarding, loot boxes, completionism, or virtual item behaviors.",,,3.11,0.013531
26500478,opus,claude-opus-4-7,1,Exclude,,"tDCS treatment review for behavioral addictions; no measurement of in-game hoarding, loot boxes, completionism, or loss aversion behaviors.",,,3.6,0.013607
34992568,haiku,claude-haiku-4-5,0,Exclude,,"Paper concerns organizational knowledge hiding, not game-related hoarding behaviors. No game context present.",,,8.51,0.007575
34992568,haiku,claude-haiku-4-5,1,Exclude,,"Organizational knowledge hiding study; no game mechanics, behaviors, or game-related constructs examined.",,,10.81,0.00957
34992568,sonnet,claude-sonnet-4-6,0,Exclude,,"Study examines knowledge hiding in organizations, not game behavior or hoarding-related constructs in digital games.",,,4.42,0.013885
34992568,sonnet,claude-sonnet-4-6,1,Exclude,,"Study examines knowledge hiding in organizations, not game behavior or hoarding-related constructs in digital games.",,,2.84,0.001641
34992568,sonnet,claude-sonnet-4-6,2,Exclude,,"Study examines knowledge hiding in organizations; no game component, virtual items, or relevant behavioral domains.",,,2.71,0.001611
34992568,haiku,claude-haiku-4-5,2,Exclude,,"No game context, gaming behaviors, or game-related constructs examined. Study focuses on knowledge hiding in organizations. Out of scope.",,,13.74,0.011885
34992568,opus,claude-opus-4-7,0,Exclude,,"Study examines knowledge hiding in workplace organizations, not game behavior or hoarding-related constructs in digital games.",,,3.3,0.100856
34992568,opus,claude-opus-4-7,2,Exclude,,"Study examines knowledge hiding and personality traits in workplace organizations, with no game component or hoarding-related game behavior.",,,3.19,0.100931
34992568,opus,claude-opus-4-7,1,Exclude,,"Study examines knowledge hiding in organizational contexts, not games or any hoarding-related game behavior.",,,3.71,0.100481
26500478,haiku,claude-haiku-4-5,0,Exclude,,"Treats behavioral addiction via tDCS; focuses on eating disorders, not game-specific hoarding or collecting behavior characterization.",,,46.99,0.033112
36495471,sonnet,claude-sonnet-4-6,0,Exclude,,Focuses on internet-based interventions for behavioral addictions; no game-specific hoarding or collecting behavior examined.,,,2.84,0.01411
36495471,sonnet,claude-sonnet-4-6,1,Exclude,,Systematic review of internet-based interventions for behavioral addictions; no game-specific hoarding or virtual item behavior examined.,,,2.5,0.001716
36495471,sonnet,claude-sonnet-4-6,2,Exclude,,Systematic review of internet-based interventions for behavioral addictions; no game-specific hoarding or collecting behavior examined.,,,3.13,0.001701
36495471,opus,claude-opus-4-7,0,Exclude,,"Review of internet-based interventions for behavioral addictions; no focus on in-game hoarding, loot boxes, or collecting behaviors.",,,6.69,0.103481
36495471,opus,claude-opus-4-7,1,Exclude,,Systematic review of internet-based interventions for behavioral addictions; not focused on in-game hoarding behaviors or relevant domains.,,,3.89,0.013235
36495471,opus,claude-opus-4-7,2,Exclude,,Review of internet-based interventions for behavioral addictions; not focused on in-game hoarding behaviors or the review's target domains.,,,3.42,0.013085
36495471,haiku,claude-haiku-4-5,2,Exclude,,Systematic review of interventions for behavioral addictions; not focused on in-game hoarding behaviors or game-behavior-to-hoarding connections.,,,37.39,0.027267
36495471,haiku,claude-haiku-4-5,0,Maybe,,Systematic review of behavioral addiction interventions mentioning gaming and hoarding disorder; requires full-text review to assess game-specific hoarding relevance.,,,38.59,0.026557
39851819,haiku,claude-haiku-4-5,0,Exclude,,"General problematic gaming scale; no focus on item hoarding, loot boxes, inventory, loss aversion, or hoarding-construct linkage.",,,14.31,0.010366
36495471,haiku,claude-haiku-4-5,1,Exclude,,Systematic review of interventions for behavioral addictions; lacks focus on in-game hoarding behaviors or mechanisms.,,,40.69,0.026817
39851819,sonnet,claude-sonnet-4-6,0,Exclude,,"Scale development for general problematic gaming; no hoarding, collecting, loot box, completionism, or virtual item behavior examined.",,,3.51,0.013832
39851819,sonnet,claude-sonnet-4-6,1,Exclude,,"Validates a general problematic gaming scale; no behavioral domains related to hoarding, loot boxes, completionism, or virtual items.",,,3.15,0.013847
39851819,sonnet,claude-sonnet-4-6,2,Exclude,,"Scale development for general problematic gaming; no connection to hoarding, collecting, loot boxes, or any targeted behavioral domain.",,,2.52,0.00169
39851819,opus,claude-opus-4-7,0,Exclude,,"Scale development for general problematic gaming; no focus on hoarding, loot boxes, completionism, or accumulation behaviors.",,,3.66,0.099806
39851819,opus,claude-opus-4-7,1,Exclude,,"Scale development for general problematic gaming; no hoarding, loot box, completionism, or loss aversion content.",,,3.26,0.01229
39851819,haiku,claude-haiku-4-5,2,Exclude,,"Measures general problematic gaming consequences (school disruption, interpersonal effects) rather than hoarding-related or accumulation behaviors.",,,10.36,0.008931
