pmid,title,authors,year,journal,abstract,domains,game_score,hoarding_score,relevance_score,source_query
35085370,Loot box engagement: A scoping review of primary studies on prevalence and association with problematic gaming and gambling.,Montiel Irene et al.,2022,PloS one,"Loot boxes are an increasingly common type of random microtransaction in videogames. There is some concern about their expansion and entailed risks, especially among adolescents. The actual prevalence of engagement with loot boxes among child and adult population is uncertain, and there is still controversy over the nature of their relationship with problematic gaming and gambling. The aims of this scoping review are to summarize the characteristics and findings of published primary empirical studies about the prevalence of engagement with loot boxes and/or their relationship with problematic gaming and gambling, taking in account the type of sample, time frame and measured variables. This study follows the Joanna Briggs Institute's ""Guidance for conducting systematic scoping reviews"" and the Preferred Reporting Items for Systematic reviews and Meta-Analyses extension for Scoping Reviews (PRISMA-ScR). Three academic databases provided 299 articles. Sixteen primary empirical studies met the inclusion criteria for this review. All studies used cross-sectional designs, and most used convenience samples. Twelve study samples were comprised exclusively of gamers, and two were comprised of gamers and/or gamblers. Only six studies included adolescents. The annual prevalence rate of loot box purchases was higher for adult gamers than for adolescents (22.7%-44.2% and 20%-33.9%, respectively), but in studies with general population samples, the opposite was true (24.9% for players aged 13-14 versus 7.8% for adults). In general, the studies suggested a significant positive relationship between engagement with loot boxes and problematic gaming and gambling, but this may be related to the type of engagement (open/purchase/sell), and the characteristics of the study participants (male/female, adolescents/adults, gamers/gamers-gamblers/general population). This scoping review summarizes the results of recent empirical studies on engagement with loot boxes and discusses how methodological issues may affect their results and interpretation. Recommendations for future research are also provided.",D3: Gacha / Loot box; D6: Backlog,5,2,10,Q1+Q2
32106893,A descriptive survey of online gaming characteristics and gaming disorder in Ireland.,Columb David et al.,2023,Irish journal of psychological medicine,"The aim of this study was to carry out the first ever study of gaming characteristics of individuals engaging in online gaming in Ireland and to ascertain whether features of gaming disorder are present in this population. An online survey (comprising 21 questions - 3 demographic questions and 18 questions related to gaming and gaming disorder) was distributed on numerous Irish online gaming forums and Irish online gaming communities. Participants were self-selected and invited to compete the online survey containing questions related to gaming behaviours (age of onset, hours played on weekdays/weekends, type of device used), mobile gaming, motives for online gaming, use of microtransactions, engagement in esports, and a screening tool for the presence of gaming disorder. A total of 166 participants engaged in the online survey. Among this study population of regular gamers in Ireland, 2.4% of the study population were classified as having gaming disorder, with up to 5.4% showing some evidence of disordered gaming. The main motivation for online gaming in the non-disordered gaming group was recreation (13.3, sd = 2.7) but only the fourth main motivation in the disordered gaming group behind competition (16.3, sd = 3.7), escape (16.2, sd = 4.3), and coping (15.1, sd = 3.7). Increased hours of gameplay on weekdays and weekends were noted in the disordered gaming group compared to non-disordered gamers. A small percentage of gamers in Ireland demonstrate disordered gaming characteristics and gaming disorder, consistent with data from other international studies. Epidemiological studies are required in Ireland to enhance our knowledge of this disorder.",D3: Gacha / Loot box,5,2,10,Q1
31978759,Fortnite microtransaction spending was associated with peers' purchasing behaviors but not gaming disorder symptoms.,King Daniel L et al.,2020,Addictive behaviors,"Monetized video games have received academic and regulatory scrutiny following concerns that these products may foster addiction-like behaviors, including compulsive spending. Previous studies have reported that individuals with markedly higher in-game financial expenditure are more likely to endorse symptoms of addictive behavior (i.e., gaming or gambling disorder). The present study recruited 428 adult Fortnite players from online forums and investigated gaming motivations and behaviors, as well as online social network influences, in relation to microtransaction spending and gaming disorder (GD) symptoms. The results showed that microtransaction spending was predicted by social influences (i.e., the frequency of spending by the participants' closest friend who spends money on Fortnite), greater accessibility to Fortnite across multiple devices, and having a higher in-game level. Spenders reported stronger motivation to acquire in-game rewards and were more likely to perceive game items as representing good value for money. Higher spenders were older and reported using more payment methods, having a close friend who pays for Fortnite more often, and spent more hours playing Fortnite. Problematic gaming was associated with trait impulsivity, weekly time spent playing the game, and the perception that reducing time spent playing would diminish one's sense of self-worth. Fortnite loot box spending was not associated with GD symptoms. These data suggest that different implementations of in-game monetization schemes may have different risk potential for consumers across games.",D3: Gacha / Loot box; Cross-domain: Hoarding link,5,2,10,Q1+Q2
38603322,Playing remotely: The COVID-19 pandemic and mobile locative gaming in Northeast Brazil.,Andrade Luiz Adolfo et al.,2023,Mobile media & communication,"Mobile locative games consist of a subset of mobile games that encourage players to go outside, by promoting outdoor activities and physical meetings. Because of this, their gameplay breaks the core of social distancing strategies implemented since the beginning of the COVID-19 pandemic. However, developers implemented changes in their locative games supported by the mobile game revenue model, which enabled a strategy called ""playing remotely"" that encourages the players to spend their money with microtransactions. This study analyses the impacts of the COVID-19 pandemic in mobile locative gaming, by examining the preferences and behavior of players from the Northeast Brazil, a region with socioeconomic inequalities and urban violence, among other issues that shape mobility practices. Accordingly, we pose a research question: how do players living in Northeast Brazil manage the mobile game revenue model for playing remotely during the COVID-19 pandemic? With this in mind, we have conducted an online survey among communities of players located in Northeast Brazil, by sharing a questionnaire with 21 questions. Seventy-four players from the region responded to our survey. The sample's age was from 16 to 58 years old, and they lived in seven of the nine states that form Northeast Brazil. We have found that players' preference is to invest their time in gathering resources by playing the game, instead of spending their money in microtransactions for playing remotely. Moreover, we have found that mobile communication plays a significant role in keeping players in touch during the COVID-19 pandemic, allowing players to expand their networks to other cities and countries. We have concluded that playing remotely represents an important strategy to support the development of locative games and other location-based applications, which can help us to prepare for the next pandemic.",D3: Gacha / Loot box,5,2,10,Q1
38148441,Normalization of Chance-Based Mechanisms in Mobile Games for Children: A Descriptive Analysis.,de Andrade Wiliam Machado,2024,Journal of gambling studies,"Games for mobiles present strategies to monetize not only from selling a title but from financial exchanges that take place in the game. Those microtransactions motivate players to purchase random or surprise items (known as loot boxes) to customize game features or to overcome narrative obstacles necessary to progress to new levels. Researchers associate the practice with gambling if completing the transaction does not mean the acquisition of an item but the chance to receive it. This research quantified gambling-like features in games available for free, classified by Apple's marketplace as suitable for children from 4 to 8 years old, and from the top-downloaded list. The findings reveal normalization traces of chance-based mechanisms in most of the games. According to the research literature, early exposure to such features may result in problem gambling in adult life. This paper concluded that legal changes and more information provided by the marketplaces are needed to raise awareness of gambling-like practices in mobile games.",D3: Gacha / Loot box; D6: Backlog,3,3,9,Q1+Q2
35058842,Character Customization With Cosmetic Microtransactions in Games: Subjective Experience and Objective Performance.,Böffel Christian et al.,2021,Frontiers in psychology,"Free games that are monetized by selling virtual items, such as cosmetic microtransactions for one's avatar, seem to offer a better gaming experience to paying players. To experimentally explore this phenomenon, the effects of character customization with cosmetic microtransactions on objective and self-estimated player performance, subjective identification with the avatar, fun and the players' perceived competence were examined in the game League of Legends. This study introduces a new laboratory-based, experimental task to objectively measure within-game player performance. Each participant performed this game-based task in two different conditions: With a character that was customized using a provided set of cosmetic microtransactions and with a default character. Results showed that customization increased subjective identification with the player character. However, objective performance measures were unaffected by this manipulation although the novel experimental approach provided reliable performance results. Additionally, identification was positively related to perceived competence, fun, and self-estimated performance. Implications for the design of cosmetic microtransactions and their influence on competitive gaming are discussed.",D3: Gacha / Loot box; D4: Inventory / virtual possession,3,3,9,Q1
41140132,Gaming's hidden gamble: are we betting more than we realise?,Sánchez Belmar Carlos et al.,2025,Irish journal of psychological medicine,"The integration of gambling-like features in modern gaming blurs the line between gaming and gambling. Rapidly evolving monetisation strategies in games, especially microtransactions like loot boxes, exploit psychological reward processes similar to gambling disorder. These include variable ratio schedules, positively reinforced wins, and near-miss effects, among others. Such mechanisms encourage impulsive spending, prolonged engagement, and the development of problematic habits. The risks involved are especially concerning for younger players and individuals with comorbid mental health disorders, who may be more vulnerable to these features. Despite these clear parallels with gambling, regulatory frameworks often fail to address the overlap, leaving consumers exposed to financial and psychological harm. This editorial highlights the urgent need for an updated gambling definition in the context of gaming, increased transparency in game design, stricter age restrictions, and stronger regulatory oversight to safeguard player well-being as the industry continues to expand.",D3: Gacha / Loot box,3,3,9,Q1
36274342,Not all games are created equal: Adolescents who play and spend money on simulated gambling games show greater risk for gaming disorder.,Hing Nerilee et al.,2023,Addictive behaviors,"Research reports positive associations between gaming disorder (GD) in adolescents and loot box purchasing but has not examined this relationship for other types of simulated gambling. This study examined whether greater engagement and expenditure in three types of simulated gambling were associated with meeting the criteria for GD in adolescents. A sample of Australians aged 12-17 years (N = 826) was recruited through an online panel aggregator. It included 646 gamers (57.7% male) with 89 being classified as having past-year GD, as defined and measured by the Internet Gaming Disorder Scale. Independent variables comprised past-month engagement in three simulated gambling activities (games with 'mini' gambling components, social casino games, and loot boxes), loot box purchasing, other microtransactions, impulsiveness, and demographics. Logistic regressions first examined whether engagement in each of the three simulated gambling activities was individually associated with GD, then with all three in the same model, and then controlling for demographic variables and impulsivity. Logistic regressions also examined whether microtransactions and purchasing loot boxes were individually associated with GD, then with both in the same model, and then controlling for demographic variables and impulsivity. Adolescents who had engaged in each simulated gambling activity in the past month were more likely to report meeting the criteria for GD. These relationships remained significant when controlling for common demographics and impulsiveness. Past-month engagement in social casino games increased the odds of GD 2.5 times (95% CI: 1.54; 4.02), 2.4 times for games with 'mini' gambling components (95% CI: 1.42; 3.90) and 2.0 times for engaging in loot boxes (95% CI: 1.22; 3.21), but only social casino games remained significant when controlling for engagement in all three activities. The likelihood of meeting the criteria for GD increased 3.8 times with expenditure on microtransactions (95% CI: 2.32; 6.27) and 4.6 times for buying loot boxes, and each remained significant when both were included in the model. Compared to digital games without simulated gambling elements, simulated gambling appears to attract adolescents who report GD. Implications of the results are discussed in detail.",D3: Gacha / Loot box,3,3,9,Q1+Q2
39302638,The Mediating Role of Problematic Use of Loot Boxes Between Internet Gaming Disorder and Online Gambling Disorder: Cross-Sectional Analytical Study.,González-Cabrera Joaquín et al.,2024,JMIR serious games,"The video game industry has introduced a new form of monetization through microtransactions. A controversial example has been the so-called ""loot boxes"" (LBs) as virtual objects, which are randomized and bought with legal money. In recent years, LBs have come to connect 2 distinct problem behaviors, namely internet gaming disorder (IGD) and online gambling disorder (OGD). Many association studies have been conducted on the 3 constructs, but few have delved into the relationship of problematic use of LBs (PU-LB) with IGD and OGD. This study aims to explore the mediating role of the PU-LB between IGD and OGD. This cross-sectional and analytical study used incidental sampling in 24 Spanish schools. The final sample consisted of 542 participants (male: n=523, 96.5%; age: range 11-30 y) who played video games, bought LBs, and had gambled online in the last 12 months. Participants then completed the Spanish versions of the Internet Gaming Disorder Scale-Short Form, Online Gambling Disorder Questionnaire, and PU-LB scale. IGD scores were found to be significantly associated with both PU-LB (r=0.473, P<.001) and OGD (r=0.209, P<.001). Moreover, PU-LB was significantly associated with OGD (r=0.351, P<.001). The structural equation model results indicated that IGD had no significant direct effect on OGD (P=.903). However, the indirect effect of IGD on OGD through PU-LB was significant (P<.001). Therefore, PU-LB fully mediated the relationship between IGD and OGD. Furthermore, these results were found in the subsamples of both minors (<18 y) and young adults (≥18 y). It is suggested that there is a mediation effect of problematic LB use between internet gambling and online gambling problems in both minors and young adults. This has potential practical implications by providing more evidence on how LBs have become a hinge feature between 2 clinically relevant and independent issues. In this regard, adequate industry self-regulation is needed, and effective legislation for the protection of minors is necessary.",D3: Gacha / Loot box,3,3,9,Q1+Q2
35990074,"Prediction of problem gambling by demographics, gaming behavior and psychological correlates among gacha gamers: A cross-sectional online survey in Chinese young adults.",Tang Anson Chui Yan et al.,2022,Frontiers in psychiatry,"The objective of this study is to explore the association of problem gambling with demographics, psychological distress, and gaming behavior in young adult gacha gamers in Hong Kong. Cross-sectional data was collected in the first and fifth waves of COVID-19 pandemic in Hong Kong online. Participants who aged 18-25 years and had been playing gacha games over the past 12 months were recruited. Stepwise multiple regression was used to explore the association among risk of problem gambling, gaming behavior, participation in gaming activities and psychological distress. A two-sided p-value <0.05 was considered as statistical significance. Three hundred and thirty-seven completed questionnaires were received with no missing data. 34.7% (n = 117) of the participants had non/low-risk of problem gambling. About 40% (n = 136) of them had moderate-risk and the remaining 25% (n = 84) were at high risk of problem gambling. A higher proportion of female participants (78.6%) were found in high-risk group as compared to 39.7% and 55.6% only in the non/low-risk and moderate-risk groups, respectively. The regression model (R 2 = 0.513, F = 71.895, p < 0.001) showed that 51.3% of the variance of the total problem gambling score could be explained by stress, anxiety, monthly expenses on gacha purchases, number of motives for gacha purchase and number of gambling activities engaged. The present study provides empirical evidence to support the association between problem gambling and microtransaction especially for gacha which is the most popular type of video game microtransaction in Asia. The established regression model suggests that gacha gamers with higher risk of problem gambling tend to have greater stress, higher anxiety level, spend more on gacha purchase, have more motives for gacha purchases and engage in more gambling activities. In contrast to the extant literature, higher proportion of female participants in high-risk group indicates that female gacha gamers are also at very high risk of becoming problem gamblers.",D3: Gacha / Loot box; D6: Backlog,4,2,8,Q1+Q2
36497782,"Spending Money in Free-to-Play Games: Sociodemographic Characteristics, Motives, Impulsivity and Internet Gaming Disorder Specificities.",Costes Jean-Michel et al.,2022,International journal of environmental research and public health,"Free-to-Play games (F2P) have spread widely all over the world in recent years. The current economic model for these games is based on microtransactions, where gamers can purchase additional items or services inside the game. The aim of the present study was (1) to describe the profiles and gaming patterns of F2P gamers, and (2) to compare F2P gamers who spend money and those who do not, in terms of sociodemographic characteristics, gaming experience, motivations, impulsivity, and risk of Internet gaming disorder (IGD), in a representative sample of 5062 French online gamers. Among the total sample, 68.6% were past-year F2P gamers. Among the F2P gamers, 26.1% had spent money in the game. Spending in the game was strongly associated with IGD (6.9% of F2P gamers were disordered gamers). Flow (gaming experience) and escape (motivation) were strongly associated with spending in the game and IGD. Negative urgency (impulsivity) was positively associated with spending in the game while positive urgency was positively associated with IGD. Given the strong association between spending in the game and IGD, these results highlight the importance of prevention and regulation in the field.",D3: Gacha / Loot box; D6: Backlog,4,2,8,Q1
37151299,Loot box consumption by adolescents pre- and post- pandemic lockdown.,DeCamp Whitney et al.,2023,PeerJ,"Loot boxes are virtual items that can be redeemed to receive randomly selected other virtual items, and have been criticized for being similar to gambling. The presence of loot boxes in video games has dramatically increased since 2010, with little evidence available for the current prevalence rate of loot box purchasing in the general population, particularly during and following the COVID-19 pandemic lockdowns. This study uses data from representative samples of American youth to estimate prevalence rates for video game play and loot box consumption before the pandemic (2019) and after the pandemic lockdowns (2022) to examine whether the pandemic has affected loot box usage in the general population and among gamers. The results suggest that youth loot box consumption has increased, rising from 24.9% in 2019 to 31.6% in 2022 among 8th grade (age 13-14) youth. The increase over this time period was larger for girls, though boys are still more likely to purchase loot boxes overall.",D3: Gacha / Loot box; D4: Inventory / virtual possession; D6: Backlog,4,2,8,Q1+Q2
35733406,Sex Differences in Competitiveness in Massively Multiplayer Online Role-Playing Games (MMORPGs).,Deaner Robert O et al.,2022,Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior,"Sex differences in the use of competitive tactics have been well established. Although many factors may contribute to these sex differences, according to social role theory (SRT), stereotypes and expectations about men's and women's typical social roles are crucial. We addressed the potential impact of social roles by studying massively multiplayer online role-playing games (MMORPGs), a setting where individuals represent themselves with avatars and thus enjoy the opportunity to compete without regard to the typical expectations and behaviors associated with men's and women's roles. We surveyed players via MTurk (63 women, 191 men) and Reddit (166 women, 1,326 men) regarding their frequency of engaging in five competitive behaviors and the sex and role of their primary avatar. As expected, there were reliable sex differences in competitiveness: men were more likely than women to engage in player-versus-player duels (MTurk d = 0.19; Reddit d = 0.51), do solo runs of difficult content (0.30, 0.35), and work to acquire expensive items (0.32, 0.19); women were more likely than men to seek in-game awards (-0.38, -0.36) and spend real-world money on expensive microtransactions (-0.16, -0.27). Contrary to SRT, these sex differences in forms of competitive behavior were generally unrelated to players' chosen avatar sex or avatar role. These results instead indicate that sex differences in competitiveness largely reflect evolved predispositions.",D3: Gacha / Loot box,4,2,8,Q1
