PMID,Title,Year,Journal,Domain(s),Relevance_Score,Screening_Decision,Reason
40839469,Physical card pack and especially video game loot box spending are both positively correlated with problem gambling but not linked to negative mental health: An international survey.,2026,Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,D3,8,Include,Loot box/gacha research with game connection
36623473,Understanding adolescent esports bettors: Are they a homogeneous group?,2023,Addictive behaviors,D3,8,Include,Loot box/gacha research with game connection
35834117,To Pay or Just Play? Examining Individual Differences Between Purchasers and Earners of Loot Boxes in Overwatch.,2023,Journal of gambling studies,D3,8,Include,Loot box/gacha research with game connection
41179232,Ensuring vaccine access through local production: the need for a harmonized and sustainable approach.,2025,Journal of law and the biosciences,Cross-domain: Hoarding link,0,Exclude,Vaccination/public health paper
30845155,Loot boxes are again linked to problem gambling: Results of a replication study.,2019,PloS one,D3,8,Include,Loot box/gacha research with game connection
34267563,How Chinese Web Users Value Their Personal Information: An Empirical Study on WeChat Users.,2021,Psychology research and behavior management,D1: Loss aversion / behavioral economics; D4: Inventory / virtual possession,0,Exclude,Social media/privacy valuation paper (not video game)
40369012,Increased user engagement on YouTube for loot box content and its potential relevance for behavioural addictions.,2025,Scientific reports,D3; D4,8,Include,Loot box/gacha research with game connection
40569695,Widespread illegal video game advertising in the UK and South Korea: Many adverts not disclosing loot box presence found using Meta's ad repository.,2025,Journal of behavioral addictions,D3,8,Include,Loot box/gacha research with game connection
30940247,Hoarding all of the chips: Slot machine gambling and the foraging for coins.,2019,The Behavioral and brain sciences,D3: Gacha / Loot box; Cross-domain: Hoarding link,0,Exclude,Pure gambling study (no video game connection)
35381433,Exploring the association between loot boxes and problem gambling: Are video gamers referring to loot boxes when they complete gambling screening tools?,2022,Addictive behaviors,D3,8,Include,Loot box/gacha research with game connection
31312481,Adolescents and loot boxes: links with problem gambling and motivations for purchase.,2019,Royal Society open science,D3,8,Include,Loot box/gacha research with game connection
35933619,"Opening Pandora's Loot Box: Weak Links Between Gambling and Loot Box Expenditure in China, and Player Opinions on Probability Disclosures and Pity-Timers.",2023,Journal of gambling studies,D3,8,Include,Loot box/gacha research with game connection
41556971,"Should gaming disorder include non-digital gaming activities, e.g., collectible card games, tabletop games?",2026,Journal of behavioral addictions,D3,8,Include,Loot box/gacha research with game connection
36202911,No effect of short term exposure to gambling like reward systems on post game risk taking.,2022,Scientific reports,D3,8,Include,Loot box/gacha research with game connection
31760581,"Rare Loot Box Rewards Trigger Larger Arousal and Reward Responses, and Greater Urge to Open More Loot Boxes.",2021,Journal of gambling studies,D3; D4,8,Include,Loot box/gacha research with game connection
41058647,How gacha gaming and life quality shape problem gambling risk: insights from a cross-sectional study using Hong Kong-based online survey of young adults.,2025,Frontiers in psychiatry,D3,8,Include,Loot box/gacha research with game connection
34121958,An Evaluation of Gaming-Related Harms in Relation to Gaming Disorder and Loot Box Involvement.,2022,International journal of mental health and addiction,D3,8,Include,Loot box/gacha research with game connection
32203522,"The relationship between problem gambling, excessive gaming, psychological distress and spending on loot boxes in Aotearoa New Zealand, Australia, and the United States-A cross-national survey.",2020,PloS one,D3,8,Include,Loot box/gacha research with game connection
35954678,Response to the Regulation of Video Games under the Youth Media Protection Act: A Public Health Perspective.,2022,International journal of environmental research and public health,D3,8,Include,Loot box/gacha research with game connection
36975230,The Mediating Effect of Psychological Ownership on the Relationship between Value Co-Creation and the In-App Purchasing Intention of Mobile Games Players.,2023,"Behavioral sciences (Basel, Switzerland)",D4: Inventory / virtual possession; D5: Completionism,0,Exclude,Social media/privacy valuation paper (not video game)
35397261,"Loot boxes and problem gambling: Investigating the ""gateway hypothesis"".",2022,Addictive behaviors,D3,8,Include,Loot box/gacha research with game connection
34258146,Characteristics of Gamers who Purchase Loot Box: a Systematic Literature Review.,2021,Current addiction reports,D3,8,Include,Loot box/gacha research with game connection
29952052,Predatory monetization schemes in video games (e.g. 'loot boxes') and internet gaming disorder.,2018,"Addiction (Abingdon, England)",D3,3,Maybe,No abstract available; title suggests relevance
35434248,The role of microtransactions in Internet Gaming Disorder and Gambling Disorder: A preregistered systematic review.,2022,Addictive behaviors reports,D3,8,Include,Loot box/gacha research with game connection
34068271,"""It's the Attraction of Winning That Draws You in""-A Qualitative Investigation of Reasons and Facilitators for Videogame Loot Box Engagement in UK Gamers.",2021,Journal of clinical medicine,D3; D4,8,Include,Loot box/gacha research with game connection
40730840,The impact of environmental serious game on pro-environmental behavior through environmental psychological ownership and environmental self-efficacy.,2025,Scientific reports,D4,8,Include,Virtual item ownership / psychological ownership in games
40887505,Associations between alcohol consumption and spending on gambling like mechanisms in video games.,2025,Scientific reports,D3,8,Include,Loot box/gacha research with game connection
28439243,Relationships between Behavioural Addictions and Psychiatric Disorders: What Is Known and What Is Yet to Be Learned?,2017,Frontiers in psychiatry,Cross-domain,9,Include,Player collecting/hoarding behavior in games
38868486,Does the loot box open the door to addiction? A case report of gaming disorder with high charges for loot box purchases.,2024,PCN reports : psychiatry and clinical neurosciences,D3; D4; D5,8,Include,Loot box/gacha research with game connection
40980049,"Commentary: Prediction of problem gambling by demographics, gaming behavior and psychological correlates among gacha gamers: A cross-sectional online survey in Chinese young adults.",2025,Frontiers in psychiatry,D3,3,Maybe,No abstract available; title suggests relevance
41670808,"When Gaming Becomes Like Gambling: The Role of Flow, Immersion, Craving, and Self-control in Risky Loot Box use among Polish gamers.",2026,Journal of gambling studies,D3; D4,8,Include,Loot box/gacha research with game connection
37756294,What are the odds? Poor compliance with UK loot box probability disclosure industry self-regulation.,2023,PloS one,D3,8,Include,Loot box/gacha research with game connection
34857367,[Gambling and Internet habits in a French population with addictive disorders seeking treatment: a multicentric study].,2021,L'Encephale,Cross-domain,4,Maybe,Gaming disorder study (may contain relevant behavioral data)
37809949,Does psychological ownership influence consumer happiness in playful consumption experience? Moderating role of consumer personality and game performance.,2023,Heliyon,D4,7,Include,Virtual item ownership / psychological ownership in games
31007537,A Theory of Fairness in Labour Markets.,2015,"Japanese economic review (Oxford, England)",D1: Loss aversion / behavioral economics,0,Exclude,Labour economics paper (not video game research)
35711134,Bid outcome processing in Vickrey auctions: An ERP study.,2022,Psychophysiology,D1: Loss aversion / behavioral economics,0,Exclude,Auction/bidding experiment (not video game research)
41115014,Problematic usage of the internet: Converging and diverging terminologies and constructs.,2025,Journal of behavioral addictions,Cross-domain,9,Include,Player collecting/hoarding behavior in games
40935821,How cognitive biases affect winning probability perception in beach volleyball experts.,2025,Scientific reports,D1: Loss aversion / behavioral economics; D3: Gacha / Loot box,0,Exclude,Sports/athletics paper
40727402,Loot box spending is associated with greater distress when normalized to disposable income: a reanalysis and extension of Etchells et al. and Xiao et al.,2025,Royal Society open science,D3,8,Include,Loot box/gacha research with game connection
40438542,Non-compliance with and non-enforcement of UK loot box industry self-regulation on the Apple App Store: a longitudinal study on poor implementation.,2025,Royal Society open science,D3,8,Include,Loot box/gacha research with game connection
40596161,Evolutionary game analysis of the longitudinal integration of electronic health record based on prospect theory.,2025,Scientific reports,D1: Loss aversion / behavioral economics,0,Exclude,"Game theory (economics), not player behavior"
39430791,Colliding harms of gambling and gaming: A four-wave longitudinal population study of at-risk gambling and gaming in Finland.,2024,Nordisk alkohol- & narkotikatidskrift : NAT,D3,7,Include,Microtransaction/in-game spending research
37159337,"A scoping review of the association between loot boxes, esports, skin betting, and token wagering with gambling and video gaming behaviors.",2023,Journal of behavioral addictions,D3,8,Include,Loot box/gacha research with game connection
36748997,Neural bases of loss aversion when choosing for oneself versus known or unknown others.,2023,"Cerebral cortex (New York, N.Y. : 1991)",D1: Loss aversion / behavioral economics,3,Maybe,Neuroscience of loss aversion (no direct game focus)
38526451,Lessons learned from the pandemic: expanding the collaboration between clinical and logistics activities in a hospital.,2024,Journal of health organization and management,D4: Inventory / virtual possession,0,Exclude,Hospital logistics paper (not game research)
33662153,Eliminating buyer's remorse: An examination of the sunk cost fallacy in the National Hockey League draft.,2021,Scandinavian journal of medicine & science in sports,D1: Loss aversion / behavioral economics,0,Exclude,Sports/athletics paper
29435822,Do Simulated Gambling Activities Predict Gambling with Real Money During Adolescence? Empirical Findings from a Longitudinal Study.,2018,Journal of gambling studies,D3,7,Include,Microtransaction/in-game spending research
29443045,Routine Screening Method for Microparticles in Platelet Transfusions.,2018,Journal of visualized experiments : JoVE,D4: Inventory / virtual possession,0,Exclude,Blood bank/platelet paper (not game research)
33547599,Genetics of OCD and Related Disorders; Searching for Shared Factors.,2021,Current topics in behavioral neurosciences,Cross-domain,4,Maybe,Clinical hoarding with digital/gaming connection
17716180,Patents and nanomedicine.,2007,"Nanomedicine (London, England)",D6: Backlog,0,Exclude,Patent system paper (not game research)
29434043,Personal bests as reference points.,2018,Proceedings of the National Academy of Sciences of the United States of America,D1,6,Include,Loss aversion in game context
32502525,Industry challenges and approaches to food waste.,2020,Physiology & behavior,D4: Inventory / virtual possession,0,Exclude,Food waste/supply chain paper (not game research)
26500478,"Transcranial direct current stimulation (tDCS) in behavioral and food addiction: a systematic review of efficacy, technical, and methodological issues.",2015,Frontiers in neuroscience,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
31798507,Getting to First Base: Developmental Trajectories of Major League Baseball Players.,2019,Frontiers in psychology,D1: Loss aversion / behavioral economics,0,Exclude,Sports/athletics paper
38483865,Compounding endowment effects when trading draft picks in the Australian Football League.,2024,PloS one,D1: Loss aversion / behavioral economics,0,Exclude,Sports/athletics paper
36495471,Internet-based interventions for behavioral addictions: A systematic review.,2022,Journal of behavioral addictions,Cross-domain,9,Include,Player collecting/hoarding behavior in games
24327374,Psychiatry's new manual (DSM-5): ethical and conceptual dimensions.,2014,Journal of medical ethics,Cross-domain: Hoarding link,0,Exclude,DSM-5 taxonomy paper
36134206,Measuring loot box consumption and negative consequences: Psychometric investigation of a Swedish version of the Risky Loot Box Index.,2022,Addictive behaviors reports,D3,8,Include,Loot box/gacha research with game connection
32989778,Provision of COVID-19 Convalescent Plasma in a Resource-Constrained State.,2020,Transfusion,D4: Inventory / virtual possession; D5: Completionism,0,Exclude,COVID plasma paper
30955212,"Loot box limit-setting is not sufficient on its own to prevent players from overspending: a reply to Drummond, Sauer & Hall.",2019,"Addiction (Abingdon, England)",D3,3,Maybe,No abstract available; title suggests relevance
34992568,Impact of Personality Traits on Knowledge Hiding: A Comparative Study on Technology-Based Online and Physical Education.,2021,Frontiers in psychology,D4,7,Include,Virtual item ownership / psychological ownership in games
34706058,Mutual cheating strengthens a tropical seed dispersal mutualism.,2022,Ecology,Cross-domain: Hoarding link,0,Exclude,Ecology/biology paper
41037849,Game related over-spending across age groups and its association with gaming disorder.,2026,Addictive behaviors,D3,7,Include,Microtransaction/in-game spending research
32353204,"Excessive Spending in a ""Free-to-Play"" Smartphone Game.",2020,The American journal on addictions,D3,7,Include,Microtransaction/in-game spending research
35991334,Loot box spending is associated with problem gambling but not mental wellbeing.,2022,Royal Society open science,D3,8,Include,Loot box/gacha research with game connection
39851819,The Development and Validation of the Adolescent Problematic Gaming Scale (PGS-Adolescent).,2024,"Behavioral sciences (Basel, Switzerland)",,2,Maybe,Game-related but no strong match to specific domains
40219036,Exploring Food Addiction Across Several Behavioral Addictions: Analysis of Clinical Relevance.,2025,Nutrients,D4; Cross-domain,4,Maybe,Compulsive buying with potential game connection
37209127,Reduced loss aversion in value-based decision-making and edge-centric functional connectivity in patients with internet gaming disorder.,2023,Journal of behavioral addictions,D1,7,Include,Loss aversion in video game context
36941849,Severity of behavioral addiction symptoms among young adults using non-prescribed sedatives/hypnotics.,2023,Addictive behaviors reports,Cross-domain,4,Maybe,Compulsive buying with potential game connection
36587418,"Obsessive-compulsive, harm-avoidance and persistence tendencies in patients with gambling, gaming, compulsive sexual behavior and compulsive buying-shopping disorders/concerns.",2023,Addictive behaviors,D4; Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
41822430,Food addiction in behavioral addictions: a network approach.,2026,Frontiers in psychology,Cross-domain,4,Maybe,Compulsive buying with potential game connection
39659159,Current Advances in Behavioral Addictions: From Fundamental Research to Clinical Practice.,2025,The American journal of psychiatry,D3: Gacha / Loot box; Cross-domain: Hoarding link,0,Exclude,DSM-5 taxonomy paper
36814178,"The Relationship Between Childhood Trauma, Pathological Dissociation, and Behavioral Addictions in Young Adults: Findings from a Cross-Sectional Study.",2023,Journal of trauma & dissociation : the official journal of the International Society for the Study of Dissociation (ISSD),Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
33028074,Global prevalence of gaming disorder: A systematic review and meta-analysis.,2021,The Australian and New Zealand journal of psychiatry,Cross-domain,4,Maybe,Gaming disorder study (may contain relevant behavioral data)
38197896,"The relationship of game genres, in-game purchases, and playing duration with probable gaming disorder in two independent, large-scale online surveys of Japanese adults.",2024,Journal of behavioral addictions,D3,8,Include,Loot box/gacha research with game connection
34899207,Delay Discounting in Established and Proposed Behavioral Addictions: A Systematic Review and Meta-Analysis.,2021,Frontiers in behavioral neuroscience,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
31971427,Reduced loss aversion and inhibitory control in adolescents with internet gaming disorder.,2020,Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,D1,7,Include,Loss aversion in video game context
38743487,Harm-to-self from gambling: A national study of Australian adults.,2024,Journal of behavioral addictions,D3,8,Include,Loot box/gacha research with game connection
28918416,[The methodology and sample description of the National Survey on Addiction Problems in Hungary 2015 (NSAPH 2015)].,2017,Neuropsychopharmacologia Hungarica : a Magyar Pszichofarmakologiai Egyesulet lapja = official journal of the Hungarian Association of Psychopharmacology,Cross-domain,4,Maybe,Compulsive buying with potential game connection
36606732,The relationship between problematic gambling severity and engagement with gambling products: Longitudinal analysis of the Emerging Adults Gambling Survey.,2023,"Addiction (Abingdon, England)",D3,8,Include,Loot box/gacha research with game connection
36864740,"Debate: Academics should collaborate with the technology industry, but not in lieu of noncollaborative research.",2023,Child and adolescent mental health,D3,8,Include,Loot box/gacha research with game connection
26690622,"Risk for exercise dependence, eating disorder pathology, alcohol use disorder and addictive behaviors among clients of fitness centers.",2015,Journal of behavioral addictions,D4; Cross-domain,4,Maybe,Compulsive buying with potential game connection
23157656,Biodegradation of ivory (natural apatite): possible involvement of fungal activity in biodeterioration of the Lewis Chessmen.,2013,Environmental microbiology,Cross-domain: Hoarding link,0,Exclude,Bioarchaeology paper (not game research)
41454725,[The National Survey on Addiction Problems in Hungary 2023 (NSAPH): Methodology and sample description].,2025,Neuropsychopharmacologia Hungarica : a Magyar Pszichofarmakologiai Egyesulet lapja = official journal of the Hungarian Association of Psychopharmacology,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
41391469,Gaming and gambling behaviours among Italian adolescents: a cross-sectional study.,2026,The Lancet. Public health,D3,8,Include,Loot box/gacha research with game connection
35855504,Internet use and internet-based addictive behaviours during coronavirus pandemic.,2022,Current opinion in psychiatry,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
24450756,Strategic and non-strategic problem gamblers differ on decision-making under risk and ambiguity.,2014,"Addiction (Abingdon, England)",D1: Loss aversion / behavioral economics; D3: Gacha / Loot box,0,Exclude,Pure gambling study (no video game connection)
40621506,"Seeking Satisfaction Among Israeli Young Adults: The Roles of Gratification, Compensation, Reward Deficiency Syndrome, and Compulsivity in Relation to Addictive Behaviors.",2025,Substance abuse and rehabilitation,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
34375360,Association patterns of cannabis abuse and dependence with risk of problematic non-substance-related dysregulated and addictive behaviors.,2021,PloS one,Cross-domain,4,Maybe,Compulsive buying with potential game connection
27199853,Compulsive Buying Behavior: Characteristics of Comorbidity with Gambling Disorder.,2016,Frontiers in psychology,Cross-domain,4,Maybe,Compulsive buying with potential game connection
35782446,Relating Compulsivity and Impulsivity With Severity of Behavioral Addictions: A Dynamic Interpretation of Large-Scale Cross-Sectional Findings.,2022,Frontiers in psychiatry,Cross-domain,4,Maybe,Compulsive buying with potential game connection
31916881,The rates of co-occurring behavioural addictions in treatment-seeking individuals with obsessive-compulsive disorder: a preliminary report.,2020,International journal of psychiatry in clinical practice,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
33835041,[The National Survey on Addiction Problems in Hungary 2019 (NSAPH): Methodology and sample description].,2021,Neuropsychopharmacologia Hungarica : a Magyar Pszichofarmakologiai Egyesulet lapja = official journal of the Hungarian Association of Psychopharmacology,Cross-domain,4,Maybe,Compulsive buying with potential game connection
39241535,The moderating effect of understanding advertising intent on the relation between advertising recognition and problematic use of loot boxes among minors: An exploratory study.,2024,Acta psychologica,D3,8,Include,Loot box/gacha research with game connection
34904959,Potentially addictive behaviours increase during the first six months of the Covid-19 pandemic.,2021,Journal of behavioral addictions,Cross-domain,4,Maybe,Compulsive buying with potential game connection
30746800,Loot box limit-setting: a potential policy to protect video game users with gambling problems?,2019,"Addiction (Abingdon, England)",D3,3,Maybe,No abstract available; title suggests relevance
27378999,Compulsive Buying Behavior: Clinical Comparison with Other Behavioral Addictions.,2016,Frontiers in psychology,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
40004656,Emotional Intelligence and Behavioural Addictions: A Systematic Review.,2025,Journal of clinical medicine,Cross-domain,4,Maybe,Compulsive buying with potential game connection
40248688,Psychometric properties of the Reward Deficiency Syndrome Questionnaire among a non-clinical sample and its relationship with the characteristics of potentially addictive behaviors.,2025,Addictive behaviors reports,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
40291985,Spirituality and behavioural addictions: narrative review.,2024,BJPsych international,Cross-domain,4,Maybe,Gambling-gaming convergence (may have relevant data)
26165928,The relationships between behavioral addictions and the five-factor model of personality.,2013,Journal of behavioral addictions,Cross-domain,4,Maybe,Compulsive buying with potential game connection
39338077,Physiological and Psychological Effects of Short-Term Recreational Football in Adults 60.,2024,International journal of environmental research and public health,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
35722786,"Response to Xiao et al.: If everything is a loot box, nothing is.",2022,"Addiction (Abingdon, England)",D3,3,Maybe,No abstract available; title suggests relevance
36078369,Adolescents Who Play and Spend Money in Simulated Gambling Games Are at Heightened Risk of Gambling Problems.,2022,International journal of environmental research and public health,D3: Gacha / Loot box,0,Exclude,Pure gambling study (no video game connection)
34860130,Loss Aversion Explains Physical Activity Changes in a Behavioral Gamification Trial.,2021,Games for health journal,D1,2,Maybe,Matched domain keywords but game connection unclear
22001612,Measuring the kinetics of calcium binding proteins with flash photolysis.,2012,Biochimica et biophysica acta,,0,Exclude,Biochemistry/oncology paper (not game research)
30427931,Typology of patients with behavioral addictions or eating disorders during a one-year period of care: Exploring similarities of trajectory using growth mixture modeling coupled with latent class analysis.,2018,PloS one,Cross-domain,4,Maybe,Compulsive buying with potential game connection
18710846,Ethnic stereotypes and the underachievement of UK medical students from ethnic minorities: qualitative study.,2008,BMJ (Clinical research ed.),D5,4,Maybe,Game-related paper matching domain keywords
35754859,Problematic Shopping Behavior: An Item Response Theory Examination of the Seven-Item Bergen Shopping Addiction Scale.,2022,International journal of mental health and addiction,Cross-domain: Hoarding link,0,Exclude,Shopping/buying behavior (no video game connection)
11747570,Cooperation through indirect reciprocity: image scoring or standing strategy?,2001,Proceedings. Biological sciences,,0,Exclude,Cooperation/reciprocity game theory (not video game)
38748683,Enhancing ESG learning outcomes through gamification: An experimental study.,2024,PloS one,D4: Inventory / virtual possession; D5: Completionism,0,Exclude,Educational gamification (no video game behavior)
19848550,"The campaign against CAM and the notion of ""evidence-based"".",2009,"Journal of alternative and complementary medicine (New York, N.Y.)",,0,Exclude,Evidence-based medicine debate (not game research)
31387459,Rethinking gaming: The ethical work of optimization in web search engines.,2019,Social studies of science,,2,Maybe,Game-related but no strong match to specific domains
15757447,Matrix metalloproteinases in cancer: comparison of known and novel aspects of their inhibition as a therapeutic approach.,2005,Expert review of anticancer therapy,,0,Exclude,Biochemistry/oncology paper (not game research)
31704434,A cautious approach to public policy and loot box regulation.,2020,Addictive behaviors,D3,3,Maybe,No abstract available; title suggests relevance
33289692,Problematic shopping and self-injurious behaviors in adolescents.,2020,Journal of behavioral addictions,,0,Exclude,Shopping/buying behavior (no video game connection)
20031485,Fielders and batters are injured too: a prospective cohort study of injuries in junior club cricket.,2010,Journal of science and medicine in sport,,0,Exclude,Sports/athletics paper
23637116,"A systematic video analysis of National Hockey League (NHL) concussions, part II: how concussions occur in the NHL.",2015,British journal of sports medicine,,0,Exclude,Sports/athletics paper
