pmid,tier,model,verdict,domains,reason,parse_error,error,latency_s,cost_usd,call_started_utc
34121958,opus48,claude-opus-4-8,Include,D3,Empirical study of regular gamers measuring loot box involvement and expenditure in relation to gaming disorder and harm.,,,4.31,0.1705,2026-06-03T23:18:28.142017+00:00
32203522,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed cross-national survey linking loot box spending to problem gambling and gaming symptoms with psychological measures.,,,4.08,0.172976,2026-06-03T23:18:28.411877+00:00
35954678,opus48,claude-opus-4-8,Exclude,,Opinion/policy commentary on video game regulation without original behavioral or psychological data; editorial outside scope.,,,4.07,0.170069,2026-06-03T23:18:28.798596+00:00
36975230,opus48,claude-opus-4-8,Maybe,D4,"Examines psychological ownership of mobile games but focuses on in-app purchasing intention, not virtual item hoarding; full-text needed.",,,4.07,0.173932,2026-06-03T23:18:30.143468+00:00
35397261,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Peer-reviewed empirical survey linking loot box engagement to problem gambling, impulsivity, and harms, directly within gacha/loot-box collecting scope.",,,4.22,0.174382,2026-06-03T23:18:30.188753+00:00
34258146,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Systematic review of loot box purchasing linked to gaming disorder and gambling symptoms, directly matching gacha/loot box collecting domain.",,,4.55,0.173632,2026-06-03T23:18:31.467361+00:00
40887505,opus48,claude-opus-4-8,Include,D3,"Peer-reviewed empirical study examining loot box spending and risky engagement, directly relevant to gacha/loot-box collecting behavior.",,,3.66,0.170369,2026-06-03T23:18:34.407211+00:00
40730840,opus48,claude-opus-4-8,Exclude,,"Studies psychological ownership in environmental serious games for pro-environmental behavior, not virtual item hoarding or any in-game accumulation construct.",,,4.29,0.172638,2026-06-03T23:18:34.211260+00:00
29952052,opus48,claude-opus-4-8,Maybe,D3|Cross-domain,"Discusses loot box monetization and internet gaming disorder, but appears to be a commentary without original data; full-text review needed.",,,6.11,0.180221,2026-06-03T23:18:32.448563+00:00
35434248,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Peer-reviewed systematic review linking loot box microtransactions to gaming disorder and gambling, matching gacha/loot-box collecting domain.",,,6.33,0.174607,2026-06-03T23:18:32.495770+00:00
34068271,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed qualitative study on loot box purchasing motivations linking engagement to disordered gambling and psychological item valuation.,,,6.6,0.171513,2026-06-03T23:18:32.873184+00:00
40980049,opus48,claude-opus-4-8,Exclude,,Commentary without original data; excluded as editorial/commentary piece per exclusion criterion 4.,,,4.02,0.179134,2026-06-03T23:18:38.499474+00:00
38868486,opus48,claude-opus-4-8,Maybe,D3|Cross-domain,"Case report on gaming disorder with excessive gacha/loot box spending; single-case may not meet empirical-study threshold, needs full-text check.",,,5.32,0.169919,2026-06-03T23:18:38.066035+00:00
34857367,opus48,claude-opus-4-8,Exclude,,"Pure gambling and behavioral-addiction prevalence study with no loot box, gacha, or game-item hoarding mechanic component.",,,4.34,0.18924,2026-06-03T23:18:39.477472+00:00
28439243,opus48,claude-opus-4-8,Exclude,,"Narrative review of behavioural addictions broadly; no specific focus on game item hoarding, loot box, completionism, or accumulation domains.",,,8.46,0.172976,2026-06-03T23:18:36.020342+00:00
41670808,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed empirical study of risky loot box use linking gaming behavior to gambling and gaming disorder constructs.,,,5.98,0.174513,2026-06-03T23:18:38.556155+00:00
37756294,opus48,claude-opus-4-8,Exclude,,"Studies loot box probability disclosure regulation and compliance, not collecting behavior or psychological measures of player accumulation.",,,8.04,0.171363,2026-06-03T23:18:38.829763+00:00
35711134,opus48,claude-opus-4-8,Exclude,,"ERP study of Vickrey auction bidding for household items; loss aversion is auction/retail economics, not a game mechanic or game context.",,,3.95,0.172751,2026-06-03T23:18:43.818766+00:00
37809949,opus48,claude-opus-4-8,Maybe,D4,"Examines psychological ownership in playful consumption but focuses on consumer happiness, not virtual item hoarding; full-text needed to confirm game-item relevance.",,,5.56,0.179579,2026-06-03T23:18:42.524687+00:00
41115014,opus48,claude-opus-4-8,Exclude,,"Terminology review of internet-use disorders broadly; no game item hoarding, loot box, completionism, or accumulation behavioral focus.",,,4.15,0.186465,2026-06-03T23:18:44.477698+00:00
31007537,opus48,claude-opus-4-8,Exclude,,Labor-market gift-exchange economics study with no game component; loss aversion here is unrelated to any in-game behavior.,,,5.67,0.168663,2026-06-03T23:18:43.386320+00:00
40935821,opus48,claude-opus-4-8,Exclude,,"Study of cognitive biases in beach volleyball, a physical sport, with no digital game or hoarding-behavior component.",,,4.85,0.171513,2026-06-03T23:18:44.539744+00:00
40727402,opus48,claude-opus-4-8,Include,D3,"Peer-reviewed empirical reanalysis of loot box spending and psychological distress, directly examining loot box purchasing behavior with gambling-harm links.",,,3.68,0.17185,2026-06-03T23:18:46.873918+00:00
40438542,opus48,claude-opus-4-8,Exclude,,"Examines loot box regulatory compliance and policy enforcement, not behavioral or psychological measures of collecting or hoarding.",,,3.87,0.189934,2026-06-03T23:18:47.773146+00:00
40596161,opus48,claude-opus-4-8,Exclude,,Evolutionary game-theory study of electronic health record integration; uses prospect theory and loss aversion but no digital game component.,,,4.5,0.171232,2026-06-03T23:18:48.083758+00:00
36748997,opus48,claude-opus-4-8,Exclude,,"fMRI study of loss aversion in monetary gambles for self versus others, with no game mechanic or game context.",,,4.13,0.170688,2026-06-03T23:18:49.385272+00:00
38526451,opus48,claude-opus-4-8,Exclude,,Hospital logistics and clinical care study about COVID-19; no game component or hoarding-behavior relevance whatsoever.,,,3.5,0.169451,2026-06-03T23:18:50.556649+00:00
39430791,opus48,claude-opus-4-8,Maybe,D3,"Examines microtransactions in digital games but focus is gambling convergence, not loot box/gacha collecting per se; full-text review needed.",,,5.65,0.173426,2026-06-03T23:18:48.623782+00:00
33662153,opus48,claude-opus-4-8,Exclude,,"Studies sunk cost fallacy in NHL draft decisions, not a digital game or any in-game hoarding behavior.",,,4.31,0.171082,2026-06-03T23:18:51.645152+00:00
29435822,opus48,claude-opus-4-8,Exclude,,"Simulated gambling-to-money gambling gateway study; no loot box/gacha game mechanic or hoarding construct, pure gambling scope.",,,3.49,0.173613,2026-06-03T23:18:52.580919+00:00
37159337,opus48,claude-opus-4-8,Include,D3,Peer-reviewed scoping review synthesizing empirical research on loot boxes and gambling-like activities associated with gaming behaviors.,,,8.0,0.18954,2026-06-03T23:18:49.053357+00:00
17716180,opus48,claude-opus-4-8,Exclude,,"Paper concerns nanomedicine patents and pharma R&D; no game component or hoarding behavior, entirely outside review scope.",,,4.23,0.173163,2026-06-03T23:18:54.277365+00:00
29443045,opus48,claude-opus-4-8,Exclude,,"Medical study on platelet transfusion inventory screening; no game component or hoarding behavior, entirely outside scope.",,,4.99,0.170407,2026-06-03T23:18:53.514756+00:00
33547599,opus48,claude-opus-4-8,Exclude,,"Genetics review of OCD-related disorders; gaming mentioned only as PUI phenotype, no in-game hoarding behavior or game mechanic examined.",,,5.0,0.186671,2026-06-03T23:18:54.060259+00:00
29434043,opus48,claude-opus-4-8,Exclude,,"Studies loss aversion in chess via personal-best reference points, not in-game item retention, hoarding, or collecting behavior within scope.",,,3.75,0.165438,2026-06-03T23:18:55.959464+00:00
26500478,opus48,claude-opus-4-8,Exclude,,"tDCS treatment review for behavioral/food addictions; no game item retention, hoarding, or collecting behavior examined despite mentioning video game addiction.",,,4.39,0.172169,2026-06-03T23:18:57.052292+00:00
32502525,opus48,claude-opus-4-8,Exclude,,"Opinion paper on food waste in industry; no game component and not original data, outside review scope.",,,6.72,0.168851,2026-06-03T23:18:56.073648+00:00
31798507,opus48,claude-opus-4-8,Exclude,,"Study on MLB player developmental pathways, unrelated to digital games or hoarding behaviors.",,,4.32,0.173144,2026-06-03T23:18:58.503193+00:00
38483865,opus48,claude-opus-4-8,Exclude,,"Studies endowment effect in real-world AFL draft-pick trading, not a digital game context or virtual item hoarding.",,,5.69,0.167913,2026-06-03T23:18:58.507064+00:00
36134206,opus48,claude-opus-4-8,Include,D3,"Peer-reviewed psychometric study validating a loot box consumption instrument, directly relevant to gacha/loot box collecting behavior.",,,3.93,0.174551,2026-06-03T23:19:01.445016+00:00
24327374,opus48,claude-opus-4-8,Exclude,,Ethics/conceptual editorial on DSM-5 nosology with no original data or game-behavior component.,,,6.19,0.172075,2026-06-03T23:18:59.705986+00:00
36495471,opus48,claude-opus-4-8,Exclude,,"Review of internet-based interventions for behavioral addictions, focused on treatment effectiveness, not game item hoarding or collecting behaviors.",,,8.57,0.173782,2026-06-03T23:18:59.061496+00:00
30955212,opus48,claude-opus-4-8,Maybe,D3,Reply/commentary on loot box overspending without abstract or clear original data; full-text review needed to confirm empirical content.,,,4.82,0.179584,2026-06-03T23:19:02.826316+00:00
32989778,opus48,claude-opus-4-8,Exclude,,"Medical report on COVID-19 convalescent plasma logistics; no game component or hoarding behavior, entirely outside review scope.",,,4.86,0.172507,2026-06-03T23:19:02.790093+00:00
34992568,opus48,claude-opus-4-8,Exclude,,Study on knowledge hiding and personality traits in organizations; no game component or hoarding behavior in games.,,,3.91,0.170707,2026-06-03T23:19:04.193798+00:00
34706058,opus48,claude-opus-4-8,Exclude,,Ecology study on seed dispersal and rodent scatter hoarding; no digital game or hoarding-behavior component.,,,4.01,0.173913,2026-06-03T23:19:05.379764+00:00
41037849,opus48,claude-opus-4-8,Maybe,D3,"Examines game-related overspending including in-game microtransactions, but focus is gaming disorder/spending rather than collecting or hoarding behavior; full-text needed.",,,6.05,0.172282,2026-06-03T23:19:05.899801+00:00
40219036,opus48,claude-opus-4-8,Exclude,,"Studies food addiction across behavioral addictions; gaming disorder mentioned only as sample, no game-item hoarding or collecting behavior examined.",,,4.53,0.175319,2026-06-03T23:19:08.100547+00:00
39851819,opus48,claude-opus-4-8,Exclude,,"General problematic gaming scale validation; no hoarding, collecting, completionism, or accumulation behavior measured.",,,5.2,0.169657,2026-06-03T23:19:07.648088+00:00
32353204,opus48,claude-opus-4-8,Maybe,D3,Single case report of microtransaction spending in gaming disorder; relevance to gacha/loot-box collecting needs full-text review to confirm.,,,5.62,0.17005,2026-06-03T23:19:07.633838+00:00
35991334,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Empirical survey linking loot box spending to problem gambling in games, directly relevant to gacha/loot-box collecting behavior.",,,6.13,0.171344,2026-06-03T23:19:07.647991+00:00
37209127,opus48,claude-opus-4-8,Maybe,D1,"Examines loss aversion in IGD patients but uses a gambling task, not clearly game-context loss aversion; full-text review needed.",,,4.77,0.173632,2026-06-03T23:19:09.391068+00:00
36941849,opus48,claude-opus-4-8,Exclude,,"Study examines sedative/hypnotic use and behavioral addictions broadly, with no focus on in-game hoarding, collecting, or accumulation behaviors.",,,3.86,0.172807,2026-06-03T23:19:11.954584+00:00
41822430,opus48,claude-opus-4-8,Exclude,,"Studies food addiction and behavioral addictions broadly; no in-game hoarding, loot box, or collecting behavior examined.",,,4.27,0.173069,2026-06-03T23:19:12.843299+00:00
39659159,opus48,claude-opus-4-8,Exclude,,"Narrative review of behavioral addictions broadly; no focus on hoarding, collecting, or any specific in-game accumulation behavior.",,,5.61,0.172507,2026-06-03T23:19:13.255562+00:00
33028074,opus48,claude-opus-4-8,Exclude,,"Gaming disorder prevalence meta-analysis with no focus on hoarding, collecting, completionism, or any of the five behavioral domains.",,,5.49,0.174476,2026-06-03T23:19:14.156617+00:00
36814178,opus48,claude-opus-4-8,Exclude,,"Studies childhood trauma and behavioral addictions broadly; no in-game hoarding, loot box, or game-specific accumulation behavior examined.",,,6.13,0.171944,2026-06-03T23:19:13.782901+00:00
38197896,opus48,claude-opus-4-8,Maybe,D3,"Examines in-game purchases and loot box charges related to gaming disorder, but focus is GD severity, not hoarding/collecting behavior; full-text needed.",,,4.18,0.173088,2026-06-03T23:19:15.815872+00:00
34899207,opus48,claude-opus-4-8,Exclude,,"Delay discounting meta-analysis on behavioral addictions broadly; no in-game hoarding, loot box, or item-retention behavioral component examined.",,,3.73,0.190834,2026-06-03T23:19:17.115592+00:00
36587418,opus48,claude-opus-4-8,Exclude,,"Studies behavioral addictions and OC features broadly without examining game item hoarding, loot box, or collecting mechanics.",,,8.56,0.174232,2026-06-03T23:19:12.631121+00:00
28918416,opus48,claude-opus-4-8,Exclude,,"National addiction survey methodology paper; no game item retention, loot box, or hoarding behavioral focus within scope.",,,4.21,0.190853,2026-06-03T23:19:19.914749+00:00
36606732,opus48,claude-opus-4-8,Maybe,D3,Primarily a gambling-severity study but includes loot box purchase and skin betting as game-mechanic activities; full-text needed to assess loot-box behavioral relevance.,,,4.57,0.176857,2026-06-03T23:19:20.000634+00:00
31971427,opus48,claude-opus-4-8,Maybe,D1,"Measures loss aversion in IGD adolescents via gambling task, but assesses general loss sensitivity rather than in-game item retention or hoarding behavior.",,,5.96,0.173575,2026-06-03T23:19:18.862199+00:00
36864740,opus48,claude-opus-4-8,Exclude,,Debate/opinion piece on research collaboration ethics without original data; an editorial outside scope per exclusion criterion 4.,,,4.41,0.171663,2026-06-03T23:19:20.850280+00:00
26690622,opus48,claude-opus-4-8,Exclude,,"Study examines exercise dependence and addictive behaviors with no in-game hoarding, collecting, or accumulation focus.",,,4.47,0.174775,2026-06-03T23:19:21.191515+00:00
38743487,opus48,claude-opus-4-8,Maybe,D3,"Primarily a gambling-harm study, but loot box purchasing is among predictors; full-text review needed to assess loot box behavioral relevance.",,,7.17,0.174813,2026-06-03T23:19:19.650791+00:00
23157656,opus48,claude-opus-4-8,Exclude,,"Study on fungal biodegradation of ivory chess pieces; no game behavior or hoarding psychology, despite 'hoard' and 'gaming' wording.",,,4.9,0.173726,2026-06-03T23:19:24.121746+00:00
41454725,opus48,claude-opus-4-8,Exclude,,"General addiction epidemiology survey methodology; no focus on game item hoarding, loot boxes, completionism, or virtual possession behaviors.",,,4.49,0.174625,2026-06-03T23:19:24.567316+00:00
35855504,opus48,claude-opus-4-8,Exclude,,"Broad narrative review of internet addictive behaviors during COVID-19; no focus on game item hoarding, collecting, or accumulation constructs.",,,4.3,0.172751,2026-06-03T23:19:25.257308+00:00
41391469,opus48,claude-opus-4-8,Maybe,D3,Examines gaming-gambling link in adolescents but no loot box/gacha mechanic specified; full-text needed to confirm game-mechanic relevance.,,,5.5,0.175938,2026-06-03T23:19:24.821198+00:00
24450756,opus48,claude-opus-4-8,Exclude,,"Pure problem-gambling decision-making study with no loot box, gacha, or game mechanic component per exclusion criterion 3.",,,5.83,0.173782,2026-06-03T23:19:25.662394+00:00
40621506,opus48,claude-opus-4-8,Exclude,,"Studies general behavioral addictions and gaming disorder broadly, with no item retention, loot box, collecting, or hoarding-specific game behavior.",,,5.74,0.174269,2026-06-03T23:19:26.817312+00:00
27199853,opus48,claude-opus-4-8,Exclude,,Studies compulsive buying and gambling disorder comorbidity in clinical patients with no game mechanic or loot box/gacha component.,,,4.5,0.17455,2026-06-03T23:19:29.057867+00:00
34375360,opus48,claude-opus-4-8,Exclude,,"Studies cannabis abuse and general addictive behaviors; no game item retention, hoarding, or collecting mechanic examined.",,,4.59,0.174251,2026-06-03T23:19:29.023865+00:00
35782446,opus48,claude-opus-4-8,Exclude,,"Studies behavioral addictions broadly via impulsivity/compulsivity traits, not game item hoarding, loot boxes, completionism, or any specific in-game accumulation behavior.",,,5.64,0.175619,2026-06-03T23:19:29.562459+00:00
