pmid,title,authors,year,journal,abstract,domains
41889096,"Dual HER2/ERα Inhibitors for Breast and Ovarian Cancer: An Integrated Computational Study on 1,2,4-Oxadiazole Derivatives.",Khan Muhammad Asim et al.,2026,Chemistry & biodiversity,"The 1,2,4-oxadiazole scaffold has attracted considerable interest as a privileged structure for anticancer drug development due to its favorable physicochemical properties and multimodal bioactivity. This study presents a comprehensive computational investigation to evaluate the potential of a series of 1,2,4-oxadiazole derivatives as dual inhibitors of the human epidermal growth factor receptor 2 (HER2) and estrogen receptor alpha (ERα), two key drivers in these malignancies. An integrated in silico strategy was employed, combining density functional theory (DFT), molecular docking and dynamics simulations, pharmacokinetic profiling, and machine learning models. Our workflow identified several lead compounds exhibiting promising dual-binding characteristics. Key derivatives demonstrated superior predicted binding affinity and complex stability compared to the reference inhibitor erlotinib. Pharmacokinetic evaluations indicated that the series possesses favorable drug-likeness, with high predicted oral bioavailability and a low risk of cardiotoxicity. Furthermore, machine and deep learning models achieved robust performance in classifying compound activity, underscoring their utility in virtual screening. Collectively, this work validates the 1,2,4-oxadiazole core as a promising scaffold for dual HER2/ERα inhibition and provides a rational, multi-faceted computational blueprint. The identified lead compounds warrant subsequent experimental validation, and the established framework serves as a valuable template for accelerating the discovery of next-generation targeted cancer therapies.",
41888910,Comparative efficacy of different training modes on physical fitness in soccer (football) players: a systematic review and network meta-analysis incorporating randomized controlled trials.,Li Shuhao et al.,2026,"BMC sports science, medicine & rehabilitation",,
41888497,"The Effects of Color Therapy on Fatigue, Depression, and Quality of Life in Parkinson's Patients: A Randomized Controlled Trial.",Coskun Kübra et al.,2026,Brain and behavior,"When compared with healthy people, fatigue, depression, and a lower quality of life are frequently experienced by Parkinson's patients. Color therapy has effects such as reducing depression and improving focusing problems. Examining the effects of color therapy on fatigue, depression, and quality of life in Parkinson's patients constitutes the aim of the present study. This randomized controlled trial was conducted with 60 Parkinson's patients (30 intervention, 30 control). In the first and second weeks, the intervention group received color therapy 3 days per week, consisting of 15-min exposures to purple, yellow, and orange light (totaling 45 min per session). No intervention was performed during the third and fourth weeks. In the fifth and seventh weeks, a single weekly session was administered, applying each color for 15 min (totaling 45 min), while no intervention was carried out in the sixth week. Post-test data were collected in the eighth week. The control group received no intervention. Data collection tools included a ""Patient Information Form,"" ""Parkinson Fatigue Scale (PFS-16),"" ""Beck Depression Inventory (BDI),"" and ""SF-36 Quality of Life Scale."" The total mean score and sub-dimension scores of PFS-16 and the total mean score of BDI decreased statistically significantly in the intervention group (p = 0.05). The intervention also caused a significant increase in SF-36 quality of life total score and sub-dimension mean scores of the intervention group (p < 0.05). Color therapy application was found to decrease the level of fatigue and depression and improve the quality of life in Parkinson's patients.",D4: Inventory / virtual possession; D5: Completionism
41886540,"Application of Affective Touch in Patients With Advanced Cancer: Effects on Existential Distress, Pain, and Quality of Life.",Zheng Hong-Tao et al.,2026,The journal of nursing research : JNR,"Patients with advanced cancer generally experience adverse physical and mental burdens. As a nondrug approach, affective touch provides support for oncology nurses in helping patients with advanced cancer overcome these burdens. This study was designed to implement an affective touch intervention for patients with advanced cancer to explore its effects on existential distress, pain, and quality of life in this vulnerable patient population. In this randomized controlled trial, 83 patients with advanced cancer were allocated randomly to either the experimental or control group. The experimental group received the affective touch intervention once a day for 2 weeks. General data were collected from all of the participants before the intervention. Existential Distress Scale and Functional Assessment of Cancer Therapy-General scores were collected both before and 2 weeks after the intervention. Average pain levels on the Brief Pain Inventory were collected before and at weeks 1 and 2 of the intervention. Current pain levels were collected daily after the intervention. After completing the 2-week intervention, the total scores for the control and experimental groups were, respectively, 8.15 ± 2.23 and 6.60 ± 2.75 (p < .05) for existential distress and 50.24 ± 12.35 and 57.24 ± 14.26 (<.001) for quality of life, showing a significant improvement effect for the intervention. Affective touch was shown to have an immediate ameliorative effect on pain after the daily intervention but was not shown to be significantly effective in providing long-term pain relief at either 1 or 2 weeks after the intervention. Affective touch, as a simple, noninvasive, and cost-effective approach implemented alongside routine nursing care, may improve existential distress, immediate pain, and quality of life in patients with advanced cancer. The affective touch intervention is worth promoting and applying in clinical settings. Further efforts by senior practice nurses are needed to incorporate this intervention into medical oncology practice.",D4: Inventory / virtual possession
41886461,Enhancing autonomous agriculture control systems in greenhouses for sustainable resource usage using deep learning techniques.,Hindi Iman et al.,2026,PloS one,"Greenhouse climate control is essential for optimizing crop growth while minimizing resource consumption in controlled environment agriculture. Traditional rule-based and fixed-action strategies often struggle to achieve a balance between these objectives. This paper proposes a reinforcement learning (RL) based framework for greenhouse climate control, integrating deep learning models to predict both crop growth and resource consumption. The framework enables an RL agent to optimize greenhouse control setpoints dynamically, maximizing crop yield while ensuring sustainable resource usage. The proposed system incorporates a Multi-Layer Perceptron (MLP) model to predict internal greenhouse climate conditions, a Long Short-Term Memory (LSTM) model for crop parameter estimation, and a separate LSTM model for forecasting daily resource consumption. These models collectively simulate a greenhouse environment where an RL agent learns to regulate temperature, CO2 concentration, and irrigation levels by interacting with the virtual environment. A custom reward function is designed to guide the agent, considering key crop parameters; stem elongation, stem thickness, and cumulative trusses; alongside resource consumption metrics, including heating, electricity, CO2, and irrigation costs. To enhance the adaptability of the RL agent, a feature-selection mechanism identified the most influential climate and control features, reducing observation complexity and accelerating convergence. Retraining under stochastic weather conditions strengthened robustness to dynamic environments, enabling the agent to consistently outperform fixed-action strategies. Evaluation revealed a stable Pareto frontier between yield and resource consumption, confirming that the framework accurately captured the productivity and sustainability trade-off and remained robust across varying reward-weight settings. Comparative analysis of multiple RL algorithms; Proximal Policy Optimization (PPO), Deep Deterministic Policy Gradient (DDPG), Soft Actor-Critic (SAC), and Twin Delayed Deep Deterministic Policy Gradient (TD3) demonstrated that TD3 outperforms other algorithms, achieving the highest cumulative rewards and reaching optimal policies faster. Experimental evaluations demonstrate that the proposed TD3 RL-based greenhouse control system achieves higher crop yield growth rates while optimizing resource usage, outperforming conventional greenhouse control strategies. This study presents a novel data-driven, adaptive greenhouse management approach, bridging the gap between crop growth modeling and autonomous climate control, contributing to sustainable and intelligent agricultural practices.",
41885726,Monitoring readiness in Italian amateur female volleyball players: combined use of the Countermovement Jump Test and Subjective Wellness Questionnaires.,Ruscello Bruno et al.,2026,The Journal of sports medicine and physical fitness,"Amateur female volleyball players face substantial physical and psychological demands despite limited access to professional monitoring tools. Practical, low-cost strategies to assess readiness and recovery are needed. This study investigated whether combining the Countermovement Jump (CMJ) Test with psychometric questionnaires could effectively monitor neuromuscular and psychophysical status within a weekly microcycle. In this 12-week observational cohort study, twenty-one Italian amateur female volleyball players (mean age: 23.0±2.8 years) were monitored. CMJ performance was assessed on three key training days within the weekly microcycle (GD+2, GD-3, and GD-1) using the Chronojump Bosco-System. Subjective wellness variables, including sleep quality, recovery, readiness, perceived exertion (RPE), session-RPE, and menstrual-related soreness, were collected via questionnaires across the microcycle, including game day (GD). CMJ performance improved significantly from GD+2 and GD-3 to GD-1 (P<0.001), reflecting enhanced neuromuscular readiness leading into match day. Readiness scores were higher on GD compared to GD+2 (P<0.001). Among subjective variables, menstrual soreness was significantly and negatively associated with CMJ output (P=0.05), suggesting its relevance in performance monitoring. Sleep and recovery scores did not vary significantly across days, while session RPE showed moderate variation. Combining CMJ testing with brief psychometric questionnaires offers a feasible and informative strategy for monitoring readiness in amateur female volleyball. While CMJ alone cannot fully explain performance variability, its integration with subjective wellness indicators provides a more comprehensive view of recovery status. This approach supports individualized training adjustments and is particularly valuable in settings with limited access to advanced technologies.",
41885598,Developmental origins of ordered memory recall tendencies.,Dicken Lily et al.,2026,Child development,"This preregistered study examined early transitions in children's spontaneous memory recall tendencies. Children aged 3 to 5 years (N = 72; 36 females; mostly White) were presented with a simple visuospatial memory task in which they freely recalled the locations of sequentially hidden targets across four test phases. We observed distinct age-related shifts in output order: younger children predominantly prioritized the most recently hidden target, whereas older children increasingly prioritized the earliest target (consistent with cumulative rehearsal). When one of three targets was externally marked, older children were also more likely to prioritize unmarked targets, suggesting an emerging ability to exploit external memory resources. Collectively, these findings point to an initial transition from reactive to proactive control over working memory during the preschool years.",
41885463,"Investigation of occupational performance, anxiety, and work-life balance of healthcare workers during the COVID-19 pandemic: A cross-sectional study from Turkey.",Akyurek Gokcen et al.,2026,"Work (Reading, Mass.)","BackgroundHealthcare workers experienced increased psychological distress, disrupted work-life balance, and changes in occupational performance during the COVID-19 pandemic.ObjectiveThe study aimed to investigate the occupational performance, work-life balance, and anxiety level of HWs (physicians, nurses, medical secretaries, health technicians, psychologists, social workers, and occupational therapists) employed in a pandemic hospital in Turkey.MethodsA cross-sectional study was conducted with 122 HWs during the second peak of the pandemic. Data were collected using the Work-Life Balance Scale, State-Trait Anxiety Inventory, and COPM. Independent samples t-tests and one-way ANOVA were performed. Effect sizes (Cohen's d, partial eta squared) were calculated to enhance interpretation.ResultsFemale participants reported higher trait anxiety, while males demonstrated higher state anxiety and greater COPM satisfaction. Large effect sizes were found in COPM satisfaction across occupational groups, with medical secretaries showing notably lower satisfaction than other professions. Professional role differences were also observed in state anxiety and work-life balance scores.ConclusionsAnxiety and occupational performance satisfaction varied across professions and gender during the pandemic. These findings highlight the need for tailored psychosocial support and occupational therapy-based interventions to improve HWs' performance and well-being.",D4: Inventory / virtual possession
41885391,Equitable employment environment for people with visual impairments: Employees and employment domain experts' perspectives.,Ogedengbe Tosin Omonye et al.,2026,"Work (Reading, Mass.)","BackgroundLittle is known about confirming that an employment environment is truly inclusive and accessible for people with visual impairments (low vision and blindness). Advocacy, policy development, and decades-long calls for inclusive practice have aimed to address the high unemployment rates among those with visual impairments. A one-size-fits-all, inclusive approach that focuses on preparing people with visual impairment (PVI) for employment has been the practice. Yet, job acquisition (54% employment rate) and retention remain challenging.ObjectiveThis study explored the aspect([s) of the employment environment readiness to support the inclusion of people with visual impairment.MethodsWe employed a co-creation approach to gather insights from employees with visual impairment and employment domain experts through twelve virtual interviews and four focus groups (Zoom). The transcripts from the recorded sessions were analyzed using thematic analysis.ResultsThe findings highlight three main themes critical to workplace preparedness: willingness, education and experience, and collaboration. Sub-themes include support, leadership, and resource allocation, among others. Effective preparedness depends on addressing knowledge and practice gaps, fostering collaboration, being vulnerable in seeking necessary help, and clear communication. Generally, intangible factors (non-physical) were deemed more important than tangible ones (e.g., assistive devices).ConclusionAssessing and prioritizing workplace readiness is crucial for creating sustainable employment opportunities for individuals with vision impairment. The factors described in this study can inform the development of assessment tools that support both organizations and policymakers. Enhancing data collection for evidence-based policymaking and enforcing compliance checks to promote workplace inclusivity for people with vision impairment.***This manuscript is based in part, on one of the author's dissertations.",D5: Completionism
41884853,Plasma PFDN2 suppresses head and neck squamous cell carcinoma progression by restricting CD64 on monocyte-driven inflammatory microenvironments.,Feng Chen et al.,2026,Frontiers in immunology,"Head and neck squamous cell carcinoma (HNSC) is a highly heterogeneous malignancy with poor prognosis and frequent recurrence. Beyond tumor-intrinsic alterations, the immune microenvironment plays a decisive role in tumor initiation and progression. However, the causal contribution of systemic plasma proteins to immune regulation and HNSC susceptibility remains poorly defined. We conducted a multi-sample Mendelian randomization (MR) study integrating large-scale plasma proteomics, immune cell phenotypes, and HNSC. Mediation analyses were performed to identify immune cell phenotypes that potentially mediate protein-HNSC associations. The findings were further supported by immune infiltration analyses, molecular docking and molecular dynamics simulations and validation using clinical HNSC specimens, including single-cell RNA sequencing of collected samples, scTenifoldKnk virtual knockout modeling and immunofluorescence staining/histological assessment of HNSC tissues. Among 4907 plasma proteins, MR identified prefoldin subunit 2 (PFDN2) as a protective factor against hypopharyngeal carcinoma, with no evidence of reverse causality. Immune phenotype MR analyses revealed CD64 on monocyte (FCGR1A+ monocytes) as the only immune trait causally linked to both PFDN2 and cancer risk. Analysis using multiple deconvolution algorithms demonstrated a consistent negative correlation between PFDN2 expression and monocyte infiltration. Single-cell RNA sequencing revealed predominant PFDN2 expression in epithelial tumor cells, whereas FCGR1A expression was restricted to monocytes. Virtual knockout of PFDN2 selectively activated monocyte-associated inflammatory programs. Molecular docking and dynamics simulations supported a stable protein-protein interaction between PFDN2 and CD64. Tissue analyses further confirmed PFDN2 downregulation and CD64 upregulation in HNSC, correlating with advanced tumor grade and stage. Our findings establish PFDN2 as a protective plasma protein that restrains HNSC progression by suppressing CD64 on monocyte-mediated inflammatory immune microenvironments, highlighting the PFDN2-CD64 axis as a potential prognostic biomarker and therapeutic target.",
41884806,"The Magnitude of Burnout Syndrome and Its Associated Factors among Health Extension Workers in South Gondar Zone, Northwest Ethiopia: A Cross-Sectional Study.",Alemu Eshetie Molla et al.,2026,SAGE open nursing,"Health Extension Workers (HEWs) in Ethiopia face heavy workloads, long hours, and limited resources, increasing their risk of Burnout Syndrome (BOS), a psychological condition characterized by emotional exhaustion, depersonalization (DP), and reduced personal accomplishment (PA). Despite their critical role in rural health systems, evidence on burnout prevalence and its determinants among HEWs in Northwest Ethiopia is limited. To assess the magnitude of BOS and identify its associated factors among HEWs in the South Gondar Zone, Northwest Ethiopia, 2024. A facility-based cross-sectional study was conducted from April 1, 2024, to April 30, 2024, among 406 HEWs selected using simple random sampling. Data were collected via face-to-face interviews using a structured, pretested questionnaire including the Maslach Burnout Inventory. Data were entered using EpiData version 4.6 and analyzed with SPSS version 25. Multivariable logistic regression analysis was performed to identify factors associated with burnout, and adjusted odds ratios (AORs) with 95% confidence intervals (CIs) were reported. Burnout prevalence among HEWs was 22.17% (95% CI: 18.38-26.48%). Factors significantly associated with burnout included rural residence (AOR = 2.25; 95% CI: 1.09-4.64), fewer years of service at the current facility (AOR = 0.27; 95% CI: 0.12-0.61), job dissatisfaction (AOR = 2.67; 95% CI: 1.15-6.21), and inadequate availability of health post resources (AOR = 0.57; 95% CI: 0.37-0.88). Regarding burnout dimensions, 90.4% of participants reported low, 7.4% moderate, and 2.2% high levels of emotional exhaustion. Low levels of DP and PA were reported by 85.0% and 98.0% of HEWs, respectively. A substantial proportion of HEWs in the South Gondar Zone experience burnout, which may negatively affect both their well-being and the quality of health services delivered. Targeted interventions addressing modifiable workplace and psychosocial factors are urgently needed to improve occupational health and ensure the sustainability of the primary healthcare workforce.",D4: Inventory / virtual possession
