openalex_id,pmid,doi,title,abstract,year,journal,authors,type,cited_by_count,domain_query
W2884830853,30054460,10.1038/s41467-018-05259-5,Exploiting a cognitive bias promotes cooperation in social dilemma experiments,"The decoy effect is a cognitive bias documented in behavioural economics by which the presence of a third, (partly) inferior choice causes a significant shift in people's preference for other items. Here, we performed an experiment with human volunteers who played a variant of the repeated prisoner's dilemma game in which the standard options of ""cooperate"" and ""defect"" are supplemented with a new, decoy option, ""reward"". We show that although volunteers rarely chose the decoy option, its availability sparks a significant increase in overall cooperativeness and improves the likelihood of success for cooperative individuals in this game. The presence of the decoy increased willingness of volunteers to cooperate in the first step of each game, leading to subsequent propagation of such willingness by (noisy) tit-for-tat. Our study thus points to decoys as a means to elicit voluntary prosocial action across a spectrum of collective endeavours.",2018,Nature Communications,Zhen Wang; Marko Jusup; Лей Ши; Joung-Hun Lee; Yoh Iwasa,article,309,D1
W2611029478,28529494,10.3389/fpsyg.2017.00699,Sensation Seeking and Online Gaming Addiction in Adolescents: A Moderated Mediation Model of Positive Affective Associations and Impulsivity,"Based on the Dual Systems Model (Somerville, Jones, & Casey, 2010; Steinberg, 2010) and the biosocial-affect model (Romer & Hennessy, 2007) of adolescent sensation seeking and problem behaviors, the present study examined how (affective associations with online games as a mediator) and when (impulsivity as a moderator) did sensation seeking influence online gaming addiction in adolescence. A total of 375 Chinese male adolescents (mean age = 16.02 years, SD = 0.85) from southern China completed anonymous questionnaires regarding sensation seeking, positive affective associations with online games, impulsivity, and online gaming addiction. Our findings revealed that sensation seeking, positive affective associations with online games and impulsivity were each significantly and positively associated with online gaming addiction in adolescents. Positive affective associations mediated the relationship between sensation seeking and online gaming addiction. Further, impulsivity moderated the relationship between positive affective associations and online gaming addiction, such that the association between positive affective association and online gaming addiction was stronger for high than for low impulsivity adolescents. These findings underscore the importance of integrating the biosocial-affect model and the Dual Systems Model to understand how and when sensation seeking impacts adolescent online gaming addiction.",2017,Frontiers in Psychology,Jianping Hu; Shuangju Zhen; Chengfu Yu; Qiuyan Zhang; Wei Zhang,article,90,D1
W161555447,,10.26503/dl.v2011i1.545,Framework for Designing and Evaluating Game Achievements,"This paper presents a framework for evaluating and designing game design patterns commonly called as “achievements”. The results are based on empirical studies of a variety of popular achievement systems. The results, along with the framework for analyzing and designing achievements, present two definitions of game achievements. From the perspective of the achievement system, an achievement appears as a challenge consisting of a signifying element, rewards and completion logics whose fulfilment conditions are defined through events in other systems (usually games). From the perspective of a single game, an achievement appears as an optional challenge provided by a meta-game that is independent of a single game session and yields possible reward(s).",2011,,Juho Hamari; Veikko Eranti,article,222,D1
W2170714771,,10.1016/j.jet.2003.12.003,Analogy-based expectation equilibrium,,2004,Journal of Economic Theory,Philippe Jéhiel,article,406,D1
W2113043717,,10.2307/1270107,Operations Research: Applications and Algorithms,"1. INTRODUCTION TO MODEL BUILDING. An Introduction to Modeling. The Seven-Step Model-Building Process. Examples. 2. BASIC LINEAR ALGEBRA. Matrices and Vectors. Matrices and Systems of Linear Equations. The Gauss-Jordan Method for Solving Systems of Linear Equations. Linear Independence and Linear Dependence. The Inverse of a Matrix. Determinants. 3. INTRODUCTION TO LINEAR PROGRAMMING. What is a Linear Programming Problem? The Graphical Solution of Two-Variable Linear Programming Problems. Special Cases. A Diet Problem. A Work-Scheduling Problem. A Capital Budgeting Problem. Short-term Financial Planning. Blending Problems. Production Process Models. Using Linear Programming to Solve Multiperiod Decision Problems: An Inventory Model. Multiperiod Financial Models. Multiperiod Work Scheduling. 4. THE SIMPLEX ALGORITHM AND GOAL PROGRAMMING. How to Convert an LP to Standard Form. Preview of the Simplex Algorithm. The Simplex Algorithm. Using the Simplex Algorithm to Solve Minimization Problems. Alternative Optimal Solutions. Unbounded LPs. The LINDO Computer Package. Matrix Generators, LINGO, and Scaling of LPs. Degeneracy and the Convergence of the Simplex Algorithm. The Big M Method. The Two-Phase Simplex Method. Unrestricted-in-Sign Variables. Karmarkars Method for Solving LPs. Multiattribute Decision-Making in the Absence of Uncertainty: Goal Programming. Solving LPs with Spreadsheets. 5. SENSITIVITY ANALYSIS: AN APPLIED APPROACH. A Graphical Introduction to Sensitivity Analysis. The Computer and Sensitivity Analysis. Managerial Use of Shadow Prices. What Happens to the Optimal z-value if the Current Basis is No Longer Optimal? 6. SENSITIVITY ANALYSIS AND DUALITY. A Graphical Introduction to Sensitivity Analysis. Some Important Formulas. Sensitivity Analysis. Sensitivity Analysis When More Than One Parameter is Changed: The 100% Rule. Finding the Dual of an LP. Economic Interpretation of the Dual Problem. The Dual Theorem and Its Consequences. Shadow Prices. Duality and Sensitivity Analysis. 7. TRANSPORTATION, ASSIGNMENT, AND TRANSSHIPMENT PROBLEMS. Formulating Transportation Problems. Finding Basic Feasible Solutions for Transportation Problems. The Transportation Simplex Method. Sensitivity Analysis for Transportation Problems. Assignment Problems. Transshipment Problems. 8. NETWORK MODELS. Basic Definitions. Shortest Path Problems. Maximum Flow Problems. CPM and PERT. Minimum Cost Network Flow Problems. Minimum Spanning Tree Problems. The Network Simplex Method. 9. INTEGER PROGRAMMING. Introduction to Integer Programming. Formulation Integer Programming Problems. The Branch-and-Bound Method for Solving Pure Integer Programming Problems. The Branch-and-Bound Method for Solving Mixed Integer Programming Problems. Solving Knapsack Problems by the Branch-and-Bound Method. Solving Combinatorial Optimization Problems by the Branch-and-Bound Method. Implicit Enumeration. The Cutting Plane Algorithm. 10. ADVANCED TOPICS IN LINEAR PROGRAMMING. The Revised Simplex Algorithm. The Product Form of the Inverse. Using Column Generation to Solve Large-Scale LPs. The Dantzig-Wolfe Decomposition Algorithm. The Simplex Methods for Upper-Bounded Variables. Karmarkars Method for Solving LPs. 11. NONLINEAR PROGRAMMING. Review of Differential Calculus. Introductory Concepts. Convex and Concave Functions. Solving NLPs with One Variable. Golden Section Search. Unconstrained Maximization and Minimization with Several Variables. The Method of Steepest Ascent. Lagrange Multiples. The Kuhn-Tucker Conditions. Quadratic Programming. Separable Programming. The Method of Feasible Directions. Pareto Optimality and Tradeoff Curves. 12. REVIEW OF CALCULUS AND PROBABILITY. Review of Integral Calculus. Differentiation of Integrals. Basic Rules of Probability. Bayes Rule. Random Variables. Mean Variance and Covariance. The Normal Distribution. Z-Transforms. Review Problems. 13. DECISION MAKING UNDER UNCERTAINTY. Decision Criteria. Utility Theory. Flaws in Expected Utility Maximization: Prospect Theory and Framing Effects. Decision Trees. Bayes Rule and Decision Trees. Decision Making with Multiple Objectives. The Analytic Hierarchy Process. Review Problems. 14. GAME THEORY. Two-Person Zero-Sum and Constant-Sum Games: Saddle Points. Two-Person Zero-Sum Games: Randomized Strategies, Domination, and Graphical Solution. Linear Programming and Zero-Sum Games. Two-Person Nonconstant-Sum Games. Introduction to n-Person Game Theory. The Core of an n-Person Game. The Shapley Value. 15. DETERMINISTIC EOQ INVENTORY MODELS. Introduction to Basic Inventory Models. The Basic Economic Order Quantity Model. Computing the Optimal Order Quantity When Quantity Discounts Are Allowed. The Continuous Rate EOQ Model. The EOQ Model with Back Orders Allowed. Multiple Product Economic Order Quantity Models. Review Problems. 16. PROBABILISTIC INVENTORY MODELS. Single Period Decision Models. The Concept of Marginal Analysis. The News Vendor Problem: Discrete Demand. The News Vendor Problem: Continuous Demand. Other One-Period Models. The EOQ with Uncertain Demand: the (r, q) and (s,S models). The EOQ with Uncertain Demand: the Service Level Approach to Determining Safety Stock Level. Periodic Review Policy. The ABC Inventory Classification System. Exchange Curves. Review Problems. 17. MARKOV CHAINS. What is a Stochastic Process. What is a Markov Chain? N-Step Transition Probabilities. Classification of States in a Markov Chain. Steady-State Probabilities and Mean First Passage Times. Absorbing Chains. Work-Force Planning Models. 18.DETERMINISTIC DYNAMIC PROGRAMMING. Two Puzzles. A Network Problem. An Inventory Problem. Resource Allocation Problems. Equipment Replacement Problems. Formulating Dynamic Programming Recursions. The Wagner-Whitin Algorithm and the Silver-Meal Heuristic. Forward Recursions. Using Spreadsheets to Solve Dynamic Programming Problems. Review Problems. 19. PROBABILISTIC DYNAMIC PROGRAMMING. When Current Stage Costs are Uncertain but the Next Periods State is Certain. A Probabilistic Inventory Model. How to Maximize the Probability of a Favorable Event Occurring. Further Examples of Probabilistic Dynamic Programming Formulations. Markov Decision Processes. Review Problems. 20. QUEUING THEORY. Some Queuing Terminology. Modeling Arrival and Service Processes. Birth-Death Processes. M/M/1/GD/o/o Queuing System and the Queuing Formula L=o W, The M/M/1/GD/o Queuing System. The M/M/S/ GD/o/o Queuing System. The M/G/ o/GD/oo and GI/G/o/GD/o/oModels. The M/ G/1/GD/o/o Queuing System. Finite Source Models: The Machine Repair Model. Exponential Queues in Series and Opening Queuing Networks. How to Tell whether Inter-arrival Times and Service Times Are Exponential. The M/G/S/GD/S/o System (Blocked Customers Cleared). Closed Queuing Networks. An Approximation for the G/G/M Queuing System. Priority Queuing Models. Transient Behavior of Queuing Systems. Review Problems. 21.SIMULATION. Basic Terminology. An Example of a Discrete Event Simulation. Random Numbers and Monte Carlo Simulation. An Example of Monte Carlo Simulation. Simulations with Continuous Random Variables. An Example of a Stochastic Simulation. Statistical Analysis in Simulations. Simulation Languages. The Simulation Process. 22.SIMULATION WITH PROCESS MODEL. Simulating an M/M/1 Queuing System. Simulating an M/M/2 System. A Series System. Simulating Open Queuing Networks. Simulating Erlang Service Times. What Else Can Process Models Do? 23. SPREADSHEET SIMULATION WITH @RISK. Introduction to @RISK: The Newsperson Problem. Modeling Cash Flows From A New Product. Bidding Models. Reliability and Warranty Modeling. Risk General Function. Risk Cumulative Function. Risktrigen Function. Creating a Distribution Based on a Point Forecast. Forecasting Income of a Major Corporation. Using Data to Obtain Inputs For New Product Simulations. Playing Craps with @RISK. Project Management. Simulating the NBA Finals. 24. FORECASTING. Moving Average Forecasting Methods. Simple Exponential Smoothing. Holts Method: Exponential Smoothing with Trend. Winters Method: Exponential Smoothing with Seasonality. Ad Hoc Forecasting, Simple Linear Regression. Fitting Non-Linear Relationships. Multiple Regression. Answers to Selected Problems. Index.",1988,Technometrics,Eric R. Ziegel; Wayne L. Winston,article,1707,D1
W2028987454,,10.1007/s10683-009-9225-9,The effects of externalities and framing on bribery in a petty corruption experiment,"Abstract Using a simple one-shot bribery game simulating petty corruption exchanges, we find evidence of a negative externality effect and a framing effect. When the losses suffered by third parties due to a bribe being offered and accepted are high and the game is presented as a petty corruption scenario instead of in abstract terms bribes are less likely to be offered. Higher negative externalities are also associated with less bribe acceptance. However, framing has no effect on bribe acceptance, indicating that the issue of artificiality may be of particular importance in bribery experiments.",2009,Experimental Economics,Abigail Barr; Danila Serra,article,224,D1
W2054870039,,10.1016/j.ibusrev.2013.01.003,Managing global megaprojects: Complexity and risk management,,2013,International Business Review,Ilke Kardes; Ayse Öztürk; S. Tamer Çavuşgil; Erin Çavuşgil,article,274,D1
W1986765024,,10.1016/j.jretai.2014.02.002,A Meta-analysis of Loss Aversion in Product Choice,,2014,Journal of Retailing,Nico Neumann; Ulf Böckenholt,article,82,D1
W3183566438,,10.30564/jesr.v1i1.439,Economic model of microtransactions in video games,"Abstract: Microtransactions denote a payment made for purchase of mobile phone application or additional content in video games. The basic revenue principle for publisher was to sell the entire content at once, with the buyer having to pay the game as a whole. Trends from mobile applications and mobile games market have slowly transferred to PC games and console video games. About one half of total revenue of big video games publishers comes from microtransactions. The topics of this paper are the economic effects of microtransactions on video game industry business model. The scope of microtransactions and different implementing procedures will be discused in paper. The goal is to determine the change of the position of all stakeholders involved in the process of creating and publishing video games.",2019,Journal of Economic Science Research,Nenad Tomić,article,52,D1
W2163301974,20553763,10.1016/j.cogpsych.2010.03.001,Seeing is believing: Trustworthiness as a dynamic belief,,2010,Cognitive Psychology,Luke J. Chang; Bradley B. Doll; Mascha van ‘t Wout‐Frank; Michael J. Frank; Alan G. Sanfey,article,312,D1
W2957010394,,10.1016/j.chb.2019.07.003,"Paying for loot boxes is linked to problem gambling, regardless of specific features like cash-out and pay-to-win",,2019,Computers in Human Behavior,David Zendle; Paul Cairns; H. R. Barnett; Cade McCall,article,140,D1
W4322766660,,10.1016/j.jclepro.2023.136626,Energy structure transformation in the context of carbon neutralization: Evolutionary game analysis based on inclusive development of coal and clean energy,,2023,Journal of Cleaner Production,Xinping Wang; Ziming Zhang; Zheng-Hao Guo; Chang Su; Linhui Sun,article,118,D1
W2953113430,31196191,10.1186/s40359-019-0309-9,Playing a video game is more than mere procrastination,"BACKGROUND: Procrastination is seen as a severe problem among young people, and many factors have been claimed to be associated with it, playing video games being one of them. One of the reasons why video games might be related to procrastination is their ability to offer instant gratification and feedback, while at the same time offer distractions from less tempting and rewarding tasks. It is not yet agreed on whether or not video game players are more prone towards procrastination and discounting of future rewards. METHOD: Over 500 participants across two studies completed two surveys on video gaming habits, as well as a measurement of procrastination tendencies. In study 1 participants performed an experiential discounting task, while participants in study 2 performed the 5-trial adjusting delay discounting task, both tasks assessing preference for delayed larger rewards. RESULTS: In study 1, hours of videogaming was not significantly related to procrastination or the discount rate. In study 2, hours of videogaming was not strongly associated with procrastination and delay discounting either. However, when asked why they play, those answering to escape reality and to reduce stress had more problems of procrastination than those who play for entertainment, reward or social reasons. Overall, the association between procrastination and hours spent playing video games was weak but positive, r(513) = .122. DISCUSSION: Time spent enjoying and engaging in video gaming is done for various reasons, only for a few this is related to procrastination. By using only hypothetical payouts in the discounting tasks, the absence of a relationship between hours spent video gaming, procrastination and delayed gratification requires further investigation. However, playing video games is more than mere procrastination.",2019,BMC Psychology,Kent Nordby; Ronny Andre Løkken; Gerit Pfuhl,article,40,D1
W2789689524,,10.1109/tsg.2018.2810819,Prospect Theory-Based Active Consumer Behavior Under Variable Electricity Pricing,"Active consumers who engage in energy consumption, production and provide ancillary services in a dynamic and interactive manner will be an integral part of the future grid. This paper models and analyzes interaction between active consumers and aggregators with a specific focus on consumer actions in response to real-time electricity pricing and their impacts on grid voltage. First, this paper introduces a unique prospect theory-based consumer behavior model that captures wide range of consumers each with their individual preferences. Second, the interaction between consumers and aggregators is modeled as a Stackelberg game. However, unlike existing game theoretic efforts that assume rational behavior of consumers, the prospect theory-based models systematically incorporate realistic consumer behavior including irrationality. Another unique aspect of the formulation is the inclusion of the physical grid constraints (in terms of voltage violations) within the analysis. In contrast to prior approaches that limit themselves to economic aspects, the proposed techno-economic perspective provides an understanding of the impact of large scale penetration of active consumers on the physical grid. The proposed model is analyzed using simulations on the IEEE 69 bus test system and the impact of irrationality on both consumer/aggregator payoffs and voltage violations is quantified.",2018,IEEE Transactions on Smart Grid,Kumarsinh Jhala; Balasubramaniam Natarajan; Anil Pahwa,article,85,D1
W3036791764,,10.1016/j.technovation.2020.102155,Unearthing antecedents to financial inclusion through FinTech innovations,,2020,Technovation,PK Senyo; Ellis L.C. Osabutey,article,358,D1
W3132951841,34384394,10.1186/s12889-021-11394-4,Internet Gaming Disorder in adolescence: investigating profiles and associated risk factors,"Abstract Background Electronic gaming is a popular free-time activity and its deleterious effects have been considered by the American Psychiatric Association and World Health Organization. More recently ‘Gaming Disorder’ (GD) has been added to the 11 th revision of the International Classification of Diseases, while ‘Internet Gaming Disorder’ (IGD) remains as a tentative disorder in the 5 th revision of the Diagnostic and Statistical Manual of Mental Disorders. This study aimed to explore the characteristics of young gamers at risk for developing IGD. Methods To achieve this, a quantitative and nationally representative study was conducted in primary schools in Slovenia with eighth grade as the primary sampling unit ( N = 1071, Mean age = 13.44 years, SD age = 0.59). Psychometric testing assessing IGD was conducted to identify participants’ IGD risk levels and to compare ‘high risk gamers’, ‘low risk gamers’, and ‘non-gamers’ in relation to free-time activities, self-control, and parent-child relationship. A one-way ANOVA analysis was conducted with Games-Howell post-hoc test to compare the three groups of participants. Statistically significant IGD factors were then included in a multinomial logistic regression analysis to identify the most relevant predictors of IGD. Results About 4.7% ( n = 48) [95% CI: 3.4–6.0%] of Slovenian adolescents were found to be ‘high risk gamers’ when considering risk of IGD. These were mostly males ( n = 42, 87.5%), and their preferred leisure activities involved more screen time activities (e.g., watching TV, playing video games, using social media). Moreover, ‘high risk gamers’ showed significantly lower levels of self-control compared to ‘low risk gamers’, and poorer understanding with their parents. Perceived satisfaction with life and mental health did not differ significantly between the three groups. The multinomial logistic regression identified four key predictors of IGD: male gender, gaming as a frequent free-time activity, attending music school or a choir and self-control. Conclusion Public health measures should target adolescents at increased risk of developing IGD in early age because they are particularly drawn to excessive gaming behaviors and present greater IGD vulnerability.",2021,BMC Public Health,Mirna Macur; Halley M. Pontes,article,104,D1
