openalex_id,tier,model,verdict,domains,reason,parse_error,latency_s,cost_usd
W2905109362,opus,claude-opus-4-7,Exclude,,Mathematical game-theory paper on bimatrix games with fuzzy payoffs; not about digital/video games or behavioral hoarding constructs.,,4.78,0.100144
W1994737592,sonnet,claude-sonnet-4-6,Exclude,,"Operations research paper on chance-constrained game theory; no digital games, hoarding, or behavioral psychology content.",,3.26,0.01513
W3125195420,haiku,claude-haiku-4-5,Maybe,D1,Examines loss aversion in game context but focuses on information trading not item hoarding; review needed.,,33.37,0.021544
W1994737592,opus,claude-opus-4-7,Exclude,,Mathematical paper on chance-constrained game theory; no relation to digital games or hoarding behaviors.,,3.21,0.107775
W2901570581,sonnet,claude-sonnet-4-6,Include,D3|Cross-domain,"Large-scale empirical survey linking loot box spending to problem gambling severity, directly relevant to D3 and compulsive behavior constructs.",,3.18,0.013885
W2901570581,opus,claude-opus-4-7,Include,D3,"Large-scale survey directly links loot box spending to problem gambling severity, central to D3.",,3.02,0.098044
W1994737592,haiku,claude-haiku-4-5,Exclude,,"Pure mathematical game theory (1968); no video games, hoarding, or behavioral content.",,10.81,0.008053
W2106293368,sonnet,claude-sonnet-4-6,Exclude,,Focuses on purchase decision determinants using TAM/TPB without behavioral or psychological hoarding constructs.,,3.26,0.013784
W2106293368,opus,claude-opus-4-7,Maybe,D3|D4,Studies purchase intent for virtual items; tangential to hoarding/psychological ownership but lacks direct behavioral/psychological hoarding measures—requires full-text review.,,3.78,0.101887
W2015258583,sonnet,claude-sonnet-4-6,Maybe,D4,Examines psychological ownership in MMORPGs but focuses on loyalty/commitment rather than hoarding or inventory behavior directly.,,3.5,0.013956
W2015258583,opus,claude-opus-4-7,Maybe,D4,"Examines psychological ownership of MMORPG characters, tangentially relevant to virtual possession attachment; full-text review needed to assess hoarding relevance.",,3.35,0.101962
W2015258583,haiku,claude-haiku-4-5,Exclude,,"Studies MMORPG player loyalty via character ownership and social identity; does not address item retention, hoarding, or accumulation behaviors.",,16.69,0.011834
W2901570581,haiku,claude-haiku-4-5,Include,D3,"Peer-reviewed empirical survey directly examining loot box spending linked to problem gambling, matching inclusion criteria and domain D3.",,27.46,0.020404
W2135693853,sonnet,claude-sonnet-4-6,Exclude,,Focuses on monetization economics and consumer identity without behavioral or psychological measures of hoarding or collecting constructs.,,3.65,0.013367
W2135693853,opus,claude-opus-4-7,Maybe,D3|D4,"Examines cash purchases of virtual items in free-to-play games; tangential to microtransaction collecting and virtual ownership, requires full-text review.",,4.26,0.098269
W2620820165,sonnet,claude-sonnet-4-6,Exclude,,"Psychometric validation of an IGD scale; no examination of hoarding, collecting, loot boxes, or related behavioral domains.",,3.01,0.014384
W2620820165,opus,claude-opus-4-7,Exclude,,"Psychometric validation of an IGD severity scale; no focus on hoarding, collecting, loot boxes, completionism, or loss aversion.",,6.03,0.104569
W2620820165,haiku,claude-haiku-4-5,Exclude,,"Psychometric validation of IGD scale; lacks examination of hoarding, item retention, loot boxes, inventory, completionism, backlog, or loss aversion.",,13.21,0.010608
W2906683871,sonnet,claude-sonnet-4-6,Exclude,,"Focuses on IGD severity and stress/resilience; no item retention, hoarding, loot box, inventory, completionism, or backlog behavior examined.",,3.12,0.014072
W2906683871,opus,claude-opus-4-7,Exclude,,"Studies IGD and stress/resilience; no hoarding, loot box, completionism, or accumulation behavior examined.",,3.42,0.101813
W2106293368,haiku,claude-haiku-4-5,Maybe,,Virtual item purchasing in games; full text needed to assess hoarding or compulsive-buying connections.,,45.12,0.028578
W2135693853,haiku,claude-haiku-4-5,Exclude,,Emphasizes free-to-play monetization economics and consumer fairness; lacks focus on item retention or hoarding behaviors.,,32.08,0.021457
W3208693143,sonnet,claude-sonnet-4-6,Exclude,,Focuses on monetisation ethics and consumer protection economics without behavioral or psychological hoarding/compulsive-buying measures.,,3.27,0.013664
W3208693143,opus,claude-opus-4-7,Maybe,D3,Examines predatory monetisation techniques including microtransactions and pay-to-win from player perspective; loot box/gacha behavioral relevance requires full-text review.,,3.54,0.100069
W2906683871,haiku,claude-haiku-4-5,Exclude,,"Studies Internet Gaming Disorder broadly via stress/resilience, not specific in-game hoarding, accumulation, or loot-box behaviors.",,14.27,0.010182
W161555447,sonnet,claude-sonnet-4-6,Maybe,D5,Framework paper on achievement design; empirical basis but no behavioral/psychological measures linking achievements to completionism constructs.,,3.34,0.001636
W161555447,opus,claude-opus-4-7,Maybe,D5,"Framework paper on achievement design; conceptual rather than empirical on completionism behavior, requires full-text review to confirm eligibility.",,3.08,0.012906
W3185081605,sonnet,claude-sonnet-4-6,Include,D3|Cross-domain,Systematic review and meta-synthesis directly examining loot box engagement linked to problem gambling and problem gaming constructs.,,5.49,0.013746
W3185081605,opus,claude-opus-4-7,Include,D3|Cross-domain,Systematic review and meta-synthesis of loot box purchasing associations with problem gambling and problem video gaming.,,3.55,0.098831
W3185081605,haiku,claude-haiku-4-5,Include,D3|Cross-domain,Systematic review of loot box purchasing and associations with problem gambling and problem video gaming; directly addresses D3.,,15.69,0.01141
W2996631257,sonnet,claude-sonnet-4-6,Exclude,,Commentary/opinion piece on loot box regulation without original empirical data; matches exclusion criterion 4.,,3.03,0.013648
W161555447,haiku,claude-haiku-4-5,Maybe,D5,Achievement system framework from empirical game studies; behavioral relevance to completionism requires full-text examination.,,25.58,0.016475
W2996631257,opus,claude-opus-4-7,Exclude,,Commentary/opinion piece on loot box regulation without original empirical data; excluded per criterion 4.,,3.14,0.098681
W3125924051,sonnet,claude-sonnet-4-6,Exclude,,Focuses on game monetization economics and marketing without behavioral or psychological measures of hoarding or collecting.,,2.42,0.013686
W2996631257,haiku,claude-haiku-4-5,Exclude,,Commentary without original empirical data examining player behavior or psychological constructs.,,15.53,0.011742
W3125924051,opus,claude-opus-4-7,Exclude,,Conceptual marketing analysis of virtual goods monetization without behavioral or psychological measures; excluded per criterion 5.,,3.39,0.099562
W3157054077,sonnet,claude-sonnet-4-6,Exclude,,"Theoretical political-economy framework on game monetization; no behavioral or psychological measures of hoarding, collecting, or loss aversion.",,3.51,0.0136
W3157054077,opus,claude-opus-4-7,Exclude,,Political-economic analysis of game monetization as asset; no behavioral or psychological measures of hoarding-related constructs.,,3.87,0.097688
W3157054077,haiku,claude-haiku-4-5,Exclude,,Focuses on industry monetization economics; lacks behavioral or psychological measures of player hoarding.,,16.86,0.011774
W3125924051,haiku,claude-haiku-4-5,Exclude,,Game design marketing paper; lacks behavioral/psychological examination of hoarding-related behaviors and constructs.,,24.07,0.014995
W4320340857,opus,claude-opus-4-7,Include,D3|Cross-domain,"Prospective study of loot box purchasing in adolescents linked to gaming and gambling disorder, directly relevant to D3 and compulsive-buying constructs.",,3.33,0.101944
W4320340857,sonnet,claude-sonnet-4-6,Include,D3|Cross-domain,Prospective empirical study on loot box purchasing linked to disordered gambling and gaming disorder in adolescents.,,6.26,0.014009
W3208693143,haiku,claude-haiku-4-5,Maybe,D3,Discusses loot box/gacha monetization techniques; full-text needed to confirm hoarding-construct relevance.,,61.56,0.041108
W4320340857,haiku,claude-haiku-4-5,Include,D3,Prospective study directly examining loot box purchasing and its relationships to gaming and gambling disorder—core D3 domain.,,20.03,0.014372
