openalex_id,title,dedup_reason,match_pmid
W2530373753,Prospect theory for enhanced smart grid resilience using distributed energy storage,novel,
W3029515935,Habits and Attitudes of Video Gaming and Information Technology Use in People with Schizophrenia: Cross-Sectional Survey,novel,
W4379058319,NFT luxury brand marketing in the metaverse: Leveraging blockchain‐certified NFTs to drive consumer behavior,novel,
W2123944148,EXPERIMENTAL EVIDENCE OF A SUNK‐COST PARADOX: A STUDY OF PRICING BEHAVIOR IN BERTRAND–EDGEWORTH DUOPOLY*,novel,
W2918603110,Modeling Noncooperative Game of GENCOs’ Participation in Electricity Markets With Prospect Theory,novel,
W2151766068,Improving resource allocation strategies against human adversaries in security games: An extended study,novel,
W3183302362,Evolutionary game of inland shipping pollution control under government co-supervision,novel,
W2082178409,Choice by sequential procedures,novel,
W3047013944,Delineating adaptive esports involvement from maladaptive gaming: a self-regulation perspective,novel,
W4362704455,Impact of different carbon tax conditions on the behavioral strategies of new energy vehicle manufacturers and governmen,novel,
W2786904977,Multi-User Computation Offloading in Mobile Edge Computing: A Behavioral Perspective,novel,
W3135604143,Operations research : applications and algorithms,novel,
W2103965286,How Do Prior Outcomes Affect Risk Attitude? Comparing Escalation of Commitment and the House-Money Effect,novel,
W1622908323,User-Centric View of Jamming Games in Cognitive Radio Networks,novel,
W3124780542,"Truck, barter and exchange versus the endowment effect: Virtual field experiments in an online game environment",novel,
W148591480,Free-to-Play Games: Professionals’ Perspectives,novel,
W2064217014,Framing prisoners and chickens: Valence effects in the prisoner’s dilemma and the chicken game,novel,
W2320770013,Framing Gaming,novel,
W3120305244,Gamified money: exploring the effectiveness of gamification in mobile payment adoption among the silver generation in Ch,novel,
W2049891146,"Transient Cognitive Dynamics, Metastability, and Decision Making",novel,
W2147571562,"Dynamics of rules and resources: three new field experiments on water, forests and fisheries",novel,
W2531787101,Stochastic Games for the Smart Grid Energy Management With Prospect Prosumers,novel,
W2969294681,The power of moral words: Loaded language generates framing effects in the extreme dictator game,novel,
W4205329145,EVOLUTIONARY GAME ANALYSIS FOR RENT-SEEKING BEHAVIOR SUPERVISION OF MAJOR INFRASTRUCTURE PROJECTS BASED ON PROSPECT THEO,novel,
W2539095161,Game On? Smoking Cessation Through the Gamification of mHealth: A Longitudinal Qualitative Study,novel,
W2605837009,Future-proof tariff design: Recovering sunk grid costs in a world where consumers are pushing back,novel,
W3125984018,An Empirical Analysis of Indirect Network Effects in the Home Video Game Market,novel,
W2557452053,Motivating Innovation: The Effect of Loss Aversion on the Willingness to Persist,novel,
W2032415515,Temporal Filtering of Reward Signals in the Dorsal Anterior Cingulate Cortex during a Mixed-Strategy Game,novel,
W2052079405,Endogenous mergers in endogenous sunk cost industries,novel,
W3033426581,Peer-to-Peer Energy Sharing With Social Attributes: A Stochastic Leader–Follower Game Approach,novel,
W3079761268,Belief-Dependent Motivations and Psychological Game Theory,novel,
W3125788810,"Communication, Renegotiation, and the Scope for Collusion",novel,
W4210439026,The Effects of mHealth-Based Gamification Interventions on Participation in Physical Activity: Systematic Review,novel,
W2792993853,Reflections on family firm goals and the assessment of performance,novel,
W2011100863,"Initial Ownership in Bargaining: Introducing the Giving, Splitting, and Taking Ultimatum Bargaining Game",novel,
W1514217162,Evolutionary models in economics: a survey of methods and building blocks,novel,
W2220784672,Decision-Making Theories and Models: A Discussion of Rational and Psychological Decision-Making Theories and Models: The,novel,
W1972022566,Integrating energy storage into the smart grid: A prospect theoretic approach,novel,
W4319988725,A Survey of Cyber-Physical Systems From a Game-Theoretic Perspective,novel,
W2808647746,A stochastic differential game of low carbon technology sharing in collaborative innovation system of superior enterpris,novel,
W2965915422,Trust Games and Beyond,novel,
W1895148607,Strategic and non‐strategic problem gamblers differ on decision‐making under risk and ambiguity,pmid_match,24450756
W1842443482,Discrete-time behavioral portfolio selection under cumulative prospect theory,novel,
W3212387243,Development strategy for prefabricated construction projects: a tripartite evolutionary game based on prospect theory,novel,
W2581866085,Agent-Based Simulation of the Trust and Tracing Game for Supply Chains and Networks,novel,
W2099720195,Prospects in a wireless random access game,novel,
W1975939038,"Behavioral decision making, forecasting, game theory, and role-play",novel,
W2040721755,The Relationship Between Structural Game Characteristics and Gambling Behavior: A Population-Level Study,novel,
W2997398560,When Network Slicing Meets Prospect Theory: A Service Provider Revenue Maximization Framework,novel,
W4236371823,Achievement Relocked,novel,
W2252885339,Is it All Connected? A Testing Ground for Unified Theories of Behavioral Economics Phenomena,novel,
W38064460,The Implications and Impacts of Web Services to Electronic Commerce Research and Practices.,novel,
W4312204881,Factors affecting firms’ green technology innovation: an evolutionary game based on prospect theory,novel,
W3096426775,Risking Treasure: Testing Loss Aversion in an Adventure Game,novel,
W2750007141,Mobile gamer's epistemic curiosity affecting continuous play intention. Focused on players' switching costs and epistemi,novel,
W2884180038,Gamification Use and Design in Popular Health and Fitness Mobile Applications,pmid_match,30049225
W3125195420,Experimental Investigation of the Subjective Value of Information in Trading,novel,
W2279097834,Quantum-Like Bayesian Networks for Modeling Decision Making,novel,
W2224805421,Gamification of Learning Deactivates the Default Mode Network,novel,
W3194606773,Solving hesitant fuzzy linguistic matrix game problems for multiple attribute decision making with prospect theory,novel,
W1979531587,The effects of time delay in reciprocity games,novel,
W3022958142,"Modeling Imprecision in Perception, Valuation, and Choice",novel,
W2599694346,Hardware Trojan Detection Game: A Prospect-Theoretic Approach,novel,
W2764050853,Effect of a Game-Based Intervention Designed to Enhance Social Incentives to Increase Physical Activity Among Families,novel,
W3013771817,Achievement Relocked: Loss Aversion and Game Design,novel,
W4318819310,Evolutionary Game Analysis of the Utilization of Construction Waste Resources Based on Prospect Theory,novel,
W1915169230,"Seek, share, or withhold: information trading in MMORPGs",novel,
W3165575449,Resale or agency: pricing strategy for advance selling in a supply chain considering consumers’ loss aversion,novel,
W2913758064,Winner-Takes-All or Co-Evolution among Platform Ecosystems: A Look at the Competitive and Symbiotic Actions of Complemen,novel,
W777732233,Prospect Theory Preferences in Noncooperative Game Theory,novel,
W3122723386,The Bidder's Curse,novel,
W2020172907,"The Effect of $1, $5 and $10 Stakes in an Online Dictator Game",novel,
W2905109362,Credibilistic Loss Aversion Nash Equilibrium for Bimatrix Games with Triangular Fuzzy Payoffs,novel,
W2142401095,Second Language Feedback Abolishes the “Hot Hand” Effect during Even-Probability Gambling,novel,
W2920581520,"Pricing, Green Degree and Coordination Decisions in a Green Supply Chain with Loss Aversion",novel,
W2115247350,Reappraising the Ultimatum: an fMRI Study of Emotion Regulation and Decision Making,novel,
W3001348173,Perception Effect in Evolutionary Vaccination Game Under Prospect-Theoretic Approach,novel,
W2109698605,Digital Games for Type 1 and Type 2 Diabetes: Underpinning Theory With Three Illustrative Examples,novel,
W4281845864,Promoting dynamic pricing implementation considering policy incentives and electricity retailers’ behaviors: An evolutio,novel,
W4387878189,Improving the greenness of enterprise supply chains by designing government subsidy mechanisms: based on prospect theory,novel,
W3159186568,Event-related brain response to visual cues in individuals with Internet gaming disorder: relevance to attentional bias ,novel,
W2136956533,Pseudocompetition among groups increases human cooperation in a public-goods game,novel,
W3161565607,Evolutionary Game and Simulation of Subject Risk Management Behavior in Construction Stage of Engineering Project Based ,novel,
W4392172843,Design of a Prosumer-Centric Local Energy Market: An Approach Based on Prospect Theory,novel,
W2746650261,Reversed loss aversion in crowdsourcing contest,novel,
W2052048100,Sequential Analysis of Deterrence Games with a Declining Status Quo,novel,
W3155674257,Dynamic reward and penalty strategies of green building construction incentive: an evolutionary game theory-based analys,novel,
W4403721432,"Game Theory and Reinforcement Learning for Anti-Jamming Defense in Wireless Communications: Current Research, Challenges",novel,
W2145940369,Loss Aversion and Reference-Dependent Preferences in Multi-Attribute Negotiations,novel,
W2872401144,Trust as a decision under ambiguity,novel,
W2519434959,Emotional Judges and Unlucky Juveniles,novel,
W2116295501,Uncertainty and resistance to reform in laboratory participation games,novel,
W2925077350,A prospect-theory model of voter turnout,novel,
W3110212909,A prospect theory Nash bargaining solution and its stochastic stability,novel,
W3111987006,Recommendations for Implementing Gamification for Mental Health and Wellbeing,novel,
W3212557772,"Elucidating competing strategic behaviors using prospect theory, system dynamics, and evolutionary game: a case of trans",novel,
W4402536162,The role of behavioral decision-making in panic buying events during COVID-19: From the perspective of an evolutionary g,novel,
W2176067657,Framing and Misperception in Public Good Experiments,novel,
W2214973140,Interaction between vehicles and pedestrians at uncontrolled mid-block crosswalks,novel,
W3107914901,The Tripartite Regulation Game of Carbon Financial Products Based on the Prospect Theory,novel,
W2997882069,Tripartite evolutionary game analysis for “Deceive acquaintances” behavior of e-commerce platforms in cooperative superv,novel,
W2160313032,Does Evolution Solve the Hold-Up Problem?,novel,
W4399517417,Evolutionary analysis of nuclear wastewater collaborative governance based on prospect theory,novel,
W2095265316,On Loss Aversion in Bimatrix Games,novel,
W2969587594,On Controlling Spectrum Fragility via Resource Pricing in 5G Wireless Networks,novel,
W3123227040,Split or Steal? Cooperative Behavior When the Stakes Are Large,novel,
W1593738416,Renewable energy policy in the presence of innovation: does government pre-commitment matter?,novel,
W2768479039,"Loss aversion, upset preference, and sports television viewing audience size",novel,
W2134636349,INVESTMENT OPTIONS AND BARGAINING POWER: THE EURASIAN SUPPLY CHAIN FOR NATURAL GAS*,novel,
W2369485980,Cognitive performance in competitive environments: Evidence from a natural experiment,novel,
W2039052858,Prospect theoretic analysis of anti-jamming communications in cognitive radio networks,novel,
W2030452955,On the prevalence of framing effects across subject-pools in a two-person cooperation game,novel,
W2973026242,Effectiveness of Behaviorally Designed Gamification Interventions With Social Incentives for Increasing Physical Activit,novel,
W2160311278,The strategic implications of sunk costs: A behavioral perspective,novel,
W1994737592,Zero-Zero Chance-Constrained Games,novel,
W1814065390,Fragility of the commons under prospect-theoretic risk attitudes,novel,
W1637414797,Trust and risk revisited,novel,
W1926119587,Commitment to Cooperation and Peer Punishment: Its Evolution,novel,
W3018919978,Data Offloading in UAV-Assisted Multi-Access Edge Computing Systems: A Resource-Based Pricing and User Risk-Awareness Ap,novel,
W3210910183,Dual-channel recycling e-waste pricing decision under the impact of recyclers’ loss aversion and consumers’ bargaining p,novel,
W2253806990,A game theory perspective on environmental assessment: What games are played and what does this tell us about decision m,novel,
W2918420474,Loss Aversion Equilibrium of Bimatrix Games with Symmetric Triangular Fuzzy Payoffs,novel,
W4366774888,Blockchain-Based Design of a Government Incentive Mechanism for Manufacturing Supply Chain Data Governance,novel,
W1915876806,Disordered gambling: the evolving concept of behavioral addiction,novel,
W2038335849,Does competition affect giving?,novel,
W2104925392,Information Distortion in a Supply Chain: The Bullwhip Effect,novel,
W1485443335,"Designing and managing the supply chain : concepts, strategies, and case studies",novel,
W2751335644,Introduction to Operations Research,novel,
W1984144783,"Is video gaming, or video game addiction, associated with depression, academic achievement, heavy episodic drinking, or ",novel,
W1982461819,The Economics of Two-Sided Markets,novel,
W2150454725,Psychometric Properties of the Intrinsic Motivation Inventory in a Competitive Sport Setting: A Confirmatory Factor Anal,novel,
W2945923169,The relationship of loot box purchases to problem video gaming and problem gambling,pmid_match,31129456
W2110049365,Online gaming addiction in children and adolescents: A review of empirical research,novel,
W2125363721,The Nucleolus of a Characteristic Function Game,novel,
W2110758530,Prevalence and Predictors of Video Game Addiction: A Study Based on a National Representative Sample of Gamers,novel,
W2790477689,Does playing violent video games cause aggression? A longitudinal intervention study,novel,
W1972224382,Why do you play? The development of the motives for online gaming questionnaire (MOGQ),novel,
W3163823280,Don’t You Know That You’re Toxic: Normalization of Toxicity in Online Gaming,novel,
W2018879084,Screen time is associated with depression and anxiety in Canadian youth,novel,
W2756543543,Intense video gaming is not essentially problematic.,novel,
W2003924641,The Mediating Effect of Gaming Motivation Between Psychiatric Symptoms and Problematic Online Gaming: An Online Survey,novel,
W2150250810,Pathological Video-Gaming among Singaporean Youth,novel,
W2107295826,Economic Analysis of Social Interactions,novel,
W1989031680,"The association between online gaming, social phobia, and depression: an internet survey",novel,
W2003027127,Bupropion sustained release treatment decreases craving for video games and cue-induced brain activity in patients with ,novel,
W2735760507,An Overview of Structural Characteristics in Problematic Video Game Playing,novel,
W2781367606,Attachment and emotion regulation in substance addictions and behavioral addictions,novel,
W3008161459,Commercial video games and cognitive functions: video game genres and modulating factors of cognitive enhancement,novel,
W1965294900,Promoting sales of online games through customer engagement,novel,
W2157441133,The relationships between behavioral addictions and the five-factor model of personality,pmid_match,26165928
W1983234205,Internet gaming addiction: current perspectives,novel,
W2177895527,The Bullwhip Effect In Supply Chains 1,novel,
W3090527646,The gamification of in-game advertising: Examining the role of psychological ownership and advertisement intrusiveness,pmid_match,33012944
W2093983571,Why do people buy virtual goods? Attitude toward virtual good purchases versus game enjoyment,novel,
W2095310136,Game theoretic analysis of the substitutable product inventory problem with random demands,novel,
W2016831403,"Gamifying French Language Learning: A Case Study Examining a Quest-based, Augmented Reality Mobile Learning-tool",novel,
W2026670005,Relationship Between Passion and Motivation for Gaming in Players of Massively Multiplayer Online Role-Playing Games,novel,
W2980615522,Development and validation of the player experience inventory: A scale to measure player experiences at the level of fun,novel,
W2517049233,"Personality and video gaming: Comparing regular gamers, non-gamers, and gaming addicts and differentiating between game ",novel,
W2901570581,Video game loot boxes are linked to problem gambling: Results of a large-scale survey,novel,
W2077292484,Cortical Thickness Abnormalities in Late Adolescence with Online Gaming Addiction,novel,
W2558831679,"Video gaming in a hyperconnected world: A cross-sectional study of heavy gaming, problematic gaming symptoms, and online",novel,
W2122441526,The moderating role of psychosocial well-being on the relationship between escapism and excessive online gaming,novel,
W2337604738,"Acting like a Tough Guy: Violent-Sexist Video Games, Identification with Game Characters, Masculine Beliefs, &amp; Empat",novel,
W2106293368,Why people buy virtual items in virtual worlds with real money,novel,
W2145887244,An exploratory study of the association between online gaming addiction and enjoyment motivations for playing massively ,novel,
W2811319480,Predatory monetization schemes in video games (e.g. ‘loot boxes’) and internet gaming disorder,pmid_match,29952052
W2056833403,Electronic Media Use and Adolescent Health and Well-Being: Cross-Sectional Community Study,novel,
W1982251054,"Problem gambling in adolescence: Relationships with internet misuse, gaming abuse and emotional intelligence",novel,
W2398961642,"Correlations among Social Anxiety, Self-Esteem, Impulsivity, and Game Genre in Patients with Problematic Online Game Pla",novel,
W2072468224,Bupropion in the treatment of problematic online game play in patients with major depressive disorder,novel,
W2953705824,"Internet Addiction, Smartphone Addiction, and Hikikomori Trait in Japanese Young Adult: Social Isolation and Social Netw",novel,
W3108537090,The Role of Avoidance Coping and Escape Motives in Problematic Online Gaming: A Systematic Literature Review,novel,
W2087993900,Violent Video Games Induce an Affect Processing Bias,novel,
W2887298275,Role of authenticity in massively multiplayer online role playing games (MMORPGs): Determinants of virtual item purchase,novel,
W2900951404,With or without you? Interaction and immersion in a virtual reality experience,novel,
W1967025350,Coordinating supply chain inventories through common replenishment epochs,novel,
W2770443556,Established risk factors for addiction fail to discriminate between healthy gamers and gamers endorsing DSM-5 Internet g,novel,
W3012615067,Virtual Reality Games and the Role of Body Involvement in Enhancing Positive Emotions and Decreasing Anxiety: Within-Sub,novel,
W2096650495,Cognitive behavioral game design: a unified model for designing serious games,novel,
W2733615901,The influence of game genre on Internet gaming disorder,novel,
W2798179625,Internet gaming disorder in children and adolescents: a systematic review,novel,
W2072385612,"The relation of rational and experiential information processing styles to personality, basic beliefs, and the ratio-bia",novel,
W2962510585,Unfair play? Video games as exploitative monetized services: An examination of game patents from a consumer protection p,novel,
W3127628230,"Exploring the effects of psychological ownership, gaming motivations, and primary/secondary control on online game addic",novel,
W2151422725,The Ideal Self at Play,novel,
W2554310672,Effectiveness of atomoxetine and methylphenidate for problematic online gaming in adolescents with attention deficit hyp,novel,
W2107159911,Higher levels of multiple ecosystem services are found in forests with more tree species,novel,
W2164596829,Competition and Outsourcing with Scale Economies,novel,
W2993958428,A review of immersive virtual reality serious games to enhance learning and training,novel,
W2015258583,Player Commitment to Massively Multiplayer Online Role-Playing Games (MMORPGs): An Integrated Model,novel,
W2796076872,Association between Internet Gaming Disorder or Pathological Video-Game Use and Comorbid Psychopathology: A Comprehensiv,novel,
W1975555673,An empirical model of firm entry with endogenous product-type choices,novel,
W2903986723,The rise of motivational information systems: A review of gamification research,novel,
W2074109300,Developments in Business Gaming,novel,
W4231397353,International Journal of Systems Science,novel,
W2113043717,Operations Research: Applications and Algorithms,novel,
W134467738,Game reward systems: Gaming experiences and social meanings,novel,
W2564290053,Why do players buy in-game content? An empirical study on concrete purchase motivations,novel,
W3043943967,Social anxiety and Internet gaming disorder: The role of motives and metacognitions,novel,
W2760097335,"Depression, Internet Gaming Disorder, and the Moderating Effect of the Gamer-Avatar Relationship: an Exploratory Longitu",novel,
W3084759728,Loot boxes are gambling-like elements in video games with harmful potential: Results from a large-scale population surve,novel,
W2582699884,D3.3 : Game Experience Questionnaire:development of a self-report measure to assess the psychological impact of digital ,novel,
W2092003932,“Remain Calm. Be Kind.” Effects of Relaxing Video Games on Aggressive and Prosocial Behavior,novel,
W591383918,Understanding the role of competition in video gameplay satisfaction,novel,
W2296067305,Internet addiction and problematic Internet use: A systematic review of clinical research,novel,
W3138397992,Commercial Off-The-Shelf Video Games for Reducing Stress and Anxiety: Systematic Review,novel,
W2592570277,Motives for online gaming questionnaire: Its psychometric properties and correlation with Internet gaming disorder sympt,novel,
W2009720268,Survey and behavioral measurements of interpersonal trust,novel,
W2033671596,Determinants of trust in supplier relations: Evidence from the automotive industry in Japan and the United States,novel,
W2119296376,Adaptive game AI with dynamic scripting,novel,
W3005982773,Screening and assessment tools for gaming disorder: A comprehensive systematic review,novel,
W2328146492,SeX-Box: Exposure to sexist video games predicts benevolent sexism.,novel,
W2135693853,Cash Trade in Free-to-Play Online Games,novel,
W2968389242,"The Association Between Mobile Game Addiction and Depression, Social Anxiety, and Loneliness",novel,
W4290601231,A comprehensive model to understand and assess the motivational background of video game use: The Gaming Motivation Inve,novel,
W2620820165,Psychometric validation of the Persian nine-item Internet Gaming Disorder Scale – Short Form: Does gender and hours spen,novel,
W3102663602,Prevalence of Internet Gaming Disorder and Its Association With Personality Traits and Gaming Characteristics Among Chin,novel,
W2905115953,Efficacy of video game-based interventions for active aging. A systematic literature review and meta-analysis,novel,
W2990325373,Maladaptive Personality Functioning and Psychopathological Symptoms in Problematic Video Game Players: A Person-Centered,novel,
W2561679928,"Delay discounting, risk-taking, and rejection sensitivity among individuals with Internet and Video Gaming Disorders",novel,
W2131583517,It's Okay to Shoot a Character: Moral Disengagement in Violent Video Games,novel,
W2326447635,Game Theoretic Applications in Supply Chain Management: A Review,novel,
W2072166773,Gaming science: the “Gamification” of scientific thinking,novel,
W3080486077,Designing Engaging Games for Education: A Systematic Literature Review on Game Motivators and Design Principles,novel,
W2599134504,Video Games Exposure and Sexism in a Representative Sample of Adolescents,novel,
W1973616877,Short-Term Compassion Training Increases Prosocial Behavior in a Newly Developed Prosocial Game,novel,
W2121918661,Inventory Competition Under Dynamic Consumer Choice,novel,
W2906683871,The association between problematic online gaming and perceived stress: The moderating effect of psychological resilienc,novel,
W2933460215,"Measuring Female Gaming: Gamer Profile, Predictors, Prevalence, and Characteristics From Psychological and Gender Perspe",novel,
W2182282288,Do World of Warcraft (MMORPG) players experience less loneliness and social anxiety in online world (virtual environment,novel,
W2046606519,Vendor‐managed inventory and bullwhip reduction in a two‐level supply chain,novel,
W2611029478,Sensation Seeking and Online Gaming Addiction in Adolescents: A Moderated Mediation Model of Positive Affective Associat,novel,
W3208693143,"Predatory Monetisation? A Categorisation of Unfair, Misleading and Aggressive Monetisation Techniques in Digital Games f",novel,
W3132558922,A Deep Q-Network for the Beer Game: Deep Reinforcement Learning for Inventory Optimization,novel,
W1990481215,The Design Principles for Flow Experience in Educational Games,novel,
W2035643375,Cores of Inventory Centralization Games,novel,
W2942673396,The Role of Cognitive Emotion Regulation Strategies in Problem Gaming Among Adolescents: A Nationally Representative Sur,novel,
W161555447,Framework for Designing and Evaluating Game Achievements,novel,
W2292354155,Games in language learning: Opportunities and challenges,novel,
W2769899779,Platform Strategy: Managing Ecosystem Value Through Selective Promotion of Complements,novel,
W2792293254,Fighting Depression: Action Video Game Play May Reduce Rumination and Increase Subjective and Objective Cognition in Dep,novel,
W2022393478,Cognitive training with casual video games: points to consider,novel,
W3171690519,Serious Game Design and Clinical Improvement in Physical Rehabilitation: Systematic Review,novel,
W2065284074,Natural course of behavioral addictions: a 5-year longitudinal study,novel,
W2583159728,Grounded and embodied mathematical cognition: Promoting mathematical insight and proof using action and language,novel,
W3185081605,"Loot boxes, problem gambling and problem video gaming: A systematic review and meta-synthesis",novel,
W2144361878,On Location Learning: Authentic Applied Science with Networked Augmented Realities,novel,
W2953003952,Adolescents and loot boxes: links with problem gambling and motivations for purchase,pmid_match,31312481
W2102064909,Inventory Sharing and Rationing in Decentralized Dealer Networks,novel,
W4224880534,An exploration of MMORPG in-game virtual-item contribution to game enjoyment from the perspectives of purchase behavior ,novel,
W3006150670,The role of personality on disordered gaming and game genre preferences in adolescence: Gender differences and person-en,novel,
W2996631257,Towards an Ethical Game Design Solution to Loot Boxes: a Commentary on King and Delfabbro,novel,
W1786498445,More than a Game: The Computer Game as Fictional Form,novel,
W2130927697,Media Enjoyment as Need Satisfaction: The Contribution of Hedonic and Nonhedonic Needs,novel,
W2888886031,The impact of strategic inventory and procurement strategies on green product design in a two-period supply chain,novel,
W635555953,Qualitative Reading Inventory-4,novel,
W2170175684,Just watching the game ain't enough: striatal fMRI reward responses to successes and failures in a video game during act,novel,
W2400038930,Essential features of serious games design in higher education: Linking learning attributes to game mechanics,novel,
W2006621802,The Role of Inventory in Delivery-Time Competition,novel,
W1508807984,Gender and Video Game Performance,novel,
W2042764702,The effect of a persuasive social impact game on affective learning and attitude,novel,
W1992114985,Clinical features and axis I comorbidity of Australian adolescent pathological Internet and video game users,novel,
W3125924051,Game Design as Marketing: How Game Mechanics Create Demand for Virtual Goods,novel,
W4206475083,Evidence on Problematic Online Gaming and Social Anxiety over the Past Ten Years: a Systematic Literature Review,novel,
W2039680173,e-Sports: Playing just for fun or playing to satisfy life goals?,novel,
