pmid,variant,tier,model,verdict,domains,reason,parse_error,latency_s,cost_usd,call_started_utc
27199853,lenient,sonnet,claude-sonnet-4-6,Exclude,,Examines compulsive buying and gambling disorder comorbidity in clinical patients; no game mechanic or virtual item component.,,9.14,0.02604,2026-06-03T23:49:19.921858+00:00
27199853,reword,haiku,claude-haiku-4-5,Exclude,,"Study examines compulsive buying and gambling disorder comorbidity in clinical patients, not in game contexts or with game mechanics.",,16.6,0.015328,2026-06-03T23:49:13.890564+00:00
35855504,reword,sonnet,claude-sonnet-4-6,Exclude,,"Narrative review of internet addictions during COVID-19 with no game-specific hoarding, loot box, inventory, or virtual item behavioral focus.",,9.56,0.025309,2026-06-03T23:49:22.606717+00:00
33835041,lenient,haiku,claude-haiku-4-5,Maybe,,Methodology paper for broad addiction survey; mentions problematic online gaming but doesn't specify hoarding-related game behaviors.,,28.27,0.024535,2026-06-03T23:49:08.491573+00:00
35855504,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Narrative review of internet addictions broadly; no game-specific hoarding, inventory, loot box, or collecting behavior examined.",,8.41,0.02565,2026-06-03T23:49:30.493254+00:00
34375360,reword,sonnet,claude-sonnet-4-6,Exclude,,"Studies cannabis abuse associations with problematic video gaming as a dysregulated behavior, lacking any hoarding, collecting, or inventory-related game constructs.",,6.98,0.025579,2026-06-03T23:49:36.765732+00:00
35855504,reword,haiku,claude-haiku-4-5,Exclude,,"Narrative review of broad internet addictions; lacks focus on specific in-game hoarding, gacha, or inventory behaviors. Does not meet empirical-study requirement.",,22.05,0.017158,2026-06-03T23:49:21.717027+00:00
34375360,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Focuses on cannabis abuse and addictive behaviors broadly; no game items, inventory, loot boxes, or hoarding constructs examined.",,7.56,0.02592,2026-06-03T23:49:43.744806+00:00
34375360,reword,haiku,claude-haiku-4-5,Exclude,,"Paper examines broad problematic video gaming and compulsive buying as separate outcomes, not specific in-game hoarding or item-retention behaviors.",,23.82,0.020533,2026-06-03T23:49:32.171891+00:00
34992568,reword,sonnet,claude-sonnet-4-6,Exclude,,Study examines knowledge hiding in organizations; no game component or gaming behavior present.,,6.28,0.024986,2026-06-03T23:49:51.303016+00:00
34992568,reword,haiku,claude-haiku-4-5,Exclude,,"Studies organizational knowledge hiding in educational contexts; no game mechanics, virtual items, or game-related constructs examined.",,15.93,0.01577,2026-06-03T23:49:43.767214+00:00
34992568,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Study examines knowledge hiding in organizations, with no game component or hoarding-related game behavior.",,5.38,0.025462,2026-06-03T23:49:57.579190+00:00
35855504,lenient,haiku,claude-haiku-4-5,Maybe,,"Narrative review of internet addictions including gaming disorder and compulsive buying, but doesn't focus on hoarding-related gaming behaviors.",,37.02,0.030181,2026-06-03T23:49:29.060098+00:00
34992568,lenient,haiku,claude-haiku-4-5,Exclude,,"Study concerns organizational knowledge hiding, not digital games; zero game-related content.",,12.65,0.014327,2026-06-03T23:49:55.988924+00:00
30110801,reword,sonnet,claude-sonnet-4-6,Exclude,,"Physics study of gambling logs using random-walk models; no game mechanic, behavioral, or psychological hoarding constructs examined.",,6.83,0.024615,2026-06-03T23:50:02.955919+00:00
27199853,lenient,haiku,claude-haiku-4-5,Maybe,Cross-domain,Compulsive buying and gambling study; gaming mentioned as comorbid addiction; full-text review needed to assess game behavior relevance.,,51.25,0.039226,2026-06-03T23:49:18.816259+00:00
30110801,lenient,sonnet,claude-sonnet-4-6,Exclude,,Pure statistical physics analysis of gambling logs with no behavioral/psychological measures or game-mechanic component.,,6.22,0.024941,2026-06-03T23:50:08.638549+00:00
30110801,reword,haiku,claude-haiku-4-5,Exclude,,"Physics-focused random walk analysis of gambling patterns; lacks behavioral or psychological measures related to hoarding, loss aversion, or collecting constructs.",,16.08,0.017226,2026-06-03T23:49:59.696744+00:00
41037849,reword,sonnet,claude-sonnet-4-6,Exclude,,Focuses on gaming disorder and financial overspending without behavioral or psychological hoarding constructs; no relevant domain coverage.,,7.25,0.025234,2026-06-03T23:50:10.068123+00:00
41037849,lenient,sonnet,claude-sonnet-4-6,Maybe,D3|Cross-domain,Examines in-game microtransaction overspending linked to gaming disorder; tangentially relevant to D3 and compulsive-buying constructs.,,6.69,0.025845,2026-06-03T23:50:15.775292+00:00
34375360,lenient,haiku,claude-haiku-4-5,Maybe,,Study links substance abuse with problematic gaming and other addictions but does not examine specific game hoarding constructs.,,48.52,0.039202,2026-06-03T23:49:38.901530+00:00
41454725,reword,sonnet,claude-sonnet-4-6,Exclude,,"National addiction epidemiology survey with no game-specific hoarding, inventory, or virtual item behavioral measures.",,4.99,0.027977,2026-06-03T23:50:22.463457+00:00
41454725,lenient,sonnet,claude-sonnet-4-6,Exclude,,"National addiction epidemiology survey; includes gaming disorder but no game-specific hoarding, loot box, inventory, or collecting behavior examined.",,6.44,0.025995,2026-06-03T23:50:27.449512+00:00
40569695,reword,haiku,claude-haiku-4-5,Exclude,,"Examines loot box advertising compliance, not player collecting behavior or hoarding-related psychological constructs.",,14.21,0.016498,2026-06-03T23:50:33.887780+00:00
30110801,lenient,haiku,claude-haiku-4-5,Maybe,,Title mentions virtual-item gambling but abstract describes mathematical modeling of pure gambling patterns; unclear if paper addresses item-related behavioral domains.,,45.33,0.032885,2026-06-03T23:50:06.077820+00:00
41454725,lenient,haiku,claude-haiku-4-5,Maybe,,Methodological paper on survey measuring gaming disorder and compulsive buying; game-specific hoarding behaviors not evident in abstract; full-text review needed.,,28.24,0.022787,2026-06-03T23:50:27.424519+00:00
40569695,reword,sonnet,claude-sonnet-4-6,Exclude,,"Studies loot box advertising compliance and regulation, not player hoarding behavior or psychological constructs.",,8.05,0.025309,2026-06-03T23:50:48.095227+00:00
41454725,reword,haiku,claude-haiku-4-5,Maybe,,Surveys gaming disorder and compulsive buying; unclear if specific in-game hoarding behaviors examined.,,40.24,0.028748,2026-06-03T23:50:17.319689+00:00
41037849,reword,haiku,claude-haiku-4-5,Exclude,,"Paper addresses gaming disorder and overspending, not item hoarding, collecting, or inventory management.",,50.98,0.038908,2026-06-03T23:50:09.786053+00:00
40569695,lenient,sonnet,claude-sonnet-4-6,Maybe,D3,"Studies loot box advertising compliance; behavioral/psychological measures absent, but loot box prevalence data may inform D3 context.",,6.78,0.02583,2026-06-03T23:50:55.670110+00:00
26500478,reword,sonnet,claude-sonnet-4-6,Exclude,,"Focuses on brain stimulation treatment for behavioral addictions; no game mechanics, virtual items, or hoarding-related game behavior examined.",,7.68,0.025192,2026-06-03T23:50:57.559273+00:00
41037849,lenient,haiku,claude-haiku-4-5,Include,D3|Cross-domain,Peer-reviewed empirical study of overspending on in-game purchases linked to gaming disorder; relevant to D3 and compulsive-behavior domains.,,51.07,0.037761,2026-06-03T23:50:14.863618+00:00
26500478,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Systematic review of brain stimulation for behavioral addictions; no game mechanics, inventory, or hoarding-domain content.",,4.8,0.025519,2026-06-03T23:51:02.447680+00:00
41115014,reword,sonnet,claude-sonnet-4-6,Exclude,,"Systematic review on PUI terminology; digital hoarding mentioned without any game component, failing inclusion criterion 3.",,5.35,0.02499,2026-06-03T23:51:05.931499+00:00
41115014,lenient,sonnet,claude-sonnet-4-6,Exclude,,Terminological/conceptual review of internet use disorders; digital hoarding mentioned only as subcategory without game component.,,4.15,0.025391,2026-06-03T23:51:11.283361+00:00
26500478,reword,haiku,claude-haiku-4-5,Exclude,,Systematic review of tDCS treatment efficacy for behavioral addictions; does not examine specific game-hoarding behaviors or psychological mechanisms.,,19.38,0.017584,2026-06-03T23:50:56.145162+00:00
26500478,lenient,haiku,claude-haiku-4-5,Exclude,,Treatment intervention study examining tDCS efficacy for behavioral addictions; not examining hoarding behavioral patterns in games.,,19.22,0.018228,2026-06-03T23:51:00.827540+00:00
41567349,reword,sonnet,claude-sonnet-4-6,Exclude,,"Screening tool for general digital addictions; no game-specific hoarding, loot box, inventory, or collectible behavior examined.",,4.58,0.025624,2026-06-03T23:51:15.529630+00:00
41567349,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Validates a general addiction screening tool with no focus on in-game item hoarding, loot boxes, or any target domain behavior.",,5.03,0.047001,2026-06-03T23:51:20.112570+00:00
41567349,reword,haiku,claude-haiku-4-5,Exclude,,"General problematic gaming screening tool without specific focus on hoarding-related in-game behaviors (item retention, loot boxes, inventory paralysis, completionism, backlog).",,13.89,0.016868,2026-06-03T23:51:15.429087+00:00
41115014,reword,haiku,claude-haiku-4-5,Exclude,,"Terminological review of PUI; treats digital hoarding and online gaming as separate subcategories, excluding game-specific hoarding focus.",,25.69,0.022897,2026-06-03T23:51:05.240749+00:00
23604411,reword,sonnet,claude-sonnet-4-6,Exclude,,Conceptual/nosological editorial on behavioral addiction categories; no empirical game-specific hoarding or behavioral data presented.,,5.3,0.024337,2026-06-03T23:51:29.323118+00:00
40569695,lenient,haiku,claude-haiku-4-5,Maybe,D3,Loot box advertising compliance study; full-text review needed to assess behavioral focus.,,46.29,0.028681,2026-06-03T23:50:51.408247+00:00
23604411,lenient,sonnet,claude-sonnet-4-6,Maybe,Cross-domain,Discusses compulsive buying and behavioral addiction including excessive computer use; may link to game-related hoarding constructs tangentially.,,4.97,0.024784,2026-06-03T23:51:34.619502+00:00
34904959,reword,sonnet,claude-sonnet-4-6,Exclude,,"Measures gaming frequency as an addictive behaviour broadly; no game-specific hoarding, collecting, inventory, or completionism constructs examined.",,4.8,0.025474,2026-06-03T23:51:39.592681+00:00
41115014,lenient,haiku,claude-haiku-4-5,Exclude,,"Paper examines digital hoarding in broad internet-use context, not game-specific hoarding behaviors.",,37.41,0.029805,2026-06-03T23:51:07.243983+00:00
23604411,reword,haiku,claude-haiku-4-5,Exclude,,"Conceptual discussion of behavioral addiction broadly; no focus on game-specific hoarding, loot boxes, gacha, or inventory behaviors.",,19.72,0.018494,2026-06-03T23:51:25.142699+00:00
23604411,lenient,haiku,claude-haiku-4-5,Exclude,,Published in German (fails language criterion); conceptual discussion without empirical game data.,,17.2,0.017838,2026-06-03T23:51:30.928873+00:00
